Document Title,Authors,Publication Year,DOI,PDF Link,Keywords,Abstract,Venue
"""Performance analysis of one-bit transform based motion estimation using sparse search on HEVC""",R. Duvar; A. Küçükmanısa; O. Akbulut; A. T. Çelebı; O. Urhan;,2018,10.1109/SIU.2018.8404776,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8404776,HEVC;Motion Estimation;1BT transform;,"""Video encoders generally employ sparse search-based approaches since the full search-based motion estimation approaches have a significant amount of computational burden. Sparse search-based approaches are often designed by taking software implementations into account performance, but hardware implementations of these methods may suffer important performance losses. In this work, the performance of the Test Zone Search approach which is the fastest motion estimation used in HEVC, is examined when it is integrated with hardware-based 1-bit transform based low bit depth motion estimation approach.""",2018 26th Signal Processing and Communications Applications Conference (SIU)
"""Sparse kernel density construction using orthogonal forward regression with leave-one-out test score and local regularization""",Sheng Chen; Xia Hong; C. J. Harris;,2004,10.1109/TSMCB.2004.828199,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1315754,;,"""This paper presents an efficient construction algorithm for obtaining sparse kernel density estimates based on a regression approach that directly optimizes model generalization capability. Computational efficiency of the density construction is ensured using an orthogonal forward regression, and the algorithm incrementally minimizes the leave-one-out test score. A local regularization method is incorporated naturally into the density construction process to further enforce sparsity. An additional advantage of the proposed algorithm is that it is fully automatic and the user is not required to specify any criterion to terminate the density construction procedure. This is in contrast to an existing state-of-art kernel density estimation method using the support vector machine (SVM), where the user is required to specify some critical algorithm parameter. Several examples are included to demonstrate the ability of the proposed algorithm to effectively construct a very sparse kernel density estimate with comparable accuracy to that of the full sample optimized Parzen window density estimate. Our experimental results also demonstrate that the proposed algorithm compares favorably with the SVM method, in terms of both test accuracy and sparsity, for constructing kernel density estimates.""","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)"
"""Malware Detection Using Xilinx Software and Adaptive Test Pattern""",S. Meivel; S. K. Nagaharipriya; P. Priyankadevi; S. Sangavi;,2023,10.1109/ICACCS57279.2023.10112911,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112911,Adaptive Generator;VLSI Circuits;PODEM Algorithm;Unique Sensitization;BIST Architecture;,"""This work introduces novel approaches to accelerate the production of deterministic test patterns for VLSI devices. These methods reduce the number of backtracking while requiring little processing effort, therefore improving the PODEM algorithm. This is accomplished by assigning additional signal lines to the relevant signals, spotting errors earlier, and eliminating extra effort during test generation. These methods have been included into ATOM, a sophisticated ATPG device for combinational circuits. The test generation results for the benchmark circuits' ATOM as well as full scan versions showed how effective these strategies were at improving performance ATOM found all tested problems in a short period of time and proved that all overlapping faults were excessive with minimum backtracking""",2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)
"""Structural Coverage of LTL Requirements for Learning-based Testing""",H. A. Quddus; M. A. Sindhu;,2022,10.1109/ICIT56493.2022.9989218,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9989218,LBT (Learning-based Testing);LTL (Linear Temporal Logic) requirements;RC (Requirement Coverage);AC (Antecedent Coverage);UFCC (Unique First Cause Coverage);,"""Learning-based testing (LBT) is an innovative variant of black-box testing in which test cases are derived by making use of automaton learning and model checking algorithms along with providing Linear Temporal Logic (LTL) requirements of the System Under Test (SUT). There is a scarcity of test coverage metrics for black-box testing in general and LBT in particular. Structural coverage of an LTL requirement is a mechanism that gauges how well a test suite has exercised the structure of the LTL formula. In contrast to the code-driven or model-driven coverage metrics, this coverage provides implementation-independent coverage corresponding to an LTL requirement. This has been defined and used in the literature for black-box testing; however, not for LBT. This paper analyzes and implements the structural coverage criteria for the LTL requirements for evaluating the LBT-generated test suite. We evaluate the structural coverage metrics using the Cruise Control System (CCS) and the ATM systems. The results show that the LBT test suite provides complete structural coverage of the safety LTL requirements in terms of Requirement Coverage (RC), Antecedent Coverage (AC), and Unique First Cause Coverage (UFCC). In the case of liveness LTL requirements, relatively less structural coverage is achieved by the LBT tests, possibly because of the involvement of loops in tests.""",2022 International Conference on IT and Industrial Technologies (ICIT)
"""Reconstructing Surfaces for Sparse Point Clouds with On-Surface Priors""",B. Ma; Y. -S. Liu; Z. Han;,2022,10.1109/CVPR52688.2022.00621,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879540,3D from multi-view and sensors; Vision + graphics;,"""It is an important task to reconstruct surfaces from 3D point clouds. Current methods are able to reconstruct surfaces by learning Signed Distance Functions (SDFs) from single point clouds without ground truth signed distances or point normals. However, they require the point clouds to be dense, which dramatically limits their performance in real applications. To resolve this issue, we propose to reconstruct highly accurate surfaces from sparse point clouds with an on-surface prior. We train a neural network to learn SDFs via projecting queries onto the surface represented by the sparse point cloud. Our key idea is to infer signed distances by pushing both the query projections to be on the surface and the projection distance to be the minimum. To achieve this, we train a neural network to capture the on-surface prior to determine whether a point is on a sparse point cloud or not, and then leverage it as a differentiable function to learn SDFs from unseen sparse point cloud. Our method can learn SDFs from a single s parse point cloud without ground truth signed distances or point normals. Our numerical evaluation under widely used benchmarks demonstrates that our method achieves state-of-the-art reconstruction accuracy, especially for sparse point clouds. Code and data are available at https://github.com/mabaorui/OnSurfacePrior.""",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
"""Anomaly Detection Based on Spatio-Temporal and Sparse Features of Network Traffic in VANETs""",L. Nie; H. Wang; S. Gong; Z. Ning; M. S. Obaidat; K. -F. Hsiao;,2019,10.1109/GLOBECOM38437.2019.9013915,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013915,;,"""Vehicular Ad-Hoc Networks (VANETs) have received a great attention recently due to their potential and various applications. However, the initial phase of the VANET has many research challenges that need to be addressed, such as the issues of security and privacy protection caused by the openness of wireless communication networks among the city-wide applied regions. Specially, anomaly detection for a VANET has become a challenging problem, due to the changes in the scenario of VANETs comparing with traditional wireless networks. Motivated by this issue, we focus on the problem of anomaly detection in VANETs, and propose an effective anomaly detection approach based on the convolutional neural network in this paper. The proposed approach takes into account the spatio-temporal and sparse features of VANET traffic, and it uses a convolutional neural network architecture and a loss function based on Mahalanobis distance for anomaly detection. Furthermore, a comprehensive assessment is provided to validate the proposed approach, which illustrates the effectiveness of this approach.""",2019 IEEE Global Communications Conference (GLOBECOM)
"""On testing physically unclonable functions for uniqueness""",A. Vijayakumar; V. C. Patil; S. Kundu;,2016,10.1109/ISQED.2016.7479229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7479229,Security;Physically Unclonable Function;Testing;,"""A number of applications from smartcard to ePassport to eID depend on preventing unauthorized access to hardware and software functionality. Physically Unclonable Functions (PUF) rely on manufacturing process variations to create unique identifiers that can be used for various security applications including authentication and secure access. For practical applications, PUFs are required to be unique for each chip. Such property cannot be ensured by design alone. Since PUFs rely on manufacturing process variations, there are no guarantees that two PUFs will never have identical properties. Therefore, testing becomes necessary to screen out PUFs that violate the above property. Despite decades of research on PUFs, there has been scant attention to the problem of testing PUFs for uniqueness. In this paper, we investigate the problem of testing PUFs for uniqueness and we propose techniques for Uniqueness testing. The proposed methods are low-cost and are tailored for testing PUFs using hardware testers.""",2016 17th International Symposium on Quality Electronic Design (ISQED)
"""Locating Software Faults Based on Minimum Debugging Frontier Set""",F. Li; Z. Li; W. Huo; X. Feng;,2017,10.1109/TSE.2016.2632122,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7755837,Fault localization;minimum debugging frontier set;sparse symbolic exploration;dynamic dependence graph;,"""In this article, we propose a novel state-based fault-localization approach. Given an observed failure that is reproducible under the same program input, this new approach uses two main techniques to reduce the state exploration cost. Firstly, the execution trace to be analyzed for the observed failure is successively narrowed by making the set of trace points in each step a cut of the dynamic dependence graph. Such a cut divides the remaining trace into two parts and, based on the sparse symbolic exploration outcome, one part is removed from further exploration. This process continues until reaching where the fault is determined to be. Second, the cut in each step is chosen such that the union of the program states from the members of the cut is of the minimum size among all candidate cuts. The set of statement instances in the chosen cut is called a minimum debugging frontier set (MDFS). To evaluate our approach, we apply it to 16 real bugs from real world programs and compare our fault reports with those generated by state-of-the-art approaches. Results show that the MDFS approach obtains high quality fault reports for these test cases with considerably higher efficiency than previous approaches.""",IEEE Transactions on Software Engineering
"""Ordered Subspace Clustering With Block-Diagonal Priors""",F. Wu; Y. Hu; J. Gao; Y. Sun; B. Yin;,2016,10.1109/TCYB.2015.2500821,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7339439,Low rank representation (LRR);ordered sparse clustering;sparse representation;sparse subspace clustering (SSC);spectral clustering;,"""Many application scenarios involve sequential data, but most existing clustering methods do not well utilize the order information embedded in sequential data. In this paper, we study the subspace clustering problem for sequential data and propose a new clustering method, namely ordered sparse clustering with block-diagonal prior (BD-OSC). Instead of using the sparse normalizer in existing sparse subspace clustering methods, a quadratic normalizer for the data sparse representation is adopted to model the correlation among the data sparse coefficients. Additionally, a block-diagonal prior for the spectral clustering affinity matrix is integrated with the model to improve clustering accuracy. To solve the proposed BD-OSC model, which is a complex optimization problem with quadratic normalizer and block-diagonal prior constraint, an efficient algorithm is proposed. We test the proposed clustering method on several types of databases, such as synthetic subspace data set, human face database, video scene clips, motion tracks, and dynamic 3-D face expression sequences. The experiments show that the proposed method outperforms state-of-the-art subspace clustering methods.""",IEEE Transactions on Cybernetics
"""Effect of Unique Table Implementation in the Performance of BDD Packages""",J. P. Nespolo; R. D. Peralta; P. F. Butzen; A. I. Reis;,2023,10.1109/SBCCI60457.2023.10261960,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261960,Binary decision diagram;data structures;software performance evaluation;,"""This paper presents an evaluation of the data structures that implement the unique tables used to represent the Binary Decision Diagrams (BDD) nodes in the strong canonical form of BDDs. The unique table is an important element in BDDs, as it avoids re-computations and no duplicated nodes are created. The choice of the data structures used in the unique tables strongly affects the performance of BDD packages. Therefore, is important to identify some aspects that may contribute to the performance. We compare several implementations of unique tables intending to find the more efficient implementations for modern BDD packages using integers (as opposed to pointers) to identify nodes. Among the tested implementations of unique tables, the data structure using a hash table merged with BDD nodes has resulted in reductions of 34.6% in runtime and 43.5% in memory usage compared to the second-best for each criterion.""",2023 36th SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design (SBCCI)
