Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Life Sciences-Inspired Test Case Similarity Measures for Search-Based, FSM-Based Software Testing","Modelling Foundations and Applications","","","","10.1007/978-3-319-92997-2_13","Nesa AsoudehYvan Labiche","2018","http://link.springer.com/chapter/10.1007/978-3-319-92997-2_13","Chapter"
"Constructing Search Spaces for Search-Based Software Testing Using Neural Networks","Search-Based Software Engineering","","","","10.1007/978-3-030-27455-9_3","Leonid JoffeDavid Clark","2019","http://link.springer.com/chapter/10.1007/978-3-030-27455-9_3","Chapter"
"A Concept for an Interactive Search-Based Software Testing System","Search Based Software Engineering","","","","10.1007/978-3-642-33119-0_21","Bogdan MarculescuRobert FeldtRichard Torkar","2012","http://link.springer.com/chapter/10.1007/978-3-642-33119-0_21","Chapter"
"A Service-Oriented Reference Architecture for Software Testing Tools","Software Architecture","","","","10.1007/978-3-642-23798-0_42","Lucas Bueno Ruas OliveiraElisa Yumi Nakagawa","2011","http://link.springer.com/chapter/10.1007/978-3-642-23798-0_42","Chapter"
"Software Testing: A Changing Career","Systems, Software and Services Process Improvement","","","","10.1007/978-3-030-28005-5_57","Sean CunninghamJemil GamboAidan LawlessDeclan MooreMurat YilmazPaul M. ClarkeRory V. O’Connor","2019","http://link.springer.com/chapter/10.1007/978-3-030-28005-5_57","Chapter"
"Software Testing Research and Practice","Abstract State Machines 2003","","","","10.1007/3-540-36498-6_1","Antonia Bertolino","2003","http://link.springer.com/chapter/10.1007/3-540-36498-6_1","Chapter"
"Visualization and Abstractions for Execution Paths in Model-Based Software Testing","Integrated Formal Methods","","","","10.1007/978-3-030-34968-4_26","Rui WangCyrille ArthoLars Michael KristensenVolker Stolz","2019","http://link.springer.com/chapter/10.1007/978-3-030-34968-4_26","Chapter"
"Towards Software Testing Process Improvement from Requirements","Information and Software Technologies","","","","10.1007/978-3-642-33308-8_39","Kristina SmilgyteRimantas Butleris","2012","http://link.springer.com/chapter/10.1007/978-3-642-33308-8_39","Chapter"
"Second Competition on Software Testing: Test-Comp 2020","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-45234-6_25","Dirk Beyer","2020","http://link.springer.com/chapter/10.1007/978-3-030-45234-6_25","Chapter"
"Matching Context Aware Software Testing Design Techniques to ISO/IEC/IEEE 29119","Software Process Improvement and Capability Determination","","","","10.1007/978-3-319-19860-6_4","Santiago MatalongaFelyppe RodriguesGuilherme H. Travassos","2015","http://link.springer.com/chapter/10.1007/978-3-319-19860-6_4","Chapter"
"Test Management Traceability Model to Support Software Testing Documentation","Digital Information and Communication Technology and Its Applications","","","","10.1007/978-3-642-22027-2_3","Azri AzmiSuhaimi Ibrahim","2011","http://link.springer.com/chapter/10.1007/978-3-642-22027-2_3","Chapter"
"Framework for Collaborative Software Testing Efforts Between Cross-Functional Teams Aiming at High Quality End Product","On the Move to Meaningful Internet Systems: OTM 2018 Workshops","","","","10.1007/978-3-030-11683-5_21","Prabal MahantaGeorg Bischoff","2019","http://link.springer.com/chapter/10.1007/978-3-030-11683-5_21","Chapter"
"Using Surveys and Web-Scraping to Select Tools for Software Testing Consultancy","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-49094-6_18","Päivi Raulamo-JurvanenKari KakkonenMika Mäntylä","2016","http://link.springer.com/chapter/10.1007/978-3-319-49094-6_18","Chapter"
