Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A novel privacy-preserving technique using steganography and L-diversity for multi-relational educational dataset","International Journal of Information Technology","","15","6","10.1007/s41870-023-01305-8","Sunil Kumar MuttooNishaArchana Singhal","2023","http://link.springer.com/article/10.1007/s41870-023-01305-8","Article"
"Improving repair of semantic ATL errors using a social diversity metric","Software and Systems Modeling","","","","10.1007/s10270-024-01170-4","Zahra VaraminyBahnemiryJessie GalassoBentley OakesHouari Sahraoui","2024","http://link.springer.com/article/10.1007/s10270-024-01170-4","Article"
"IMDCS:influence maximization with type-diversity by leveraging community structure","Computing","","105","6","10.1007/s00607-022-01134-w","Xiaojie WangWushour SlamuAbudureheman KadeerSixiu WangXiaojing Hou","2023","http://link.springer.com/article/10.1007/s00607-022-01134-w","Article"
"Multi-factor ranking method for trading-off accuracy, diversity, novelty, and coverage of recommender systems","International Journal of Information Technology","","15","3","10.1007/s41870-023-01158-1","Bushra AlhijawiSalam FraihatArafat Awajan","2023","http://link.springer.com/article/10.1007/s41870-023-01158-1","Article"
"Edge-assisted federated learning for anomaly detection in diverse IoT network","International Journal of Information Technology","","","","10.1007/s41870-024-01728-x","Priya SharmaSanjay Kumar SharmaDiksha Dani","2024","http://link.springer.com/article/10.1007/s41870-024-01728-x","Article"
"Spectral efficiency of selection combiner under Nakagami-m fading channels","International Journal of Information Technology","","15","2","10.1007/s41870-022-00980-3","Abhishek SemwalRinkyMohammad Irfanul Hasan","2023","http://link.springer.com/article/10.1007/s41870-022-00980-3","Article"
"An improved indicator-based two-archive algorithm for many-objective optimization problems","Computing","","106","5","10.1007/s00607-024-01272-3","Weida SongShanxin ZhangWenlong GeWei Wang","2024","http://link.springer.com/article/10.1007/s00607-024-01272-3","Article"
"On the relationship between similar requirements and similar software","Requirements Engineering","","28","1","10.1007/s00766-021-00370-4","Muhammad AbbasAlessio FerrariAnas ShatnawiEduard EnoiuMehrdad SaadatmandDaniel Sundmark","2023","http://link.springer.com/article/10.1007/s00766-021-00370-4","Article"
"Elements for Automatic Identification of Fallacies in Mexican Election Campaign Political Speeches","Programming and Computer Software","","49","8","10.1134/S0361768823080170","Kenia Nieto-BenitezNoe Alejandro Castro-SanchezHector Jimenez SalazarGemma Bel-EnguixDante Mújica VargasJuan Gabriel González SernaNimrod González Franco","2023","http://link.springer.com/article/10.1134/S0361768823080170","Article"
"Predictive modeling of gaze patterns in drivers: a machine learning approach with tobii glass 2","International Journal of Information Technology","","","","10.1007/s41870-024-01814-0","Daniela Daniel NdunguruLiu ZhanwenChrispus Zacharia OroniSeth Mabyo kabambaArsenyan AniMoussa SaliGadi Gilleard LyatuuAletas Athanas Haule","2024","http://link.springer.com/article/10.1007/s41870-024-01814-0","Article"
"SinGRAV: Learning a Generative Radiance Volume from a Single Natural Scene","Journal of Computer Science and Technology","","39","2","10.1007/s11390-023-3596-9","Yu-Jie Wang 王玉洁Xue-Lin Chen 陈学霖Bao-Quan Chen 陈宝权","2024","http://link.springer.com/article/10.1007/s11390-023-3596-9","Article"
"Current trends in digital twin development, maintenance, and operation: an interview study","Software and Systems Modeling","","","","10.1007/s10270-024-01167-z","Hossain Muhammad MuctadirDavid A. Manrique NegrinRaghavendran GunasekaranLoek CleophasMark van den BrandBoudewijn R. Haverkort","2024","http://link.springer.com/article/10.1007/s10270-024-01167-z","Article"
"Developing an agriculture ontology for extracting relationships from texts using Natural Language Processing to enhance semantic understanding","International Journal of Information Technology","","","","10.1007/s41870-024-01809-x","Saurabh BhattacharyaManju Pandey","2024","http://link.springer.com/article/10.1007/s41870-024-01809-x","Article"
"Suicidal ideation prediction based on social media posts using a GAN-infused deep learning framework with genetic optimization and word embedding fusion","International Journal of Information Technology","","16","4","10.1007/s41870-023-01725-6","Rohini KancharapuSri Nagesh Ayyagari","2024","http://link.springer.com/article/10.1007/s41870-023-01725-6","Article"
"Employing topology modification strategies in scale-free IoT networks for robustness optimization","Computing","","106","6","10.1007/s00607-024-01273-2","Zahoor Ali KhanMuhammad AwaisTurki Ali AlghamdiNadeem Javaid","2024","http://link.springer.com/article/10.1007/s00607-024-01273-2","Article"
"Application of Computer Simulation to the Anonymization of Personal Data: State-of-the-Art and Key Points","Programming and Computer Software","","49","4","10.1134/S0361768823040047","A. V. BorisovA. V. BosovA. V. Ivanov","2023","http://link.springer.com/article/10.1134/S0361768823040047","Article"
"Debugging convergence problems in probabilistic programs via program representation learning with SixthSense","International Journal on Software Tools for Technology Transfer","","26","3","10.1007/s10009-024-00737-2","Zixin HuangSaikat DuttaSasa Misailovic","2024","http://link.springer.com/article/10.1007/s10009-024-00737-2","Article"
"Particle swarm optimization based on temporal-difference learning for solving multi-objective optimization problems","Computing","","105","8","10.1007/s00607-023-01166-w","Desong ZhangGuangyu Zhu","2023","http://link.springer.com/article/10.1007/s00607-023-01166-w","Article"
"An overview of structural coverage metrics for testing neural networks","International Journal on Software Tools for Technology Transfer","","25","3","10.1007/s10009-022-00683-x","Muhammad UsmanYoucheng SunDivya GopinathRishi DangeLuca ManolacheCorina S. Păsăreanu","2023","http://link.springer.com/article/10.1007/s10009-022-00683-x","Article"
"Efficient processing of all neighboring object group queries with budget range constraint in road networks","Computing","","106","5","10.1007/s00607-024-01260-7","Yuan-Ko HuangChien-Pang Lee","2024","http://link.springer.com/article/10.1007/s00607-024-01260-7","Article"
"Exploring advanced feature selection techniques: an application to dialectal Arabic data","International Journal of Information Technology","","","","10.1007/s41870-024-01974-z","Ait Elouli AbdellahHassan OuahiEl Mehdi CherratAbdellatif Bekkar","2024","http://link.springer.com/article/10.1007/s41870-024-01974-z","Article"
"SimIMA: a virtual Simulink intelligent modeling assistant","Software and Systems Modeling","","23","1","10.1007/s10270-023-01093-6","Bhisma AdhikariEric J. RaposMatthew Stephan","2024","http://link.springer.com/article/10.1007/s10270-023-01093-6","Article"
"The state-of-practice in requirements specification: an extended interview study at 12 companies","Requirements Engineering","","28","3","10.1007/s00766-023-00399-7","Xavier FranchCristina PalomaresCarme QuerPanagiota ChatzipetrouTony Gorschek","2023","http://link.springer.com/article/10.1007/s00766-023-00399-7","Article"
"Extracting information and inferences from a large text corpus","International Journal of Information Technology","","15","1","10.1007/s41870-022-01123-4","Sandhya AvasthiRitu ChauhanDebi Prasanna Acharjya","2023","http://link.springer.com/article/10.1007/s41870-022-01123-4","Article"
"Enhancing sine cosine algorithm based on social learning and elite opposition-based learning","Computing","","106","5","10.1007/s00607-024-01256-3","Lei ChenLinyun MaLvjie Li","2024","http://link.springer.com/article/10.1007/s00607-024-01256-3","Article"
"Interference aware intelligent routing in cognitive radio based Vehicular Adhoc networks for smart city applications","International Journal of Information Technology","","","","10.1007/s41870-023-01434-0","Subrat Kumar SethiArunanshu Mahapatro","2023","http://link.springer.com/article/10.1007/s41870-023-01434-0","Article"
"Four vector intelligent metaheuristic for data optimization","Computing","","106","7","10.1007/s00607-024-01287-w","Hussam N. FakhouriFeras M. AwayshehSadi AlawadiMohannad AlkhalailehFaten Hamad","2024","http://link.springer.com/article/10.1007/s00607-024-01287-w","Article"
"MCDM approach integrating q-rung orthopair fuzzy sets and social network analysis for ranking UPI digital payments in India: a case study","International Journal of Information Technology","","","","10.1007/s41870-024-01923-w","Priyanshu AryaA. K. Pal","2024","http://link.springer.com/article/10.1007/s41870-024-01923-w","Article"
"Empowering flood forecasting through meteorological and social media data","International Journal of Information Technology","","","","10.1007/s41870-024-01961-4","Siddharth DebataSivasankar Elango","2024","http://link.springer.com/article/10.1007/s41870-024-01961-4","Article"
"Application and evaluation of interlinked approaches for modeling changing capabilities","Software and Systems Modeling","","","","10.1007/s10270-024-01181-1","Georgios KoutsopoulosAnna AnderssonJanis StirnaMartin Henkel","2024","http://link.springer.com/article/10.1007/s10270-024-01181-1","Article"
"Hybrid active shape model and deep neural network approach for lung cancer detection","International Journal of Information Technology","","","","10.1007/s41870-024-01853-7","Mohamed OthmaniBrahim IssaouiSalim El KhediriRehan Ullah Khan","2024","http://link.springer.com/article/10.1007/s41870-024-01853-7","Article"
"Understanding the integration of accessibility requirements in the development process of information systems: a systematic literature review","Requirements Engineering","","29","2","10.1007/s00766-023-00409-8","Pedro TeixeiraCeleste EusébioLeonor Teixeira","2024","http://link.springer.com/article/10.1007/s00766-023-00409-8","Article"
"VTM-GAN: video-text matcher based generative adversarial network for generating videos from textual description","International Journal of Information Technology","","16","1","10.1007/s41870-023-01468-4","Rayeesa MehmoodRumaan BashirKaiser J. Giri","2024","http://link.springer.com/article/10.1007/s41870-023-01468-4","Article"
"Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools","Software and Systems Modeling","","","","10.1007/s10270-024-01176-y","Fatma BozyigitTolgahan BardakciAlireza KhalilipourMoharram ChallengerGuus RamackersÖnder BaburMichel R. V. Chaudron","2024","http://link.springer.com/article/10.1007/s10270-024-01176-y","Article"
"A Survey on 360° Images and Videos in Mixed Reality: Algorithms and Applications","Journal of Computer Science and Technology","","38","3","10.1007/s11390-023-3210-1","Fanglue ZhangJunhong ZhaoYun ZhangStefanie Zollmann","2023","http://link.springer.com/article/10.1007/s11390-023-3210-1","Article"
"An approach based on NSGA-III algorithm for solving the multi-objective federated learning optimization problem","International Journal of Information Technology","","16","5","10.1007/s41870-024-01801-5","Issam ZidiIbrahim IssaouiSalim El KhediriRehan Ullah Khan","2024","http://link.springer.com/article/10.1007/s41870-024-01801-5","Article"
"A bounded constraint-based approach to aid in fault localization from a counterexample","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00558-1","Mohammed Bekkouche","2024","http://link.springer.com/article/10.1007/s11334-024-00558-1","Article"
"Privacy preserving using joint 2 K-means clustering and coati optimization algorithm for online social networks","International Journal of Information Technology","","16","4","10.1007/s41870-024-01729-w","Nithish Ranjan GowdaVenkateshK. R. Venugopal","2024","http://link.springer.com/article/10.1007/s41870-024-01729-w","Article"
"Turning asynchronicity into an opportunity: asynchronous communication for shared understanding with vision videos","Requirements Engineering","","29","1","10.1007/s00766-024-00414-5","Lukas NagelOliver KarrasSeyed Mahdi AmiriKurt Schneider","2024","http://link.springer.com/article/10.1007/s00766-024-00414-5","Article"
"Using reactive links to propagate changes across engineering models","Software and Systems Modeling","","","","10.1007/s10270-024-01186-w","Cosmina-Cristina RaţiuWesley K. G. AssunçãoEdvin HeracRainer HaasChristophe LauwerysAlexander Egyed","2024","http://link.springer.com/article/10.1007/s10270-024-01186-w","Article"
"Improving requirements completeness: automated assistance through large language models","Requirements Engineering","","29","1","10.1007/s00766-024-00416-3","Dipeeka LuitelShabnam HassaniMehrdad Sabetzadeh","2024","http://link.springer.com/article/10.1007/s00766-024-00416-3","Article"
"Community detection algorithms for recommendation systems: techniques and metrics","Computing","","105","2","10.1007/s00607-022-01131-z","Chaitali ChoudharyInder SinghManoj Kumar","2023","http://link.springer.com/article/10.1007/s00607-022-01131-z","Article"
"Revolutionizing lemon grading: an automated CNN-based approach for enhanced quality assessment","International Journal of Information Technology","","","","10.1007/s41870-024-01829-7","Samriddha SanyalRahul AdhikarySuvra Jyoti Choudhury","2024","http://link.springer.com/article/10.1007/s41870-024-01829-7","Article"
"Ontology enrichment from opinions using machine learning algorithms","International Journal of Information Technology","","","","10.1007/s41870-024-01873-3","Melissa OussaidFarida Bouarab-Dahmani","2024","http://link.springer.com/article/10.1007/s41870-024-01873-3","Article"
"VPI: Vehicle Programming Interface for Vehicle Computing","Journal of Computer Science and Technology","","39","1","10.1007/s11390-024-4035-2","Bao-Fu WuRen ZhongYuxin WangJian WanJi-Lin ZhangWeisong Shi","2024","http://link.springer.com/article/10.1007/s11390-024-4035-2","Article"
"A parametric analysis of AVA to optimise Netflix performance","International Journal of Information Technology","","15","5","10.1007/s41870-023-01281-z","Divya RastogiTasha Singh PariharHarish Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01281-z","Article"
"The use of artificial intelligence for detecting the duration of autistic students' emotions in social interaction with the NAO robot: a case study","International Journal of Information Technology","","16","2","10.1007/s41870-023-01682-0","G. LorenzoA. Lorenzo-Lledó","2024","http://link.springer.com/article/10.1007/s41870-023-01682-0","Article"
"BBBC-U-Net: optimizing U-Net for automated plant phenotyping using big bang big crunch global optimization algorithm","International Journal of Information Technology","","15","8","10.1007/s41870-023-01472-8","Sukanta GhoshAmar SinghShakti Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01472-8","Article"
"Fuzzy conceptualization of the search queries","International Journal of Information Technology","","16","2","10.1007/s41870-023-01449-7","P. SijinH. N. Champa","2024","http://link.springer.com/article/10.1007/s41870-023-01449-7","Article"
"Understanding the need for assistance in software modeling: interviews with experts","Software and Systems Modeling","","23","1","10.1007/s10270-023-01104-6","Maxime Savary-LeblancXavier Le PallecSébastien Gérard","2024","http://link.springer.com/article/10.1007/s10270-023-01104-6","Article"
"Explicable knowledge graph (X-KG): generating knowledge graphs for explainable artificial intelligence and querying them by translating natural language queries to SPARQL","International Journal of Information Technology","","16","3","10.1007/s41870-023-01692-y","Numair ShaikhTavishee ChauhanJayesh PatilSheetal Sonawane","2024","http://link.springer.com/article/10.1007/s41870-023-01692-y","Article"
"Research on General-Purpose Brain-Inspired Computing Systems","Journal of Computer Science and Technology","","39","1","10.1007/s11390-023-4002-3","Peng QuXing-Long JiJia-Jie ChenMeng PangYu-Chen LiXiao-Yi LiuYou-Hui Zhang","2024","http://link.springer.com/article/10.1007/s11390-023-4002-3","Article"
"Mathematical analysis of AMRes: unlocking enhanced recognition across audio-visual domains","International Journal of Information Technology","","","","10.1007/s41870-024-01739-8","Toktam ZoughiMahmood Deypir","2024","http://link.springer.com/article/10.1007/s41870-024-01739-8","Article"
"Reinvent Cloud Software Stacks for Resource Disaggregation","Journal of Computer Science and Technology","","38","5","10.1007/s11390-023-3272-0","Chen-Xi WangYi-Zhou ShanPeng-Fei ZuoHui-Min Cui","2023","http://link.springer.com/article/10.1007/s11390-023-3272-0","Article"
"ModelXGlue: a benchmarking framework for ML tools in MDE","Software and Systems Modeling","","","","10.1007/s10270-024-01183-z","José Antonio Hernández LópezJesús Sánchez CuadradoRiccardo RubeiDavide Di Ruscio","2024","http://link.springer.com/article/10.1007/s10270-024-01183-z","Article"
"EASAD: efficient and accurate suspicious activity detection using deep learning model for IoT-based video surveillance","International Journal of Information Technology","","","","10.1007/s41870-024-01955-2","Mohd Hanief WaniArman Rasool Faridi","2024","http://link.springer.com/article/10.1007/s41870-024-01955-2","Article"
"An adaptive workload-aware power consumption measuring method for servers in cloud data centers","Computing","","105","3","10.1007/s00607-020-00819-4","Weiwei LinYufeng ZhangWentai WuSimon FongLigang HeJia Chang","2023","http://link.springer.com/article/10.1007/s00607-020-00819-4","Article"
"Land use land cover mapping and snow cover detection in Himalayan region using machine learning and multispectral Sentinel-2 satellite imagery","International Journal of Information Technology","","16","2","10.1007/s41870-023-01673-1","Rashmi SainiSuraj Singh","2024","http://link.springer.com/article/10.1007/s41870-023-01673-1","Article"
"SMEC: Scene Mining for E-Commerce","Journal of Computer Science and Technology","","39","1","10.1007/s11390-021-1277-0","Gang WangXiang LiZi-Yi GuoDa-Wei YinShuai Ma","2024","http://link.springer.com/article/10.1007/s11390-021-1277-0","Article"
"An intent recognition pipeline for conversational AI","International Journal of Information Technology","","16","2","10.1007/s41870-023-01642-8","C. B. ChandrakalaRohit BhardwajChetana Pujari","2024","http://link.springer.com/article/10.1007/s41870-023-01642-8","Article"
"An exploratory study of rethinking user experience in the internet of things","Computing","","105","1","10.1007/s00607-022-01111-3","Hakim HacidOns Al-ShamailehZakaria Maamar","2023","http://link.springer.com/article/10.1007/s00607-022-01111-3","Article"
"Optimizing air quality monitoring device deployment: a strategy to enhance distribution efficiency","International Journal of Information Technology","","16","5","10.1007/s41870-024-01893-z","Pritisha SarkarMousumi Saha","2024","http://link.springer.com/article/10.1007/s41870-024-01893-z","Article"
"Improved bounding box regression loss for weapon detection systems using deep learning","International Journal of Information Technology","","","","10.1007/s41870-024-01889-9","Lucy SumiShouvik Dey","2024","http://link.springer.com/article/10.1007/s41870-024-01889-9","Article"
"Multi-operator based improved environmental adaptation method for application in real-world optimization problems","International Journal of Information Technology","","","","10.1007/s41870-023-01505-2","Ravi PrakashRanvijay","2023","http://link.springer.com/article/10.1007/s41870-023-01505-2","Article"
"Modelling information warfare dynamics to counter propaganda using a nonlinear differential equation with a PINN-based learning approach","International Journal of Information Technology","","16","3","10.1007/s41870-023-01684-y","Rashmikiran PandeyMrinal PandeyAlexey Nikolaevich Nazarov","2024","http://link.springer.com/article/10.1007/s41870-023-01684-y","Article"
"xCCL: A Survey of Industry-Led Collective Communication Libraries for Deep Learning","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2894-6","Adam WeingramYuke LiHao QiDarren NgLiuyao DaiXiaoyi Lu","2023","http://link.springer.com/article/10.1007/s11390-023-2894-6","Article"
"Efficacy analysis of NSGAII and multi-objective particle swarm optimization (MOPSO) in agent based weapon target assignment (WTA) model","International Journal of Information Technology","","16","3","10.1007/s41870-023-01674-0","Harinandan TungaSamarjit KarDebasis GiriIndrajit Pan","2024","http://link.springer.com/article/10.1007/s41870-023-01674-0","Article"
"Cross-Lingual Plagiarism Detection: Two Are Better Than One","Programming and Computer Software","","49","4","10.1134/S0361768823040138","K. AvetisyanG. GritsayA. Grabovoy","2023","http://link.springer.com/article/10.1134/S0361768823040138","Article"
"Leveraging attention layer in improving deep learning models performance for sentiment analysis","International Journal of Information Technology","","","","10.1007/s41870-023-01570-7","Monir Yahya SalmonyArman Rasool FaridiFaraz Masood","2023","http://link.springer.com/article/10.1007/s41870-023-01570-7","Article"
"A GPU scheme for multi-secret visual sharing with varied secret dimensions and contrast enhancement using blind super-resolution","International Journal of Information Technology","","16","3","10.1007/s41870-023-01693-x","M. Raviraja HollaD. Suma","2024","http://link.springer.com/article/10.1007/s41870-023-01693-x","Article"
"Measuring and improving software requirements elicitation in a small-sized software organization: a lightweight implementation of ISO/IEC/IEEE 15939:2017—systems and software engineering—measurement process","Requirements Engineering","","28","2","10.1007/s00766-022-00394-4","C. PachecoI. GarciaJ. A. Calvo-ManzanoM. Reyes","2023","http://link.springer.com/article/10.1007/s00766-022-00394-4","Article"
"A graph-based framework for model-driven optimization facilitating impact analysis of mutation operator properties","Software and Systems Modeling","","22","4","10.1007/s10270-022-01078-x","Stefan JohnJens KosiolLeen LambersGabriele Taentzer","2023","http://link.springer.com/article/10.1007/s10270-022-01078-x","Article"
"An empirical investigation of challenges of specifying training data and runtime monitors for critical software with machine learning and their relation to architectural decisions","Requirements Engineering","","29","1","10.1007/s00766-024-00415-4","Hans-Martin HeynEric KnaussIswarya MalleswaranShruthi Dinakaran","2024","http://link.springer.com/article/10.1007/s00766-024-00415-4","Article"
"Large text document summarization based on an enhanced fuzzy logic approach","International Journal of Information Technology","","","","10.1007/s41870-023-01563-6","Avaneesh Kumar YadavRanvijay RanvijayRama Shankar YadavVivek Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01563-6","Article"
"A systematic literature review of requirements engineering education","Requirements Engineering","","28","2","10.1007/s00766-022-00381-9","Marian DaunAlicia M. GrubbViktoria StenkovaBastian Tenbergen","2023","http://link.springer.com/article/10.1007/s00766-022-00381-9","Article"
"Functional Verification for Agile Processor Development: A Case for Workflow Integration","Journal of Computer Science and Technology","","38","4","10.1007/s11390-023-3285-8","Yi-Nan XuZi-Hao YuKai-Fan WangHua-Qiang WangJia-Wei LinYue JinLin-Juan ZhangZi-Fei ZhangDan TangSa WangKan ShiNing-Hui SunYun-Gang Bao","2023","http://link.springer.com/article/10.1007/s11390-023-3285-8","Article"
"Fuzzy intelligence based V2V routing protocol in Internet of Vehicles: a cross-layer approach","Computing","","105","12","10.1007/s00607-023-01203-8","Moyukh LahaRaja Datta","2023","http://link.springer.com/article/10.1007/s00607-023-01203-8","Article"
"Enhancing image retrieval accuracy through multi-resolution HSV-LNP feature fusion and modified K-NN relevance feedback","International Journal of Information Technology","","","","10.1007/s41870-024-02000-y","Maher AlrahhalK. P. Supreethi","2024","http://link.springer.com/article/10.1007/s41870-024-02000-y","Article"
"A two-phase method to optimize service composition in cloud manufacturing","Computing","","106","7","10.1007/s00607-024-01286-x","Qiang HuHaoquan QiYanzhe JiaLianen Qu","2024","http://link.springer.com/article/10.1007/s00607-024-01286-x","Article"
"Qos-based web service selection using time-aware collaborative filtering: a literature review","Computing","","106","6","10.1007/s00607-024-01283-0","Ezdehar JawabrehAdel Taweel","2024","http://link.springer.com/article/10.1007/s00607-024-01283-0","Article"
"On understanding and predicting issue links","Requirements Engineering","","28","4","10.1007/s00766-023-00406-x","Clara Marie LüdersTim PietzWalid Maalej","2023","http://link.springer.com/article/10.1007/s00766-023-00406-x","Article"
"An energy efficient encryption technique for the Internet of Things sensor nodes","International Journal of Information Technology","","16","4","10.1007/s41870-024-01750-z","Ishfaq SultanM. Tariq Banday","2024","http://link.springer.com/article/10.1007/s41870-024-01750-z","Article"
"Improving Entity Linking in Chinese Domain by Sense Embedding Based on Graph Clustering","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2835-4","Zhao-Bo ZhangZhi-Man ZhongPing-Peng YuanHai Jin","2023","http://link.springer.com/article/10.1007/s11390-023-2835-4","Article"
"Afcc: automatic fact-checkers’ consensus and credibility assessment for fake news detection","International Journal of Information Technology","","","","10.1007/s41870-024-01956-1","Sabrine AmriEsma Aïmeur","2024","http://link.springer.com/article/10.1007/s41870-024-01956-1","Article"
"Improving BERT Fine-Tuning via Self-Ensemble and Self-Distillation","Journal of Computer Science and Technology","","38","4","10.1007/s11390-021-1119-0","Yi-Ge XuXi-Peng QiuLi-Gao ZhouXuan-Jing Huang","2023","http://link.springer.com/article/10.1007/s11390-021-1119-0","Article"
"RUCIB: a novel rule-based classifier based on BRADO algorithm","Computing","","106","2","10.1007/s00607-023-01226-1","Iman MorovatianAlireza BasiriSamira Rezaei","2024","http://link.springer.com/article/10.1007/s00607-023-01226-1","Article"
"Ensemble adaptive online machine learning in data stream: a case study in cyber intrusion detection system","International Journal of Information Technology","","","","10.1007/s41870-024-01727-y","Khushnaseeb RoshanAasim Zafar","2024","http://link.springer.com/article/10.1007/s41870-024-01727-y","Article"
"Counterexample classification","Software and Systems Modeling","","23","2","10.1007/s10270-023-01118-0","Cole VickEunsuk KangStavros Tripakis","2024","http://link.springer.com/article/10.1007/s10270-023-01118-0","Article"
"Optimizing test case prioritization through ranked NSGA-2 for enhanced fault sensitivity analysis","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00561-6","Kamal GargShashi Shekhar","2024","http://link.springer.com/article/10.1007/s11334-024-00561-6","Article"
"Quantized Salp Swarm Algorithm (QSSA) for optimal feature selection","International Journal of Information Technology","","15","2","10.1007/s41870-023-01161-6","Ajit Kumar MahapatraNibedan PandaBinod Kumar Pattanayak","2023","http://link.springer.com/article/10.1007/s41870-023-01161-6","Article"
"MetaMorph: formalization of domain-specific conceptual modeling methods—an evaluative case study, juxtaposition and empirical assessment","Software and Systems Modeling","","22","1","10.1007/s10270-022-01047-4","Victoria DöllerDimitris KaragiannisWilfrid Utz","2023","http://link.springer.com/article/10.1007/s10270-022-01047-4","Article"
"Improve the recommendation using hybrid tendency and user trust","International Journal of Information Technology","","15","6","10.1007/s41870-023-01377-6","Jitendra KumarV. Ramanjaneyulu YannamHarshit PrajapatiBibhudatta SahooKorra Sathya Babu","2023","http://link.springer.com/article/10.1007/s41870-023-01377-6","Article"
"Assessment of the relevance of features associated with corn crop yield prediction in Colombia, a country in the Neotropical zone","International Journal of Information Technology","","16","4","10.1007/s41870-024-01762-9","Brayan-Leonardo Sierra-ForeroJulio Baron-VelandiaSebastian-Camilo Vanegas-Ayala","2024","http://link.springer.com/article/10.1007/s41870-024-01762-9","Article"
"SHBF: a secure and scalable hybrid blockchain framework for resolving trilemma challenges","International Journal of Information Technology","","","","10.1007/s41870-024-01897-9","G. M. Abdullah Al-KafiGolam AliJannateen Tajree FaizaKoli Rani PalSaha Reno","2024","http://link.springer.com/article/10.1007/s41870-024-01897-9","Article"
"Zero and few shot action recognition in videos with caption semantic and generative assist","International Journal of Information Technology","","16","5","10.1007/s41870-024-01808-y","Gayathri ThrilokachandranMamatha Hosalli Ramappa","2024","http://link.springer.com/article/10.1007/s41870-024-01808-y","Article"
"Breaking language barriers with ChatGPT: enhancing low-resource machine translation between algerian arabic and MSA","International Journal of Information Technology","","","","10.1007/s41870-024-01926-7","Baligh BabaaliMohammed SalemNawaf R. Alharbe","2024","http://link.springer.com/article/10.1007/s41870-024-01926-7","Article"
"Addressing the data gap: building a parallel corpus for Kashmiri language","International Journal of Information Technology","","","","10.1007/s41870-024-01979-8","Syed Matla Ul QumarMuzaffar AzimS. M. K. Quadri","2024","http://link.springer.com/article/10.1007/s41870-024-01979-8","Article"
"An Online Algorithm Based on Replication for Using Spot Instances in IaaS Clouds","Journal of Computer Science and Technology","","39","1","10.1007/s11390-023-1535-4","Zhi-Wei XuLi PanShi-Jun Liu","2024","http://link.springer.com/article/10.1007/s11390-023-1535-4","Article"
"A Novel Three-Staged Generative Model for Skeletonizing Chinese Characters with Versatile Styles","Journal of Computer Science and Technology","","38","6","10.1007/s11390-023-1337-8","Ye-Chuan TianSong-Hua XuCheickna Sylla","2023","http://link.springer.com/article/10.1007/s11390-023-1337-8","Article"
"Edge-driven Docker registry: facilitating XR application deployment","Computing","","","","10.1007/s00607-024-01310-0","Antonios MakrisEvangelos PsomakelisIoannis KorontanisTheodoros TheodoropoulosIoannis KontopoulosMaria PaterakiChristos DiouKonstantinos Tserpes","2024","http://link.springer.com/article/10.1007/s00607-024-01310-0","Article"
"Multi-label learning for identifying co-occurring class code smells","Computing","","","","10.1007/s00607-024-01294-x","Mouna Hadj-KacemNadia Bouassida","2024","http://link.springer.com/article/10.1007/s00607-024-01294-x","Article"
"Comparative study of low resource Digaru language using SMT and NMT","International Journal of Information Technology","","16","4","10.1007/s41870-024-01769-2","Rushanti KriKoj Sambyo","2024","http://link.springer.com/article/10.1007/s41870-024-01769-2","Article"
"Enhancing Storage Efficiency and Performance: A Survey of Data Partitioning Techniques","Journal of Computer Science and Technology","","39","2","10.1007/s11390-024-3538-1","Peng-Ju Liu 刘鹏举Cui-Ping Li 李翠平Hong Chen 陈　红","2024","http://link.springer.com/article/10.1007/s11390-024-3538-1","Article"
"An effective representation learning model for link prediction in heterogeneous information networks","Computing","","106","7","10.1007/s00607-023-01238-x","Vishnu KumarP. Radha Krishna","2024","http://link.springer.com/article/10.1007/s00607-023-01238-x","Article"
"Cloud storage tier optimization through storage object classification","Computing","","","","10.1007/s00607-024-01281-2","Akif Quddus KhanMihhail MatskinRadu ProdanChristoph BusslerDumitru RomanAhmet Soylu","2024","http://link.springer.com/article/10.1007/s00607-024-01281-2","Article"
"A technology transfer journey to a model-driven access control system","International Journal on Software Tools for Technology Transfer","","25","1","10.1007/s10009-023-00697-z","Martina De SanctisAmleto Di SalleLudovico IovinoMaria Teresa Rossi","2023","http://link.springer.com/article/10.1007/s10009-023-00697-z","Article"
"CGFSSO: the co-operative guidance factor based Salp Swarm Optimization algorithm for MPPT under partial shading conditions in photovoltaic systems","International Journal of Information Technology","","","","10.1007/s41870-024-01931-w","S. Antony RajE. ElakkiyaShathanaa RajmohanG. Giftson Samuel","2024","http://link.springer.com/article/10.1007/s41870-024-01931-w","Article"
"DSC-HRNet: a lightweight teaching pose estimation model with depthwise separable convolution and deep high-resolution representation learning in computer-aided education","International Journal of Information Technology","","15","5","10.1007/s41870-023-01297-5","Ziyun ZhaoAohua SongSiyu ZhengQingyun XiongJunqi Guo","2023","http://link.springer.com/article/10.1007/s41870-023-01297-5","Article"
