Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An approach for experimentally evaluating effectiveness and efficiency of coverage criteria for software testing","International Journal on Software Tools for Technology Transfer","","10","2","10.1007/s10009-007-0059-5","Atul GuptaPankaj Jalote","2008","http://link.springer.com/article/10.1007/s10009-007-0059-5","Article"
"First international competition on software testing","International Journal on Software Tools for Technology Transfer","","23","6","10.1007/s10009-021-00613-3","Dirk Beyer","2021","http://link.springer.com/article/10.1007/s10009-021-00613-3","Article"
"Who tested my software? Testing as an organizationally cross-cutting activity","Software Quality Journal","","20","1","10.1007/s11219-011-9157-4","Mika V. MäntyläJuha ItkonenJoonas Iivonen","2012","http://link.springer.com/article/10.1007/s11219-011-9157-4","Article"
"Risk orientation in software testing processes of small and medium enterprises: an exploratory and comparative study","Software Quality Journal","","24","3","10.1007/s11219-015-9289-z","Michael FeldererRudolf Ramler","2016","http://link.springer.com/article/10.1007/s11219-015-9289-z","Article"
"Automated Software Testing Technologies for Realistic Computer Graphics","Programming and Computer Software","","47","1","10.1134/S0361768820080034","E. Yu. DenisovA. G. VoloboyE. D. BiryukovM. S. KopylovI. A. Kalugina","2021","http://link.springer.com/article/10.1134/S0361768820080034","Article"
"Adaptation of General Concepts of Software Testing to Neural Networks","Programming and Computer Software","","44","5","10.1134/S0361768818050031","Yu. L. KarpovL. E. KarpovYu. G. Smetanin","2018","http://link.springer.com/article/10.1134/S0361768818050031","Article"
"An essay on software testing for quality assurance – Editor’s introduction","Annals of Software Engineering","","4","1","10.1023/A:1018906509232","Dick Hamlet","1997","http://link.springer.com/article/10.1023/A%3A1018906509232","Article"
"A controlled experiment on time pressure and confirmation bias in functional software testing","Empirical Software Engineering","","24","4","10.1007/s10664-018-9668-8","Iflaah SalmanBurak TurhanSira Vegas","2019","http://link.springer.com/article/10.1007/s10664-018-9668-8","Article"
"Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey","Software Quality Journal","","25","4","10.1007/s11219-016-9319-5","Vahid GarousiMatt M. EskandarKadir Herkiloğlu","2017","http://link.springer.com/article/10.1007/s11219-016-9319-5","Article"
"Dual programming approach to software testing","Software Quality Journal","","3","1","10.1007/BF00426947","M. GhiassiK. I. S. Woldman","1994","http://link.springer.com/article/10.1007/BF00426947","Article"
"On rapid releases and software testing: a case study and a semi-systematic literature review","Empirical Software Engineering","","20","5","10.1007/s10664-014-9338-4","Mika V. MäntyläBram AdamsFoutse KhomhEmelie EngströmKai Petersen","2015","http://link.springer.com/article/10.1007/s10664-014-9338-4","Article"
"Analysing the fitness landscape of search-based software testing problems","Automated Software Engineering","","24","3","10.1007/s10515-016-0197-7","Aldeida AletiI. MoserLars Grunske","2017","http://link.springer.com/article/10.1007/s10515-016-0197-7","Article"
"Challenges concerning test case specifications in automotive software testing: assessment of frequency and criticality","Software Quality Journal","","29","1","10.1007/s11219-020-09523-0","Katharina JuhnkeMatthias TichyFrank Houdek","2021","http://link.springer.com/article/10.1007/s11219-020-09523-0","Article"
"SERP-test: a taxonomy for supporting industry–academia communication","Software Quality Journal","","25","4","10.1007/s11219-016-9322-x","Emelie EngströmKai PetersenNauman bin AliElizabeth Bjarnason","2017","http://link.springer.com/article/10.1007/s11219-016-9322-x","Article"
"The skills that employers look for in software testers","Software Quality Journal","","27","4","10.1007/s11219-019-09462-5","Raluca FloreaViktoria Stray","2019","http://link.springer.com/article/10.1007/s11219-019-09462-5","Article"
"Exploring human factors of the agile software tester","Software Quality Journal","","","","10.1007/s11219-021-09561-2","Viktoria StrayRaluca FloreaLucas Paruch","2021","http://link.springer.com/article/10.1007/s11219-021-09561-2","Article"
"Artificial neural networks as multi-networks automated test oracle","Automated Software Engineering","","19","3","10.1007/s10515-011-0094-z","Seyed Reza ShahamiriWan M. N. Wan-KadirSuhaimi IbrahimSiti Zaiton Mohd Hashim","2012","http://link.springer.com/article/10.1007/s10515-011-0094-z","Article"
"A set of complexity metrics for guiding the software test process","Software Quality Journal","","4","4","10.1007/BF00402647","Peter Liggesmeyer","1995","http://link.springer.com/article/10.1007/BF00402647","Article"
"Supporting Controlled Experimentation with Testing Techniques: An Infrastructure and its Potential Impact","Empirical Software Engineering","","10","4","10.1007/s10664-005-3861-2","Hyunsook DoSebastian ElbaumGregg Rothermel","2005","http://link.springer.com/article/10.1007/s10664-005-3861-2","Article"
"Software test results exploration and visualization with continuous integration and nightly testing","International Journal on Software Tools for Technology Transfer","","24","2","10.1007/s10009-022-00647-1","Per Erik StrandbergWasif AfzalDaniel Sundmark","2022","http://link.springer.com/article/10.1007/s10009-022-00647-1","Article"
"Guest editors’ introduction to the special section on exploring the boundaries of software test automation","Software Quality Journal","","19","4","10.1007/s11219-011-9159-2","Christof J. BudnikW. K. ChanGregory M. KapfhammerHong Zhu","2011","http://link.springer.com/article/10.1007/s11219-011-9159-2","Article"
"A greedy particle swarm optimization (GPSO) algorithm for testing real-world smart card applications","International Journal on Software Tools for Technology Transfer","","22","2","10.1007/s10009-018-00506-y","Hamzeh M. AllawiWaref Al ManaseerMohammad Al Shraideh","2020","http://link.springer.com/article/10.1007/s10009-018-00506-y","Article"
"A multiple case study on risk-based testing in industry","International Journal on Software Tools for Technology Transfer","","16","5","10.1007/s10009-014-0328-z","Michael FeldererRudolf Ramler","2014","http://link.springer.com/article/10.1007/s10009-014-0328-z","Article"
"An integrated automatic test data generation system","Journal of Systems Integration","","1","3 - 4","10.1007/BF02262722","A. Jefferson Offutt","1991","http://link.springer.com/article/10.1007/BF02262722","Article"
"Successes, challenges, and rethinking – an industrial investigation on crowdsourced mobile application testing","Empirical Software Engineering","","24","2","10.1007/s10664-018-9618-5","Ruizhi GaoYabin WangYang FengZhenyu ChenW. Eric Wong","2019","http://link.springer.com/article/10.1007/s10664-018-9618-5","Article"
"Onboarding inexperienced developers: struggles and perceptions regarding automated testing","Software Quality Journal","","25","4","10.1007/s11219-016-9333-7","Raphael PhamStephan KieslingLeif SingerKurt Schneider","2017","http://link.springer.com/article/10.1007/s11219-016-9333-7","Article"
"Practical relevance of software engineering research: synthesizing the community’s voice","Empirical Software Engineering","","25","3","10.1007/s10664-020-09803-0","Vahid GarousiMarkus BorgMarkku Oivo","2020","http://link.springer.com/article/10.1007/s10664-020-09803-0","Article"
"Specification‐based testing using cause‐effect graphs","Annals of Software Engineering","","4","1","10.1023/A:1018979130614","Amit ParadkarK.C. TaiM.A. Vouk","1997","http://link.springer.com/article/10.1023/A%3A1018979130614","Article"
"Selection and Evaluation of Test Data Based on Genetic Programming","Software Quality Journal","","11","2","10.1023/A:1023772729494","Maria Claudia F.P. EmerSilvia Regina Vergilio","2003","http://link.springer.com/article/10.1023/A%3A1023772729494","Article"
"Model-based test case generation and prioritization: a systematic literature review","Software and Systems Modeling","","21","2","10.1007/s10270-021-00924-8","Muhammad Luqman Mohd-ShafieWan Mohd Nasir Wan KadirHorst LichterMuhammad KhatibsyarbiniMohd Adham Isa","2022","http://link.springer.com/article/10.1007/s10270-021-00924-8","Article"
"Interface Mutation Test Adequacy Criterion: An Empirical Evaluation","Empirical Software Engineering","","6","2","10.1023/A:1011429104252","MÁrcio Eduardo DelamaroJosÉ Carlos MaldonadoAlberto PasquiniAditya P. Mathur","2001","http://link.springer.com/article/10.1023/A%3A1011429104252","Article"
"An evaluation of combination strategies for test case selection","Empirical Software Engineering","","11","4","10.1007/s10664-006-9024-2","Mats GrindalBirgitta LindströmJeff OffuttSten F. Andler","2006","http://link.springer.com/article/10.1007/s10664-006-9024-2","Article"
"A mapping study of the Brazilian SBSE community","Journal of Software Engineering Research and Development","","2","1","10.1186/2195-1721-2-3","Wesley KG AssunçãoMárcio de O BarrosThelma E ColanziArilo C Dias-NetoMatheus HE PaixãoJerffeson T de SouzaSilvia R Vergilio","2014","http://link.springer.com/article/10.1186/2195-1721-2-3","Article"
"Modeling presentation layers of web applications for testing","Software & Systems Modeling","","9","2","10.1007/s10270-009-0125-4","Jeff OffuttYe Wu","2010","http://link.springer.com/article/10.1007/s10270-009-0125-4","Article"
"Ct coverage — initial results","Software Quality Journal","","2","1","10.1007/BF00417425","W. G. BentlyE. F. Miller","1993","http://link.springer.com/article/10.1007/BF00417425","Article"
"Toward a mature industrial practice of software test automation","Software Quality Journal","","22","2","10.1007/s11219-014-9232-8","Hong ZhuDaniel HoffmanJohn HughesDianxiang Xu","2014","http://link.springer.com/article/10.1007/s11219-014-9232-8","Article"
"Characterizing industry-academia collaborations in software engineering: evidence from 101 projects","Empirical Software Engineering","","24","4","10.1007/s10664-019-09711-y","Vahid GarousiDietmar PfahlJoão M. FernandesMichael FeldererMika V. MäntyläDavid ShepherdAndrea ArcuriAhmet CoşkunçayBedir Tekinerdogan","2019","http://link.springer.com/article/10.1007/s10664-019-09711-y","Article"
"A correlation study between automated program repair and test-suite metrics","Empirical Software Engineering","","23","5","10.1007/s10664-017-9552-y","Jooyong YiShin Hwei TanSergey MechtaevMarcel BöhmeAbhik Roychoudhury","2018","http://link.springer.com/article/10.1007/s10664-017-9552-y","Article"
"Integration testing for robotic systems","Software Quality Journal","","30","1","10.1007/s11219-020-09535-w","Maria A. S. BritoSimone R. S. SouzaPaulo S. L. Souza","2022","http://link.springer.com/article/10.1007/s11219-020-09535-w","Article"
"Object‐oriented integration testing","Annals of Software Engineering","","8","1 - 4","10.1023/A:1018975313718","Imran BashirRaymod A. Paul","1999","http://link.springer.com/article/10.1023/A%3A1018975313718","Article"
"Empirical evaluation of optimization algorithms when used in goal-oriented automated test data generation techniques","Empirical Software Engineering","","12","2","10.1007/s10664-006-9026-0","Man XiaoMohamed El-AttarMarek ReformatJames Miller","2007","http://link.springer.com/article/10.1007/s10664-006-9026-0","Article"
"Impacts of the Organizational Model on Testing: Three Industrial Cases","Empirical Software Engineering","","9","4","10.1023/B:EMSE.0000039880.99096.af","Jarmo J. AhonenTuukka JunttilaMarkku Sakkinen","2004","http://link.springer.com/article/10.1023/B%3AEMSE.0000039880.99096.af","Article"
"Simulated annealing applied to test generation: landscape characterization and stopping criteria","Empirical Software Engineering","","12","1","10.1007/s10664-006-7551-5","Hélène WaeselynckPascale Thévenod-FosseOlfa Abdellatif-Kaddour","2007","http://link.springer.com/article/10.1007/s10664-006-7551-5","Article"
"Testing machine learning based systems: a systematic mapping","Empirical Software Engineering","","25","6","10.1007/s10664-020-09881-0","Vincenzo RiccioGunel JahangirovaAndrea StoccoNargiz HumbatovaMichael WeissPaolo Tonella","2020","http://link.springer.com/article/10.1007/s10664-020-09881-0","Article"
"A binomial software reliability model based on coverage of structural testing criteria","Empirical Software Engineering","","13","2","10.1007/s10664-007-9055-3","Adalberto Nobiato CrespoMario JinoAlberto PasquiniJosé Carlos Maldonado","2007","http://link.springer.com/article/10.1007/s10664-007-9055-3","Article"
"Data Generation for Path Testing","Software Quality Journal","","12","2","10.1023/B:SQJO.0000024059.72478.4e","Nashat MansourMiran Salame","2004","http://link.springer.com/article/10.1023/B%3ASQJO.0000024059.72478.4e","Article"
"Towards a framework for certification of reliable autonomous systems","Autonomous Agents and Multi-Agent Systems","","35","1","10.1007/s10458-020-09487-2","Michael FisherViviana MascardiKristin Yvonne RozierBernd-Holger SchlingloffMichael WinikoffNeil Yorke-Smith","2020","http://link.springer.com/article/10.1007/s10458-020-09487-2","Article"
"Systematic literature review on software quality for AI-based software","Empirical Software Engineering","","27","3","10.1007/s10664-021-10105-2","Bahar GeziciAyça Kolukısa Tarhan","2022","http://link.springer.com/article/10.1007/s10664-021-10105-2","Article"
"Using program data-state scarcity to guide automatic test data generation","Software Quality Journal","","18","1","10.1007/s11219-009-9083-x","Mohammad AlshraidehLeonardo BottaciBasel A. Mahafzah","2010","http://link.springer.com/article/10.1007/s11219-009-9083-x","Article"
"Software engineering in start-up companies: An analysis of 88 experience reports","Empirical Software Engineering","","24","1","10.1007/s10664-018-9620-y","Eriks KlotinsMichael UnterkalmsteinerTony Gorschek","2019","http://link.springer.com/article/10.1007/s10664-018-9620-y","Article"
"A benchmark-based evaluation of search-based crash reproduction","Empirical Software Engineering","","25","1","10.1007/s10664-019-09762-1","Mozhan SoltaniPouria DerakhshanfarXavier DevroeyArie van Deursen","2020","http://link.springer.com/article/10.1007/s10664-019-09762-1","Article"
"Systematic incremental validation of reactive systems via sound scenario generalization","Automated Software Engineering","","2","2","10.1007/BF00871825","Robert J. Hall","1995","http://link.springer.com/article/10.1007/BF00871825","Article"
"Test data generation for path coverage of message-passing parallel programs based on co-evolutionary genetic algorithms","Automated Software Engineering","","23","3","10.1007/s10515-014-0173-z","Tian TianDunwei Gong","2016","http://link.springer.com/article/10.1007/s10515-014-0173-z","Article"
