"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Order-aware exemplars for structuring video sets: Clustering, aligned matching and retrieval by similarity","Y. Matsuyama; A. Shikano; H. Iwase; T. Horie","Department of Computer Science and Engineering, Waseda University, Tokyo, Japan; Department of Computer Science and Engineering, Waseda University, Tokyo, Japan; Department of Computer Science and Engineering, Waseda University, Tokyo, Japan; Department of Computer Science and Engineering, Waseda University, Tokyo, Japan",2015 International Joint Conference on Neural Networks (IJCNN),"1 Oct 2015","2015","","","1","10","Video data captured and uploaded under volatile conditions is accumulating into a flood of unstructured content that is hard to manage. In this paper, we present a set of algorithms that generate numeric or soft labels to structure automatically and produce video similarity rankings. Exemplar frames are extracted from each video during the labeling process. We propose five types of learning algorithms based on the following three classes: affinity propagation, k-means or harmonic competition, and pairwise nearest-neighbor. For redundancy reduction, we also provide an algorithm that prunes excessive exemplars. The five learning algorithms produced creditable order-aware exemplar sets for the target videos. Because the content and lengths of the videos differ in terms of temporal order, we provide new methods to analyze the similarities between exemplar sets. The m-distance similarity measure is the core concept used for the global and local alignments performed on the obtained exemplar sets. Based on this comparison mechanism, we identified high-precision recall curves for all five methods. In terms of learning speed, the k-means and pairwise nearest-neighbor classes are recommendable. To facilitate similar-video retrieval, we developed a graphical user interface that accepts videos downloaded from the Web. By replacing a procedure in the software, the proposed similar-video retrieval system can accommodate more elaborate frame comparison features.","2161-4407","978-1-4799-1960-4","10.1109/IJCNN.2015.7280423","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280423","frame exemplar;numeric label;m-distance;similar-video retrieval","Floods;Redundancy;Software;Computational efficiency","","1","","17","IEEE","1 Oct 2015","","","IEEE","IEEE Conferences"
"The Influence of Social Capital in an Online Community on Online Review Quality in China","Q. Li; J. Cui; Y. Gao","University of International Business and Economics, Beijing, China; University of International Business and Economics, Beijing, China; University of International Business and Economics, Beijing, China",2015 48th Hawaii International Conference on System Sciences,"30 Mar 2015","2015","","","562","570","Collaboration is to make full use of the advantages of each one, not only saving time but also saving resources. As a form of collaboration, online reviews attract attentions of scholars and businessmen in China. However, previous research mostly explores how review quality affects product sales or how review content influences quality of online review. In this study, we present how social capital of reviewers affects the quality of review. Based on the social capital theory and social network theory, we consider a reviewer's social network, in degree and out degree, experience, and activity, and build a theoretical model for review quality. We use 1764 reviews in an online community in China to test our hypotheses through the Tobit regression method. The research results not only make theoretical contributions to research on online review quality, but also help enterprises manage and apply online reviews effectively.","1530-1605","978-1-4799-7367-5","10.1109/HICSS.2015.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7069723","Social Capital;Reviews Quality;Content Similarity;Social Network","Social network services;Communities;Collaboration;Shape;Open source software;Business","","1","","44","IEEE","30 Mar 2015","","","IEEE","IEEE Conferences"
"Experimental analyses of spectrum sensing using cyclic autocorrelation function diversity combining techniques in cognitive radio","S. Narieda; T. Hada","Dept. of Electr. and Comput. Eng., Akashi National College of Technology, Akashi, Hyogo, Japan; Dept. of Electr. and Comput. Eng., Akashi National College of Technology, Akashi, Hyogo, Japan",2014 IEEE International Conference on Communication Systems,"29 Jan 2015","2014","","","374","378","This paper discusses experimental analyses of spectrum sensing of an orthogonal frequency division multiplexing signal using cyclic autocorrelation function (CAF) diversity combining techniques in cognitive radio. Traditionally, the CAF diversity combining based spectrum sensing technique has been presented. The techniques is based on an equal gain combining and has a low computational cost in comparison with other cyclostationarity detection based spectrum sensing using space diversity. The paper provides the experimental results to validate the effectiveness of the CAF diversity combining technique. For experimental analyses, a testbed for the evaluation of multiple receive antennas based spectrum sensing is developed. The developed testbed is mainly composed of a Universal Software Radio Peripheral (USRP) / GNU Radio which is one of the software defined radio receiver, and the spectrum sensing technique is experimentally demonstrated at an anechoic chamber using 470-;710MHz frequency band allocated to ISDB-T (terrestrial digital broadcasting) in Japan. From these results, the effectiveness of the CAF diversity combining techniques is validated.","","978-1-4799-5832-0","10.1109/ICCS.2014.7024828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7024828","Cognitive radio network;spectrum sensing;signal cyclostationarity;OFDM signal;diversity combining;ex-periments","Diversity reception;Sensors;OFDM;Cognitive radio;Receiving antennas;Radio transmitters","","1","","16","IEEE","29 Jan 2015","","","IEEE","IEEE Conferences"
"Exact k-way sparse matrix partitioning","E. L. Jenneskens; R. H. Bisseling","Mathematical institute Utrecht University, Utrecht, The Netherlands; Mathematical institute Utrecht University, Utrecht, The Netherlands",2022 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"1 Aug 2022","2022","","","754","763","To minimize the communication in parallel sparse matrix-vector multiplication while maintaining load balance, we need to partition the sparse matrix optimally into k disjoint parts, which is an NP-complete problem. We present an exact algorithm based on the branch and bound (BB) method which partitions a matrix for any k, and we explore exact sparse matrix partitioning beyond bipartitioning. The algorithm has been implemented in a software package General Matrix Partitioner (GMP). We also present an integer linear programming (ILP) model for the same problem, based on a hypergraph formulation. We used both methods to determine optimal 2,3,4-way partitionings for a subset of small matrices from the SuiteSparse Matrix Collection. For k=2, BB outperforms ILP, whereas for larger k, ILP is superior. We used the results found by these exact methods for k=4 to analyse the performance of recursive bipartitioning (RB) with exact bipartitioning. For 46 matrices of the 89 matrices in our test set of matrices with less than 250 nonzeros, the communication volume determined by RB was optimal. For the other matrices, RB is able to find 4-way partitionings with communication volume close to the optimal volume.","","978-1-6654-9747-3","10.1109/IPDPSW55747.2022.00129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9835459","branch-and-bound;integer linear programming;exact algorithm;sparse matrix-vector multiplication;hypergraph;parallel computing","Distributed processing;Software packages;Conferences;Software algorithms;Integer linear programming;Partitioning algorithms;Sparse matrices","","","","20","IEEE","1 Aug 2022","","","IEEE","IEEE Conferences"
"Architecture for an Ultrasound Advanced Open Platform With an Arbitrary Number of Independent Channels","D. Mazierli; A. Ramalli; E. Boni; F. Guidi; P. Tortoli","Department of Information Engineering, University of Florence, Florence, Italy; Department of Information Engineering, University of Florence, Florence, Italy; Department of Information Engineering, University of Florence, Florence, Italy; Department of Information Engineering, University of Florence, Florence, Italy; Department of Information Engineering, University of Florence, Florence, Italy",IEEE Transactions on Biomedical Circuits and Systems,"12 Aug 2021","2021","15","3","486","496","Ultrasound open platforms are programmable and flexible tools for the development and test of novel methods. In most cases, they embed the electronics for the independent control of (maximum) 256 probe elements. However, a higher number of channels is needed for the control of 2-D array probes. This paper presents a system architecture that, through the hardware and software synchronization of multiple ULA-OP 256 scanners, may implement advanced open platforms with an arbitrary number of channels. The proposed solution needs a single personal computer, maintains real-time features, and preserves portability. A prototype demonstrator, composed of two ULA-OP 256 scanners connected to 512 elements of a matrix array, was implemented and tested according to different channel configurations. Experiments performed under MATLAB control confirmed that by doubling the number of elements (from 256 to 512) the signal-to-noise and contrast ratios improve by 9 dB and 3 dB, respectively. Furthermore, as a full 512-channel scanner, the demonstrator can produce real-time B-mode images at 18 Hz, high enough for probe positioning during acquisitions. Also, the demonstrator permitted the implementation of a new high frame rate, bi-plane, triplex modality. All probe elements are excited to simultaneously produce two planar, perpendicular diverging waves. Each scanner independently processes the echoes received by the 256 connected elements to beamform 1300 frames per second. For each insonified plane, good quality morphological (B-mode), qualitative (color flow-), and quantitative (spectral-) Doppler images are finally shown in real-time by a dedicated interface.","1940-9990","","10.1109/TBCAS.2021.3077664","Moore4Medical Project; Electronic Components and Systems for European Leadership(grant numbers:H2020-ECSEL-2019-IA-876190); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424708","3-D beamforming;high frame rate imaging;matrix array;multi-channel;open scanner;sparse array;synchronization;ultrasound","Software;Synchronization;Real-time systems;Iron;Field programmable gate arrays;Probes;Delays","Signal Processing, Computer-Assisted;Software;Ultrasonography","15","","49","CCBYNCND","6 May 2021","","","IEEE","IEEE Journals"
"Semantics-Aware Virtual Machine Image Management in IaaS Clouds","N. Saurabh; J. Remmers; D. Kimovski; R. Prodan; J. G. Barbosa","Institute of Computer Science, University of Innsbruck, Austria; Institute of Computer Science, University of Innsbruck, Austria; Institute of Information Technology, University of Klagenfurt, Austria; Institute of Computer Science, University of Innsbruck, Austria; LIACC, Faculdade de Engenharia da Universidade do Porto, Portugal",2019 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"2 Sep 2019","2019","","","418","427","Infrastructure-as-a-service (IaaS) Clouds concurrently accommodate diverse sets of user requests, requiring an efficient strategy for storing and retrieving virtual machine images (VMIs) at a large scale. The VMI storage management require dealing with multiple VMIs, typically in the magnitude of gigabytes, which entails VMI sprawl issues hindering the elastic resource management and provisioning. Nevertheless, existing techniques to facilitate VMI management overlook VMI semantics (i.e at the level of base image and software packages) with either restricted possibility to identify and extract reusable functionalities or with higher VMI publish and retrieval overheads. In this paper, we design, implement and evaluate Expelliarmus, a novel VMI management system that helps to minimize storage, publish and retrieval overheads. To achieve this goal, Expelliarmus incorporates three complementary features. First, it makes use of VMIs modelled as semantic graphs to expedite the similarity computation between multiple VMIs. Second, Expelliarmus provides a semantic aware VMI decomposition and base image selection to extract and store non-redundant base image and software packages. Third, Expelliarmus can also assemble VMIs based on the required software packages upon user request. We evaluate Expelliarmus through a representative set of synthetic Cloud VMIs on the real test-bed. Experimental results show that our semantic-centric approach is able to optimize repository size by 2.2 - 16 times compared to state-of-the-art systems (e.g. IBM's Mirage and Hemera) with significant VMI publish and slight retrieval performance improvement.","1530-2075","978-1-7281-1246-6","10.1109/IPDPS.2019.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820973","Virtual machine image management, semantic similarity, storage optimization.","Semantics;Software packages;Cloud computing;Virtual machining;Linux;Resource management;Optimization","","2","","31","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Hybrid Algorithm of Locust Swarm and Spider Colony for Global Optimization Problems","S. Rodzin; O. Rodzina","Department of Software Engineering, Southern Federal University, Taganrog, Russia; Department of Software Engineering, Southern Federal University, Taganrog, Russia",2024 7th International Conference on Information Technologies in Engineering Education (Inforino),"13 Jun 2024","2024","","","1","6","Nature-inspired algorithms demonstrate great potential for solving complex search engine optimization problems in engineering calculations and design of large and small energy facilities, including renewable energy sources. In this paper, we propose a novel hybrid algorithm that models the behavior patterns of a locust swarm and a spider colony to efficiently solve global optimization problems of multivariate multi-extremal functions. The modified locust swarm algorithm avoids concentration of individuals at the current best positions, reduces the probability of premature convergence, and maintains the intensification/diversification balance. The modified spider colony algorithm models two unique behavior patterns, allows diversification of the search space for the optimal solution, and acts as a filter to reduce the influence of very good or bad solutions on the search process. Hybridization of the modified algorithms is done by combining them sequentially (preprocessor/post-processor). We experimentally tested the algorithm on seven known multivariate functions. We compared the results with competing algorithms for particle swarm, differential evolution, and colony of bees. The proposed algorithm provides better results for all considered functions. Checking the statistical significance of the results obtained using the Wilcoxon rank sum test for independent samples showed that the algorithm results are statistically significant.","","979-8-3503-7136-9","10.1109/Inforino60363.2024.10552010","Russian Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552010","algorithm;global optimum;agent;locust swarm;spider colony;behavior pattern;search intensification;search diversification;test function;Wilcowon test","Memetics;Renewable energy sources;Heuristic algorithms;Metaheuristics;Search engines;Search problems;Particle swarm optimization","","","","16","IEEE","13 Jun 2024","","","IEEE","IEEE Conferences"
"Effect of Stemming Nazief & Adriani on the Ratcliff/Obershelp algorithm in identifying level of similarity between slang and formal words","W. Hidayat; E. Utami; A. D. Hartanto","Magister of Informatics Engineering, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Magister of Informatics Engineering, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Faculty of Computer Science, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia",2020 3rd International Conference on Information and Communications Technology (ICOIACT),"29 Jan 2021","2020","","","22","27","The slang word is a word that is widely used everyday by social media users, especially in Indonesia. The language generally contains abbreviations or strange words that have absolutely no connection with the word in question, this often leads to ambiguity when analysis such as sentiment analysis and Information Retrieval (IR). But lately there has been a slang dictionary that keeps a list of slang words that are often used by internet users, the dictionary informs slang words into words in formal Indonesian. But there are still many studies, especially text mining that ignores or does not filter out the word slang so that it will likely affect the results in research that has been done. The Nazief & Adriani algorithm is an algorithm to transform basic forms using Indonesian morphology by eliminating prefixes and suffixes. The Ratcliff/Obershelp algorithm can determine the similarity between two strings by matching the two strings. The purpose of this study is to compare the word slang to the formal word Indonesian, it aims to find out the similarity between the word slang with the formal word so that it will be known the percentage level of slang similarity with the formal word to find out whether the formal basic word can indirectly representing the word slang with the degree of similarity. The dataset used by Kaggle and Github, the results of the study of the use of text preprocessing and stemming of the Nazief & Adriani algorithm affect the similarity of slang and formal words with the most frequent distribution in the range of values 0.8-0.89 (80% -89.99%) in three different tests with two types of datasets and affect the level of similarity of strings precisely on the dataset from Kaggle at the value of similarity 1 (100%) which previously amounted to 40 data to 927 data, the dataset from Github also increased to the value of similarity 1 (100%) which previously did not have data to 409 data.","","978-1-7281-7356-6","10.1109/ICOIACT50329.2020.9331973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331973","Nazief & Adriani;Ratcliff/Obershelp;Similarity;Colloquial","Text mining;Sentiment analysis;Dictionaries;Social networking (online);Transforms;Software development management;Testing","","3","","21","IEEE","29 Jan 2021","","","IEEE","IEEE Conferences"
"Image Similarity: From Syntax to Weak Semantics Using Multimodal Features with Application to Multimedia Retrieval","J. Perkiö; A. Tuominen; P. Myllymäki","Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland; Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland; Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland",2009 International Conference on Multimedia Information Networking and Security,"31 Dec 2009","2009","1","","213","219","Measuring image similarity is an important task for various multimedia applications. Similarity can be defined at two levels: at the syntactic (lower, context-free) level and at the semantic (higher, contextual) level. As long as one deals with the syntactic level, defining and measuring similarity is a relatively straightforward task, but as soon as one starts dealing with the semantic similarity, the task becomes very difficult. We examine the use of very simple syntactic image features combined with other multimodal features to derive a similarity measure that captures the weak semantics of an image. We test and further use this similarity measure to do video retrieval.","2162-8998","978-0-7695-3843-3","10.1109/MINES.2009.271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368364","image similarity;weak semantics;image retrieval","Image retrieval;Streaming media;Application software;Computer security;Information security;Information retrieval;Information technology;Computer science;Testing;Frequency domain analysis","","2","","14","IEEE","31 Dec 2009","","","IEEE","IEEE Conferences"
"iASTMapper: An Iterative Similarity-Based Abstract Syntax Tree Mapping Algorithm","N. Zhang; Q. Chen; Z. Zheng; Y. Zou","Sun Yat-sen University, China; Sun Yat-sen University, China; Sun Yat-sen University, China; Queen's University, Canada",2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"8 Nov 2023","2023","","","863","874","Abstract syntax tree (AST) mapping algorithms are widely used to locate the code changes in a file revision by mapping the AST nodes of the source code before and after the code changes. A recent differential testing of three state-of- the-art AST mapping algorithms, i.e., GumTree, MTDiff, and IJM, reveals that the algorithms generate inaccurate mappings for a considerable number of file revisions. We find that the inaccurate mappings could be caused by the mutual influence: the mappings of lower-level AST nodes (e.g., tokens) have impacts on the mappings of higher-level AST nodes (e.g., statements) and vice versa. This mutual influence issue is rarely considered by existing algorithms. In this paper, we propose an algorithm, called iASTMapper, that iteratively map two ASTs based on the similarities between AST nodes. Given a file revision, we extract three types of AST nodes in different levels of program structures (i.e., tokens, statements, and inner-statements) from the ASTs of the two source code files. We first build mappings of the unchanged statements and inner-statements. Then, we use an iterative method to map the rest of the nodes without mapping. For each of the three types of nodes, we iteratively map the nodes based on their similarities measured using heuristic rules. We further use an iterative mechanism to connect the three iterative mapping processes by considering the mutual influence between the mappings of different types of nodes. Finally, a series of code edit actions are generated from the node mappings to help users understand and locate the code changes during revisions. We conduct experiments to compare iASTMapper with three baselines, i.e., GumTree, MTDiff, and IJM, by automatically evaluating 210,997 file revisions from ten Java projects. Furthermore, we manually evaluate the correctness of the code edit actions generated for 200 file revisions with 12 evaluators. The results demonstrate that iASTMapper outperforms the baselines. iASTMapper can generate shorter code edit actions by at least 1.29% than the baselines, with a high accuracy of 96.23%.","2643-1572","979-8-3503-2996-4","10.1109/ASE56229.2023.00178","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298413","AST mapping;Code change analysis","Java;Codes;Source coding;Software algorithms;Syntactics;Iterative algorithms;Testing","","","","36","IEEE","8 Nov 2023","","","IEEE","IEEE Conferences"
