"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Assessing Air-Interface Dataset Similarity and Diversity for AI-Enabled Wireless Communications","H. Tang; L. Yang; R. Zhou; J. Liang; H. Wei; X. Wang; Q. Shi; Z. -Q. Luo","Shenzhen Research Institute of Big Data, The Chinese University of Hong Kong, Shenzhen, China; Shenzhen Research Institute of Big Data, The Chinese University of Hong Kong, Shenzhen, China; Shenzhen Research Institute of Big Data, The Chinese University of Hong Kong, Shenzhen, China; Wireless Research Department, Huawei Company, Shanghai, China; Wireless Research Department, Huawei Company, Shanghai, China; Wireless Research Department, Huawei Company, Shanghai, China; School of Software Engineering, Tongji University, Shanghai, China; Shenzhen Research Institute of Big Data, The Chinese University of Hong Kong, Shenzhen, China",2024 IEEE International Conference on Communications Workshops (ICC Workshops),"12 Aug 2024","2024","","","1623","1628","Ahstract- The integration of artificial intelligence (AI) into wireless communication systems is set to profoundly transform the design and optimization of emerging sixth-generation (6G) networks. The success of AI-driven wireless systems hinges on the quality of the air-interface data, which is fundamental to the performance of AI algorithms. Within data quality assessment (DQA), the measurement of similarity and diversity stands as crucial. Similarity assesses the consistency of datasets in mirroring their intrinsic statistical properties, which is essential for AI model accuracy. In contrast, diversity relates to the models' ability to generalize across various contexts. This paper concentrates on these aspects of DQA and proposes a comprehensive framework for analyzing similarity and diversity in wireless air-interface data. Catering to various data types, such as channel state information (CSI), signal-to-interference-plus-noise ratio (SINR), and reference signal received power (RSRP), the framework is validated using CSI data. Through this validation, we demonstrate the framework's efficacy in improving CSI compression and recovery in Massive Multiple-Input Multiple-Output (MIMO) systems, highlighting its significance and versatility in complex wireless network environments.","2694-2941","979-8-3503-0405-3","10.1109/ICCWorkshops59551.2024.10615485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10615485","Data quality assessment;AI-enabled wireless communication;similarity;diversity","Wireless communication;Data integrity;Conferences;Atmospheric modeling;Wireless networks;Transforms;Artificial intelligence","","","","30","IEEE","12 Aug 2024","","","IEEE","IEEE Conferences"
"Bit-Flip Attack Detection for Secure Sparse Matrix Computations on FPGA","N. G; N. S; K. S","Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Kottayam, India; Department of Electronics, Cochin University of Science And Technology, Kerala, India; Department of Electronics and Communication Engineering, Indian Institute of Information Technology, Kottayam, India",2023 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS),"1 May 2024","2023","","","65","69","Bit-Flip Attacks (BFA) pose a significant threat to the security of sparse Deep Neural Network (DNN) architectures. This paper introduces a novel hardware implementation to identify these attacks in large-scale DNN architectures. By leveraging the benefits of Compressed Sparse Row (CSR) representations, the proposed architecture effectively safeguards the sparse connections of DNNs from bit-flip attacks. This paper highlights the importance of protecting sparse connections in DNN architectures, considering the security implications. While software-based prevention methods have limitations and are vulnerable to attacks, a hardware implementation offers enhanced security measures. Experimental evaluations are conducted using various benchmark sparse matrices from the SuiteSparse matrix collection. The results show an average accuracy rate of 96%, proving the effectiveness of the hardware-based approach in detecting and preventing bit-flip attacks in sparse DNN architectures. Proposed architecture has been implemented on a Xilinx Kintex-7 FPGA device and has observed significant reduction in resource utilization when compared to state-of-the-art techniques.","2768-3516","979-8-3503-8119-1","10.1109/APCCAS60141.2023.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10509980","Bit-Flip Attack;Neural Network;Hardware Security;Row Hammer Attack;Sparse Matrix;FPGA","Circuits and systems;Asia;Computer architecture;Artificial neural networks;Benchmark testing;Hardware;Sparse matrices","","","","12","IEEE","1 May 2024","","","IEEE","IEEE Conferences"
"Formal Analysis of Timing Diversity for Autonomous Systems","A. Christmann; R. Hapka; R. Ernst","Institute of Computer and Network Engineering, Technische Universität Braunschweig, Germany; Institute of Computer and Network Engineering, Technische Universität Braunschweig, Germany; Institute of Computer and Network Engineering, Technische Universität Braunschweig, Germany","2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)","2 Jun 2023","2023","","","1","6","The design of autonomous systems, such as for automated driving and avionics, is challenging due to high performance requirements combined with high criticality. Complex applications demand the full performance of commercial high performance multi-core systems of-the-shelf (COTS), with or without accelerators. While these systems are optimized for performance, hard real-time requirements and deterministic timing behavior are major constraints for safety-critical systems. Unfortunately, infrequent timing outliers caused by interleaved hardware-software effects of COTS systems complicate traditional worst-case design. This conflict often prohibits deploying COTS hardware and consequently prevents sophisticated applications, too. Recently, an approach called Timing Diversity was introduced, which proposes to exploit existing dual modular redundant hardware platforms to mask deadline violations. This paper puts Timing Diversity on a theoretical foundation and provides specification for different implementations. It demonstrates that Timing Diversity needs fast recovery to be effective, proposes a recovery strategy and provides a mathematical model for the reliability of the resulting system. Using experimental data in a Linux based system, it shows that fast recovery is useful, making Timing Diversity a realistic option for compute demanding hard real-time applications.","1558-1101","979-8-3503-9624-9","10.23919/DATE56975.2023.10137030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137030","","Autonomous systems;Reliability theory;Software;Hardware;Real-time systems;Mathematical models;Timing","","1","","16","","2 Jun 2023","","","IEEE","IEEE Conferences"
"A Hybrid Approach to Paraphrase Detection Based on Text Similarities and Machine Learning Classifiers","M. Hany; W. H. Gomaa","Faculty of Computer Science, MSA University, Giza, Egypt; Faculty of Computer and Artificial Intelligence, Faculty of Computer Science, Beni-Suef University, MSA University, Egypt","2022 2nd International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)","1 Jun 2022","2022","","","343","348","In the realm of natural language processing (NLP), paraphrase detection is a highly common and significant activity. Because it is involved in a lot of complicated and complex NLP applications like information retrieval, text mining, and plagiarism detection. The proposed model finds the best combination of the three types of similarity techniques that are string similarity, semantic similarity and embedding similarity. Then, inputs these similarity scores that range from 0 to 1, to the machine learning classifiers. This proposed model will be benchmarked on “the Microsoft research paraphrase corpus” dataset (MSRP) and from this approach for paraphrase detection problem, the accuracy acquired is 75.78% and F1-Score of 83.01 %.","","978-1-6654-6677-6","10.1109/MIUCC55081.2022.9781678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781678","Paraphrase Detection;Text Similarity;Machine Learning;Natural Language Processing","Text mining;Plagiarism;Semantics;Machine learning;Benchmark testing;Ubiquitous computing;Information retrieval","","4","","19","IEEE","1 Jun 2022","","","IEEE","IEEE Conferences"
"FLeCCS: A Technique for Suggesting Fragment-Level Similar Co-change Candidates","M. Mondal; C. K. Roy; B. Roy; K. A. Schneider","Computer Science and Engineering Discipline, Khulna University, Bangladesh; Department of Computer Science, University of Saskatchewan, Canada; Department of Computer Science, University of Saskatchewan, Canada; Department of Computer Science, University of Saskatchewan, Canada",2021 IEEE/ACM 29th International Conference on Program Comprehension (ICPC),"28 Jun 2021","2021","","","160","171","When a programmer changes a particular code fragment, the other similar code fragments in the code-base may also need to be changed together (i.e., co-changed) consistently to ensure that the software system remains consistent. Existing studies and tools apply clone detectors to identify these similar co-change candidates for a target code fragment. However, clone detectors suffer from a confounding configuration choice problem and it affects their accuracy in retrieving co-change candidates.In our research, we propose and empirically evaluate a lightweight co-change suggestion technique that can automatically suggest fragment level similar co-change candidates for a target code fragment using WA-DiSC (Weighted Average Dice-Sørensen Co-efficient) through a context-sensitive mining of the entire code-base. We apply our technique, FLeCCS (Fragment Level Co-change Candidate Suggester), on six subject systems written in three different programming languages (Java, C, and C#) and compare its performance with the existing state-of-the-art techniques. According to our experiment, our technique outperforms not only the existing code clone based techniques but also the association rule mining based techniques in detecting co-change candidates with a significantly higher accuracy (precision and recall). We also find that File Proximity Ranking performs significantly better than Similarity Extent Ranking when ranking the co-change candidates suggested by our proposed technique.","2643-7171","978-1-6654-1403-6","10.1109/ICPC52881.2021.00024","Natural Sciences and Engineering Research Council of Canada; Canada First Research Excellence Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463009","Code Clones;Clone-Types;Micro-Clones;Co-change Candidates","Couplings;Java;Databases;Cloning;Detectors;Tools;Software systems","","3","","69","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Semantic Word Error Rate for Sentence Similarity","C. Spiccia; A. Augello; G. Pilato; G. Vassallo","Italian National Research Council (CNR), Istituto di calcolo e reti ad alte prestazioni (ICAR), Palermo, Italy; Italian National Research Council (CNR), Istituto di calcolo e reti ad alte prestazioni (ICAR), Palermo, Italy; Italian National Research Council (CNR), Istituto di calcolo e reti ad alte prestazioni (ICAR), Palermo, Italy; Dipart. di Ingegneria Chimica, Universitá degli Studi di Palermo, Palermo, Italy",2016 IEEE Tenth International Conference on Semantic Computing (ICSC),"24 Mar 2016","2016","","","266","269","Sentence similarity measures have applications in several tasks, including: Machine Translation, Paraphrase Identification, Speech Recognition, Question-answering and Text Summarization. However, measures designed for these tasks are aimed at assessing equivalence rather than resemblance, partly departing from human cognition of similarity. While this is reasonable for these activities, it hinders the applicability of sentence similarity measures to other tasks. We therefore propose a new sentence similarity measure specifically designed for resemblance evaluation, in order to cover these fields better. Experimental results are discussed.","","978-1-5090-0662-5","10.1109/ICSC.2016.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439346","Semantic Word Error Rate;SWER;sentence similarity measure;sentence resemblance;word relatedness;Latent Semantic Analysis;LSA;Word Error Rate;WER","Extraterrestrial measurements;Semantics;Current measurement;Measurement uncertainty;Error analysis;Atmospheric measurements;Particle measurements","","4","","22","IEEE","24 Mar 2016","","","IEEE","IEEE Conferences"
"Siamese Similarity Between Two Sentences Using Manhattan's Recurrent Neural Networks","A. A. Aziz; E. C. Djamal; R. Ilyas","Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia; Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia; Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia","2019 International Conference of Advanced Informatics: Concepts, Theory and Applications (ICAICTA)","13 Apr 2020","2019","","","1","6","Paraphrasing detection needs to understand the sentence as a whole, not just every word. Therefore, if a learning machine does it, it is necessary to process it as a whole word, the relationship between words in a sentence. Recurrent Neural Networks (RNN) are methods commonly used to describe the connection between inputs. This study proposed the detection of paraphrases between two sentences using Manhattan Recurrent Neural Networks. One sentence contains several words arranged in sequence using the Word2vec function. The connection of each word in the RNN network used Long Short-Term Memory. (LSTM). Obtained 800,000 pairs of training data provide accuracy of 82.54% of new data. The experimental results showed that the amount of training data variation is dominant to the number of training data. These results are better than the accuracy of the new data, with half of the training data only yielding 64%. Besides, the result gave the number of epochs during the training collected increased data correctness result.","","978-1-7281-3452-9","10.1109/ICAICTA.2019.8904412","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8904412","Siamese Similarity;RNN;paraphrase;word2vec;LSTM","Training data;Recurrent neural networks;Natural language processing;Semantics;Labeling;Plagiarism;Training","","3","","21","IEEE","13 Apr 2020","","","IEEE","IEEE Conferences"
"Movie Recommendation based on User Similarity of Consumption Pattern Change","M. Kim; S. Jeon; H. Shin; W. Choi; H. Chung; Y. Nah","Dept. of Data Science, Dankook University, Yongin-si, Korea; Dept. of Computer Science, Dankook University, Yongin-si, Korea; Dept. of Data Science, Dankook University, Yongin-si, Korea; Software-Centric University, Project Office Dankook University, Yongin-si, Korea; Dept. of Applied Computer Eng., Dankook University, Seoul, Korea; Dept. of Applied Computer Eng., Dankook University, Seoul, Korea",2019 IEEE Second International Conference on Artificial Intelligence and Knowledge Engineering (AIKE),"8 Aug 2019","2019","","","317","319","The recurrent neural network(RNN) deep learning algorithm, which mainly learns and predicts sequence data and time series data, is mainly used in language modeling, stock price prediction, and chat bot. In this paper, we propose a method of predicting and recommending a movie by considering movie consumption patterns of users. We measure the similarity between users based on movie rating data, classify users with similar movie preferences, and learn the consumption pattern of each similar user group to improve the prediction accuracy by considering the change of preference over time. In order to show the effectiveness of the proposed method, we apply the collaborative filtering algorithm, the simple RNN and our modified RNN and compare their prediction accuracies.","","978-1-7281-1488-0","10.1109/AIKE.2019.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8791705","movie-recommendation;user-similarity;consumption-pattern;sequence-data;Recurrent-Neural-Network","Motion pictures;Collaboration;Filtering;Recurrent neural networks;Filtering algorithms;Data models;Predictive models","","11","","8","IEEE","8 Aug 2019","","","IEEE","IEEE Conferences"
"The Improved Artificial Neural Network Based on Cosine Similarity in Facial Emotion Recognition","K. C. Kirana; S. Wibawanto; N. Hidayah; G. P. Cahyono","Department of Electrical Engineering, Universitas Negeri Malang, Malang, Indonesia; Department of Electrical Engineering, Universitas Negeri Malang, Malang, Indonesia; Department of Guidance and Counseling, Universitas Negeri Malang, Malang, Indonesia; Software Engineering, Visionet Data International, Malang, Indonesia","2019 6th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","3 Feb 2020","2019","","","45","48","In this study, we present the improved artificial neural network based on cosine similarity in facial emotion recognition. We apply a shifting window that employs a neural network for two concurrent processes consisting of face detection and emotional recognition. To prevent the slow and futile computations, non-face areas need to be filtered from neurons on each network layer, thus we propose the improved artificial neural network based on cosine similarity. Cosine similarity is employed to bypass the process of non-face areas in the neural network. The accuracy of the proposed method reaches 0.84, while the accuracy of the original neural network method reaches 0.74. It can be concluded that our methods work accurately. It can be concluded that our method works accurately. The proposed method is superior to the state-of-the-art algorithms","","978-602-0737-30-0","10.23919/EECSI48112.2019.8977006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977006","emotion recognition;neural network;cosine similarity","","","4","","15","","3 Feb 2020","","","IEEE","IEEE Conferences"
"Cutting Force Similarity Calculation in Milling Process Using Siamese LSTM Structure","J. Kwak; W. Jo; S. Lee; H. Kim; J. Koo; D. Kim","Division of Artificial Intelligence and Software, Ewha Womans University, Seoul, South Korea; Computer Science and Engineering, Chungnam National University, Daejeon, South Korea; Computer Science and Engineering, Chungnam National University, Daejeon, South Korea; Manufacturing System R&BD Group, Korea Institute of Industrial Technology, Cheonan, South Korea; Manufacturing System R&BD Group, Korea Institute of Industrial Technology, Cheonan, South Korea; Department of Data Science, Ewha Womans University, Seoul, South Korea",2023 2nd International Conference on Mechatronics and Electrical Engineering (MEEE),"24 May 2023","2023","","","54","58","Cutting force is a key factor in machining processes. Cutting force similarity is required for several important issues, namely: stability evaluation, process control, and process parameter setting. This study employed a long short-term memory (LSTM) with Siamese architecture to measure the similarity of the cutting forces in a milling process. The Siamese LSTM was trained with time series data of the vertical cutting force collected from a cutting tool during the milling process to calculate the similarity. For evaluation, dynamic time warping (DTW), a common approach used to calculate the similarity of time series data, was employed for comparison with the Siamese LSTM. Experimental results showed that the proposed Siamese LSTM outperformed the conventional DTW-based similarity calculation.","","978-1-6654-7445-0","10.1109/MEEE57080.2023.10126810","Korea Institute of Industrial Technology(grant numbers:Kitech EO-19-0043); National Research Foundation(grant numbers:2020R1F1A1075781); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10126810","similarity;cutting force;Siamese neural network;dynamic time warping;Manhattan distance;long short-term memory","Training;Electrical engineering;Mechatronics;Force measurement;Force;Time series analysis;Process control","","","","11","IEEE","24 May 2023","","","IEEE","IEEE Conferences"
