"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hashing Fuzzing: Introducing Input Diversity to Improve Crash Detection","H. D. Menendez; D. Clark","Computer Science Department, Middlesex University London, London, U.K.; Computer Science Department, University College London, London, U.K.",IEEE Transactions on Software Engineering,"16 Sep 2022","2022","48","9","3540","3553","The utility of a test set of program inputs is strongly influenced by its diversity and its size. Syntax coverage has become a standard proxy for diversity. Although more sophisticated measures exist, such as proximity of a sample to a uniform distribution, methods to use them tend to be type dependent. We use r-wise hash functions to create a novel, semantics preserving, testability transformation for C programs that we call HashFuzz. Use of HashFuzz improves the diversity of test sets produced by instrumentation-based fuzzers. We evaluate the effect of the HashFuzz transformation on eight programs from the Google Fuzzer Test Suite using four state-of-the-art fuzzers that have been widely used in previous research. We demonstrate pronounced improvements in the performance of the test sets for the transformed programs across all the fuzzers that we used. These include strong improvements in diversity in every case, maintenance or small improvement in branch coverage – up to 4.8 perent improvement in the best case, and significant improvement in unique crash detection numbers – between 28 to 97 perent increases compared to test sets for untransformed programs.","1939-3520","","10.1109/TSE.2021.3100858","Nvidia; Engineering and Physical Sciences Research Council(grant numbers:InfoTestSS EP/P005888/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502543","System testing;fuzz testing;HashFuzz;universal hashing","Instruments;Hash functions;Testing;Software;System testing;Fuzzing;Generators","","5","","60","IEEE","30 Jul 2021","","","IEEE","IEEE Journals"
"Inferring Relations Among Test Programs in Microservices Applications","E. De Angelis; G. De Angelis; A. Pellegrini; M. Proietti","IASI-CNR, Rome, Italy; IASI-CNR, Rome, Italy; IASI-CNR, Rome, Italy; IASI-CNR, Rome, Italy",2021 IEEE International Conference on Service-Oriented System Engineering (SOSE),"15 Oct 2021","2021","","","114","123","The emergence of the microservices-oriented architectural style calls for novel methodologies and technological frameworks that support the design, development, and main-tainance of applications structured according to this new style. In this paper, we consider the issue of designing suitable strategies for the governance and the automation of testing activities within the microservices paradigm. We focus on the problem of discovering relations between test programs that help avoiding to re-run all the available test suites each time one of its constituents evolves. We propose an analysis technique, based on symbolic execution of test programs, which is able to collect information about the invocations of local and remote APIs performed when running such programs. Symbolic execution enables the analysis of sets of executions corresponding to different input data, and hence it is also suitable for parametric test programs. The information extracted by symbolic execution is processed by a rule-based automated reasoning engine, which infers dependencies and similarities among test programs. In particular, test programs are considered similar if they involve the same microservice instance, or they connect to the same remote API, or they locally activate overlapping APIs, or they raise similar kinds of errors. We show the viability of our approach by presenting a case study within the context of a real-world microservice application that implements an open-source educational platform.","2642-6587","978-1-6654-3477-5","10.1109/SOSE52839.2021.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564098","software testing;microservices architecture;test program similarity;symbolic execution;automated reasoning","Automation;Service-oriented systems engineering;Conferences;Cognition;Data mining;Open source software;Engines","","2","","41","IEEE","15 Oct 2021","","","IEEE","IEEE Conferences"
"Structural Coverage of LTL Requirements for Learning-based Testing","H. A. Quddus; M. A. Sindhu","Department of Computer Sciences, Quaid-i-Azam University, Islamabad, Pakistan; Department of Computer Sciences, Quaid-i-Azam University, Islamabad, Pakistan",2022 International Conference on IT and Industrial Technologies (ICIT),"30 Dec 2022","2022","","","1","6","Learning-based testing (LBT) is an innovative variant of black-box testing in which test cases are derived by making use of automaton learning and model checking algorithms along with providing Linear Temporal Logic (LTL) requirements of the System Under Test (SUT). There is a scarcity of test coverage metrics for black-box testing in general and LBT in particular. Structural coverage of an LTL requirement is a mechanism that gauges how well a test suite has exercised the structure of the LTL formula. In contrast to the code-driven or model-driven coverage metrics, this coverage provides implementation-independent coverage corresponding to an LTL requirement. This has been defined and used in the literature for black-box testing; however, not for LBT. This paper analyzes and implements the structural coverage criteria for the LTL requirements for evaluating the LBT-generated test suite. We evaluate the structural coverage metrics using the Cruise Control System (CCS) and the ATM systems. The results show that the LBT test suite provides complete structural coverage of the safety LTL requirements in terms of Requirement Coverage (RC), Antecedent Coverage (AC), and Unique First Cause Coverage (UFCC). In the case of liveness LTL requirements, relatively less structural coverage is achieved by the LBT tests, possibly because of the involvement of loops in tests.","","978-1-6654-8945-4","10.1109/ICIT56493.2022.9989218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9989218","LBT (Learning-based Testing);LTL (Linear Temporal Logic) requirements;RC (Requirement Coverage);AC (Antecedent Coverage);UFCC (Unique First Cause Coverage)","Measurement;Learning automata;Closed box;Model checking;Safety;Testing;Cruise control","","","","22","IEEE","30 Dec 2022","","","IEEE","IEEE Conferences"
"Weaving Context Sensitivity into Test Suite Construction","H. Wang; W. K. Chan","Department of Computer Science, University of Hong Kong, Hong Kong, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China",2009 IEEE/ACM International Conference on Automated Software Engineering,"18 Mar 2010","2009","","","610","614","Context-aware applications capture environmental changes as contexts and self-adapt their behaviors dynamically. Existing testing research has not explored context evolutions or their patterns inherent to individual test cases when constructing test suites. We propose the notation of context diversity as a metric to measure how many changes in contextual values of individual test cases. In this paper, we discuss how this notion can be incorporated in a test case generation process by pairing it with coverage-based test data selection criteria.","1938-4300","978-1-4244-5259-0","10.1109/ASE.2009.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5431725","context diversity;software testing;context-aware programe","Weaving;Software testing;Computer science;Application software;Software engineering;Automatic testing;Middleware;Physics computing;Working environment noise;Programming profession","","12","","15","IEEE","18 Mar 2010","","","IEEE","IEEE Conferences"
"Optimal Synchronizable Test Sequence from Test Segments","J. Chen; L. Duan","School of Computer Science, University of Windsor, Windsor, ONT, Canada; School of Computer Science, University of Windsor, Windsor, ONT, Canada",2006 Sixth International Conference on Quality Software (QSIC'06),"19 Dec 2006","2006","","","266","273","Finite-state-machine-based conformance testing has been extensively studied in the literature in the context of centralized test architecture. With a distributed test architecture which involves multiple remote testers, the application of a test sequence may encounter controllability problems. One of the possible solutions to overcome this problem is to carefully select a suitable test sequence so that its application to the implementation under test will not involve controllability problems. A common problem in doing so is to generate a test sequence, avoiding controllability problems during its application in the test procedure, so that all given test segments have been contained in the test sequence. In this paper, we present an optimal solution to this problem, taking into account possible overlaps among the test segments","2332-662X","0-7695-2718-3","10.1109/QSIC.2006.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4032294","conformance testing;finite state machine;test sequence;distributed testing;unique input/output sequence.","System testing;Controllability;Observability;Circuit testing;Computer architecture;Automata;Automatic testing;Software testing;Computer science;Application software","","1","","25","IEEE","19 Dec 2006","","","IEEE","IEEE Conferences"
"Diversity of interaction in a quality assurance course","M. Ardis; C. Dugas","Department of Computer Science and Software Engineering, Rose Hulman Institute of Technology, USA; Department of Curriculum Instruction and Media Technology, Indiana State University, USA",Proceedings Frontiers in Education 35th Annual Conference,"3 Apr 2006","2005","","","F1G","13","All software engineering courses face a daunting task: how to recreate within the classroom the environment of software engineering as it is practiced. There are three major difficulties to overcome: providing the cultural environment of professional software engineering, providing opportunities for learning by observation and imitation, and providing opportunities for constructive feedback from teammates. Each of these difficulties can be addressed, but some creativity may be required to solve them within the traditional classroom setting","2377-634X","0-7803-9077-6","10.1109/FIE.2005.1612028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1612028","Quality assurance;situated learning;software engineering;usability testing;Vygotsky","Quality assurance;Software engineering;Software quality;Application software;Software testing;Automatic testing;System testing;Computer science;Software design;Software performance","","","","5","IEEE","3 Apr 2006","","","IEEE","IEEE Conferences"
"PODS — A project on diverse software","P. G. Bishop; D. G. Esp; M. Barnes; P. Humphreys; G. Dahll; J. Lahti","Central Electricity Research Laboratories, UK Central Electricity Generating Board, Surrey, UK; Central Electricity Research Laboratories, UK Central Electricity Generating Board, Surrey, UK; UK Atomic Energy Authority, UK; UK Atomic Energy Authority, UK; Institute for Energy, USA; Technical Research Centre of Finland (VTT), Finland",IEEE Transactions on Software Engineering,"26 Sep 2012","1986","SE-12","9","929","940","A review of the Project on Diverse Software (PODS), a collaborative software reliability research project, is presented. The purpose of the project was to determine the effect of a number of different software development techniques on software reliability. The main objectives were to evaluate the merits of using diverse software, evaluate the specification language X-SPEX, and compare the productivity and reliability associated with high-level and low-level languages. A secondary objective was to monitor the software development process, with particular reference to the creation and detection of software faults. To achieve these objectives, an experiment was performed which simulated a normal software development process to produce three diverse programs to the same requirement. The requirement was for a reactor over-power protection (trip) system. After careful independent development and testing, the three programs were tested against each other in a special test harness to locate residual faults. The conclusions drawn from this project are discussed.","1939-3520","","10.1109/TSE.1986.6313048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6313048","Fault classification;n-version programming;PODS;programming languages;reactor protection;software diversity;software faults;software reliability;specification languages;X","Software;Testing;Inductors;Specification languages;Software reliability;Documentation;Quality assurance","","64","","","IEEE","26 Sep 2012","","","IEEE","IEEE Journals"
"Including Everyone, Everywhere: Understanding Opportunities and Challenges of Geographic Gender-Inclusion in OSS","G. A. A. Prana; D. Ford; A. Rastogi; D. Lo; R. Purandare; N. Nagappan","School of Computing and Information Systems, Singapore Management University, Singapore, Singapore; Software Analysis and Intelligence, Microsoft Research, Redmond, WA, USA; Faculty of Science and Engineering, University of Groningen, Groningen, The Netherlands; School of Computing and Information Systems, Singapore Management University, Singapore, Singapore; Computer Science and Engineering, Indraprastha Institute of Information Technology, New Delhi, Delhi, India; Testing, Verification and Measurement Research, Microsoft Research, Redmond, WA, USA",IEEE Transactions on Software Engineering,"16 Sep 2022","2022","48","9","3394","3409","The gender gap is a significant concern facing the software industry as the development becomes more geographically distributed. Widely shared reports indicate that gender differences may be specific to each region. However, how complete can these reports be with little to no research reflective of the Open Source Software (OSS) process and communities software is now commonly developed in? Our study presents a multi-region geographical analysis of gender inclusion on GitHub. This mixed-methods approach includes quantitatively investigating differences in gender inclusion in projects across geographic regions and investigate these trends over time using data from contributions to 21,456 project repositories. We also qualitatively understand the unique experiences of developers contributing to these projects through a survey that is strategically targeted to developers in various regions worldwide. Our findings indicate that gender diversity is low across all parts of the world, with no substantial difference across regions. However, there has been statistically significant improvement in diversity worldwide since 2014, with certain regions such as Africa improving at faster pace. We also find that most motivations and barriers to contributions (e.g., lack of resources to contribute and poor working environment) were shared across regions, however, some insightful differences, such as how to make projects more inclusive, did arise. From these findings, we derive and present implications for tools that can foster inclusion in open source software communities and empower contributions from everyone, everywhere.","1939-3520","","10.1109/TSE.2021.3092813","Research Lab for Intelligent Software Engineering; School of Computing and Information Systems; Singapore Management University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9466393","Inclusion;OSS;software engineering;empirical studies;GitHub;diversity;gender;geographic regions","Gender issues;Software development management;Open source software;Software engineering;Europe;Toy manufacturing industry;Industries","","19","","81","IEEE","28 Jun 2021","","","IEEE","IEEE Journals"
"Unique features of electronic device testing using NI-technologies","V. Butin; A. Butina; F. Chubrukov","FSUE VNIIA, All-Russia Research Institute of Automatics, Moscow, Russia; FSUE VNIIA, All-Russia Research Institute of Automatics, Moscow, Russia; FSUE VNIIA, All-Russia Research Institute of Automatics, Moscow, Russia",2015 International Siberian Conference on Control and Communications (SIBCON),"2 Jul 2015","2015","","","1","4","The paper describes methodological problems of functional check and parametric testing of electronic devices by using modular NI PXI-devices in various environmental conditions.The operation algorithm of developed automated test system can analyze the time measurement of various parameters; it synchronizes time between measurements, creates experimental data back-ups and minimizes measurement time. The log-file allows detecting the sequence of errors during the functional check of electronic device. The interface module controls the data exchange by multiplex channel and it is integrated in automated test system. The application-dependent software provides the remote parameters measurement and research control. The control program realizes the switching of the device power supply to external power source in case of the control parameters exceeding the limits. The developed test system has been approbated at modeling and simulation facilities of ROSATOM companies such as FSUE VNIIA (Moscow, Russia), FSUE RISI (Lytkarino, Russia) and SSC RF - IPPE (Obninsk, Russia).","","978-1-4799-7103-9","10.1109/SIBCON.2015.7147314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7147314","PXI;testing algorithm;electronic device;multiplex channel","Testing;Power supplies;Couplings;Nickel;Software;Microcontrollers;Resistance","","","","8","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"Software Reliability Modeling and Analysis via Kernel-Based Approach","K. Okumura; H. Okamura; T. Dohi","Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan",2017 22nd International Conference on Engineering of Complex Computer Systems (ICECCS),"15 Feb 2018","2017","","","154","157","Traditional software reliability analysis utilizes only the fault count data observed in testing phase, and is done independently of the source code itself. Recently, it is known that utilization of software metrics in software reliability modeling and analysis can lead to more accurate reliability estimation and fault prediction through many empirical studies. However, such a metrics-based modeling also requires a careful selection of software metrics and their measurement, which are often troublesome and cost-consuming in practice. In this paper, we propose a kernel-based approach to estimate the quantitative software reliability, where two cases are considered; multiple software metrics are used and not. In the former case, we combine the kernel regression with the well-known non-homogeneous Poisson process-based software reliability growth model (SRGM), and propose a new metrics-based SRGM. In the latter case, we perform a similarity-based analysis through a source code transformation algorithm and try to estimate the quantitative software reliability from the source code directly without measuring multiple software metrics. Numerical examples with real application programs are presented to validate our kernel-based approach in the above two cases.","","978-1-5386-2431-9","10.1109/ICECCS.2017.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292815","software reliability;software reliability growth model;kernel method;non-homogeneous Poisson process;similarity analysis;static source code analysis;statistical estimation;regularization;fault-free probability","Kernel;Software reliability;Software metrics;Estimation","","","","7","IEEE","15 Feb 2018","","","IEEE","IEEE Conferences"
