"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperating diverse experts: a methodology to develop quality software for critical decision support systems","D. Pradhan; H. Hecht; M. Hecht; F. Meyer; N. Vaidya","Department of Computer Science, Texas A and M University, TX, USA; SoHaR, Inc.orporated, Beverly Hills, CA, USA; SoHaR, Inc.orporated, Beverly Hills, CA, USA; Department of Computer Science, Texas A and M University, TX, USA; Department of Computer Science, Texas A and M University, TX, USA",1995 IEEE Aerospace Applications Conference. Proceedings,"6 Aug 2002","1995","2","","49","60 vol.2","The problem of developing software for critical systems in the decision support context is considered. The limitations of existing software development methodologies are mentioned and a new methodology, cooperating diverse experts (CDE), is proposed. This new methodology draws upon techniques used in multiple version software and in distributed recovery blocks. The methodology relies upon the ultrareliable development of a parameterizable arbitrator to administer the cooperation of multiple diverse implementations (interpretations) of the decision support problem. CDE may be used to develop a single reliable software module or it may be used as an operational system in which some modules are multiply implemented.<>","","0-7803-2473-0","10.1109/AERO.1995.468917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=468917","","Software quality;Formal specifications;Formal languages;Natural languages;Software systems;NASA;Testing;Computer science;Programming;Aircraft","","","","26","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Malware obfuscation measuring via evolutionary similarity","Jian Li; Jun Xu; Ming Xu; HengLi Zhao; Ning Zheng","Institute of Computer Application Technology, Hangzhou Dianzi University, China; The Third Research Institute of The Ministry of Public Security, China; Institute of Computer Application Technology, Hangzhou Dianzi University, China; Institute of Computer Application Technology, Hangzhou Dianzi University, China; Institute of Computer Application Technology, Hangzhou Dianzi University, China",2009 First International Conference on Future Information Networks,"20 Nov 2009","2009","","","197","200","With prevailing of the malware, it is necessary to measure the malware obfuscation. We traced the system calls as the dynamic action of malware, and used evolutionary similarity to measure obfuscation. An algorithm, which uses sequence alignment as a way of arranging the sequences to identify similar regions, has been proposed to calculate the similarity. We used real-world malwares to test the resilience of our method. Our experiment has shown that our method has strong resilience against common obfuscation technologies.","","978-1-4244-5158-6","10.1109/ICFIN.2009.5339567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5339567","malware;obfuscation;similarity;evolutionary similarity","Sequences;Resilience;Bioinformatics;DNA;RNA;Proteins;Switches;Software measurement;Computer applications;Computer security","","2","1","10","IEEE","20 Nov 2009","","","IEEE","IEEE Conferences"
"Digital microfluidic biochips: Functional diversity, More than Moore, and cyberphysical systems","K. Chakrabarty; P. Pop; T. -Y. Ho","Duke University, Durham, NC, USA; Technical University of Denmark, Kongens Lyngby, Denmark; National Cheng Kung University, Tainan, Taiwan",2011 Proceedings of the Ninth IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),"27 Oct 2011","2011","","","377","377","Summary form only given. The 2010 International Technology Roadmap for Semiconductors (ITRS) predicted that bio-medical chips will soon revolutionize the healthcare market. These bio-medical chips should be able to sense and actuate, store and manipulate data, and transmit information. To realize such bio-medical chips, the integration of embedded systems and microfluidics inevitably leads to a new research dimension for More than Moore and beyond. This tutorial will introduce attendees to the emerging technology of digital microfluidics, which is poised to play a key role in the transformation of healthcare and the interplay between biochemistry and embedded systems. Advances in droplet-based “digital” microfluidics have led to the emergence of biochip devices for automating laboratory procedures in biochemistry and molecular biology. These devices enable the precise control of nanoliter-volume droplets of biochemical samples and reagents. Therefore, integrated circuit (IC) technology can be used to transport and transport “chemical payload” in the form of micro/nanofluidic droplets. As a result, non-traditional biomedical applications and markets (e.g., high-throughout DNA sequencing, portable and point-of-care clinical diagnostics, protein crystallization for drug discovery), and fundamentally new uses are opening up for ICs and systems. However, continued growth (and larger revenues resulting from technology adoption by pharmaceutical and healthcare companies) depends on advances in chip integration and design-automation tools. In particular, design-automation tools are needed to ensure that biochips are as versatile as the macro-labs that they are intended to replace. This is therefore an opportune time for the semiconductor industry and circuit/system designers to make an impact in this emerging field. This tutorial offers attendees an opportunity to bridge the semiconductor ICs/systems industry with the biomedical and pharmaceutical industries. The audience will see how a “biochip compiler” can translate protocol descriptions provided by an end user (e.g., a chemist or a nurse at a doctor's clinic) to a set of optimized and executable fluidic instructions that will run on the underlying digital microfluidic platform. Testing techniques will be described to detect faults after manufacture and during field operation. Sensor integration and close coupling between the underlying hardware and the control software in a cyberphysical framework will also be described. A number of case studies based on representative assays and laboratory procedures will be interspersed in appropriate places throughout the tutorial. Commercial devices and advanced prototypes from the major company in this market segment (Advanced Liquid Logic, Inc.) will be described, and ongoing activity on newborn screening using digital microfluidic biochips at several large hospitals in Illinois will be highlighted. The topics covered in the tutorial include the following: 1) Technology and application drivers: Motivation and background, actuation methods, electrowetting and digital microfluidics, review of micro-fabrication processes, applications to biochemistry, medicine, and laboratory procedures. 2) System-level design automation: Synthesis techniques: scheduling of fluidic operations, resource binding (mapping of operations to on-chip resources), module placement. 3) Physical-level design automation: droplet routing, defect tolerance, chip-level design, and design of pin-constrained biochips. 4) Testing and design-for-testability: Defects, fault modeling, test planning, reconfiguration techniques, sensor integration and cyberphysical system design.","","978-1-4503-0715-4","10.1145/2039370.2039430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062311","Microfluidics;biochips;system-on-chip;design automation","Microfluidics;Medical services;Tutorials;Laboratories;Integrated circuits;Educational institutions;Biochemistry","","1","","","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Loss Switching Fusion with Similarity Search for Video Classification","L. Wang; D. Q. Huynh; M. R. Mansour","iCetana Pty Ltd, Subiaco, WA, USA; Department of Computer Science and Software Engineering, University of Western Australia, Crawley, WA, Australia; iCetana Pty Ltd, Subiaco, WA, USA",2019 IEEE International Conference on Image Processing (ICIP),"26 Aug 2019","2019","","","974","978","From video streaming to security and surveillance applications, video data play an important role in our daily living today. However, managing a large amount of video data and retrieving the most useful information for the user remain a challenging task. In this paper, we propose a novel video classification system that would benefit the scene understanding task. We define our classification problem as classifying background and foreground motions using the same feature representation for outdoor scenes. This means that the feature representation needs to be robust enough and adaptable to different classification tasks. We propose a lightweight Loss Switching Fusion Network (LSFNet) for the fusion of spatiotemporal descriptors and a similarity search scheme with soft voting to boost the classification performance. The proposed system has a variety of potential applications such as content-based video clustering, video filtering, etc. Evaluation results on two private industry datasets show that our system is robust in both classifying different background motions and detecting human motions from these background motions.","2381-8549","978-1-5386-6249-6","10.1109/ICIP.2019.8803051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8803051","video clustering;loss switching network;hashing","Training;Feature extraction;Testing;Spatiotemporal phenomena;Three-dimensional displays;Streaming media","","16","","38","IEEE","26 Aug 2019","","","IEEE","IEEE Conferences"
"Research on Diversified Designing Methods and User Evaluation of Smartphone Interface","L. Zhang; Y. Liu; W. Guo","School of Design, Jiangnan University, Wuxi, China; School of Design, Jiangnan University, Wuxi, China; School of Design, Jiangnan University, Wuxi, China",2010 International Symposium on Computational Intelligence and Design,"17 Jan 2011","2010","2","","10","13","The smartphone featured with surpassing the traditional-functioned featurephones turns out to be the future trend. This paper discusses the differences between smartphones and featurephones, new features of the software interface of smartphones, such as functions, size of its screen, multi-touch and intelligent sensing technology, and some peculiarities of software interface of smartphone, such as its property of being sensed or understood, efficiency and artistic quality, etc. It also discusses concrete methods of diverse design of the overall presentation of interface signs, visual style, and specific operation, etc. Furthermore, this article conducts the user evaluation test of actual using results of software interface for three kinds of smart phone system and quantitative analysis. These are conducive for designers to master the evaluation of specific function of interface presenting effect, and making possible improvements.","","978-1-4244-8094-4","10.1109/ISCID.2010.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5692721","Smartphone;software interface;diversify;user evaluation","Visualization;Operating systems;Smart phones;Mobile communication","","","","2","IEEE","17 Jan 2011","","","IEEE","IEEE Conferences"
"Evaluation of linguistic similarity measurement techniques for ontology alignment","M. H. Khan; S. Jan; I. Khan; I. A. Shah","Department of Computer Software Engineering, UET Peshawar, Khyber Pakhtunkhwa, Pakistan; Department of Computer Software Engineering, UET Peshawar, Khyber Pakhtunkhwa, Pakistan; Department of Computer Software Engineering, UET Peshawar, Khyber Pakhtunkhwa, Pakistan; Department of Computer Software Engineering, UET Peshawar, Khyber Pakhtunkhwa, Pakistan",2015 International Conference on Emerging Technologies (ICET),"21 Jan 2016","2015","","","1","6","To bridge the semantic gap between different offered ontologies, Ontology Engineers have proposed and implemented various matching techniques during the last decade. Still, these techniques require more efforts and investigations to achieve better precision and recall for the set of alignments. The ontology alignment process consists of mainly three different stages; namely, String based, Linguistic based and Structure based. This paper presents the evaluation and analysis of various linguistic based ontology alignment techniques and their performance during the overall alignment process. For this purpose, we have included those linguistic matching tools which are widely used in the alignment systems whose performance is relatively better in terms of precision and recall during the tests conducted for Ontology Alignment Evaluation Initiative (OAEI). The results presented in this paper were obtained using benchmark ontologies used in OAEI conference. The results and analysis shows the significance of linguistic tools in the overall alignment process. The analysis presented in this paper can also be used as future guidelines for the research community who utilizes the linguistic matchers for finding the semantically equal entities from different ontologies.","","978-1-5090-0436-2","10.1109/ICET.2015.7389207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7389207","Semantic Web;Ontology Alignment;Ontology;Knowledge engineering;WordNet","Ontologies;Pragmatics;Benchmark testing;Semantics;Databases;Computers","","3","","13","IEEE","21 Jan 2016","","","IEEE","IEEE Conferences"
"BigCloneBench: A Retrospective and Roadmap","J. Svajlenko; C. K. Roy","NA; Department of Computer, Science University of Saskatchewan, Saskatoon, Canada",2022 IEEE 16th International Workshop on Software Clones (IWSC),"14 Dec 2022","2022","","","8","9","Since BigCloneBench was released in 2014, it has been widely used for evaluating the modern clone detection tools. In this position paper, we outline our observations over the years and our thoughts for next steps. We conclude that BigCloneBench has been an accurate and useful vehicle for evaluating the recall of contemporary clone detection tools and could be further improved for evaluating semantic clone detectors. We observe that its dataset has been used in training innovative machine-learning based approaches to Type-4 clone detection, although it was not specifically designed for this purpose and may not be optimal. We call for more research in task-specific clone benchmarks, including datasets built with ML training in mind.","2572-6587","978-1-6654-8447-3","10.1109/IWSC55060.2022.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978239","clone detection;code similarity;benchmarks","Training;Conferences;Semantics;Cloning;Machine learning;Detectors;Benchmark testing","","1","","14","IEEE","14 Dec 2022","","","IEEE","IEEE Conferences"
"Software-only based Diverse Redundancy for ASIL-D Automotive Applications on Embedded HPC Platforms","S. Alcaide; L. Kosmidis; C. Hernandez; J. Abella","Barcelona Supercomputing Center, Barcelona, Spain; Barcelona Supercomputing Center, Barcelona, Spain; Barcelona Supercomputing Center, Barcelona, Spain; Barcelona Supercomputing Center, Barcelona, Spain",2020 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),"11 Nov 2020","2020","","","1","4","High-Performance Computing (HPC) platforms become a must in automotive systems to enable autonomous driving. However, automotive platforms must avoid Common Cause Failures (CCFs), as indicated by the ISO26262 automotive safety standard. CCFs can be avoided enforcing diverse redundancy. Unfortunately, HPC platforms fail to provide such support. This paper proposes a flexible and efficient software-based scheme to implement diverse redundancy on HPC platforms. A software implementation on a Commercial Off-The-Shelf ARM multicore proves the effectiveness of this scheme to guarantee diverse redundancy with negligible performance degradation. Our solution is the first step towards an automotive-compliant HPC platform.","2377-7966","978-1-7281-9457-8","10.1109/DFT50435.2020.9250750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9250750","","Multicore processing;Monitoring;Redundancy;Automotive engineering;Benchmark testing;Fault detection;Integrated circuits","","15","","35","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Frequency-Polarization-Diverse Aperture for Coincidence Imaging","S. Zhu; X. Dong; Y. He; M. Zhao; G. Dong; X. Chen; A. Zhang","School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; School of Telecommunication and Information Engineering, Xi’an University of Posts & Telecommunications, Xi’an, China; School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; School of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China",IEEE Microwave and Wireless Components Letters,"8 Jan 2018","2018","28","1","82","84","A wideband frequency-polarization-diverse reflection aperture (WFPRA) for coincidence imaging is proposed in this letter. The reflection aperture is composed of polarization sensitive metamaterial cells with different resonant frequencies and different rotation directions. The cross-polarization information can also be used to generate test modes (uncorrelated spatial gain distributions) based on the cross-polarization conversion of the basic cell of the WFPRA. The number of uncorrelated test modes can be significantly increased compared with the traditional case based on only one statistical dimension of frequency. The WFPRA is designed, which is assisted by the optimization method. The linear frequency modulation signal is used to improve the quality of the test signal. Simulations and experiments validate the proposed aperture.","1558-1764","","10.1109/LMWC.2017.2769448","Shaanxi Provincial Natural Science Foundation(grant numbers:2017ZDXM-GY-009); China Postdoctoral Science Foundation(grant numbers:2017M613136); Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China(grant numbers:61471292,61501365,61471388,61331005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8110689","Coincidence imaging;frequency-polarization sensitive;reflection aperture;wideband","Imaging;Apertures;Radar imaging;Resonant frequency;Metamaterials;Image resolution;Frequency modulation","","24","","13","IEEE","15 Nov 2017","","","IEEE","IEEE Journals"
"ReLog: A Novel Method for Log Recognition","B. Tian; Z. Wang; G. Chen; Y. Zhang; H. Zhou","Information Engineering University, Zhengzhou, China; Information Engineering University, Zhengzhou, China; Information Engineering University, Zhengzhou, China; Information Engineering University, Zhengzhou, China; Information Engineering University, Zhengzhou, China","2023 IEEE 6th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","29 Jan 2024","2023","","","723","726","The diversity of logs leads to difficulties in log anomaly detection. Identifying the source of logs can provide the guidelines for subsequent log anomaly detection. To this end, this paper proposes a method for log recognition based on similarity determination, called ReLog. ReLog first takes the feature codes of the target logs and matches them with the log feature codes in the baseline. Then ReLog uses cosine function to calculate the cosine similarity. Finally ReLog selects the item with the highest similarity and meets the minimum threshold as the matching item, so as to identify the log. In order to verify the effectiveness of ReLog, we tested it on datasets of 15 types of logs including Hadoop, Spark, and Mac. The experimental data shows that the recognition rate of ReLog is 99.14% with a acceptable overhead. In addition, it is also able to identify the logs produced by different versions of the same software with a 99.99% recognition rate.","2831-4549","979-8-3503-0562-3","10.1109/AUTEEE60196.2023.10407537","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10407537","Log Recognition;Similarity Determination;Regular Expression;Cosine Similarity","Electrical engineering;Codes;Software algorithms;Software;Sparks;Anomaly detection;Guidelines","","","","13","IEEE","29 Jan 2024","","","IEEE","IEEE Conferences"
"Securing Real-Time Cyber-Physical Systems Using WCET-Aware Artificial Diversity","J. Fellmuth; P. Herber; T. F. Pfeffer; S. Glesner","Software and Embedded Systems Engineering, Berlin Institute of Technology, Berlin, Germany; Software and Embedded Systems Engineering, Berlin Institute of Technology, Berlin, Germany; Software and Embedded Systems Engineering, Berlin Institute of Technology, Berlin, Germany; Software and Embedded Systems Engineering, Berlin Institute of Technology, Berlin, Germany","2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)","2 Apr 2018","2017","","","454","461","Artificial software diversity is an effective way to prevent software vulnerabilities and errors to be exploited in code-reuse attacks. This is achieved by lowering the individual probability of a successful attack to a level that makes the attack unfeasible. Unfortunately, the existing approaches are not applicable to safety-critical real-time systems as they induce unacceptable performance overheads, they violate safety and timing guarantees, or they assume hardware resources which are typically not available in embedded systems. To overcome these problems, we propose a safe diversity approach that preserves the timing properties of real-time processes by controlling its impact on the worst case execution time (WCET). Our main idea is to use block-level diversity with a large, but fixed set of movable instruction sequences, and to use static WCET analysis to identify non-critical areas of code where it can safely be split into more movable instruction sequences.","","978-1-5386-1956-8","10.1109/DASC-PICom-DataCom-CyberSciTec.2017.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328432","Security;Cyber-Physical Systems;Real-Time;Artificial Diversity;WCET","Security;Real-time systems;Layout;Cyber-physical systems;Embedded systems;Timing","","1","","37","IEEE","2 Apr 2018","","","IEEE","IEEE Conferences"
