"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting and Classifying Android PUAs by Similarity of DNS queries","M. Hatada; T. Mori","NTT Communications Corporation, Tokyo, Japan; Waseda University, Tokyo, Japan",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),"11 Sep 2017","2017","2","","590","595","This work develops a method of detecting and classifying “potentially unwanted applications” (PUAs) such as adware or remote monitoring tools. Our approach leverages DNS queries made by apps. Using a large sample of Android apps from third-party marketplaces, we first reveal that DNS queries can provide useful information for the detection and classification of PUAs. Next, we show that existing DNS blacklists are ineffective to perform these tasks. Finally, we demonstrate that our methodology performed with high accuracy.","0730-3157","978-1-5386-0367-3","10.1109/COMPSAC.2017.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029995","","Malware;Androids;Humanoid robots;Testing;Tools;Training","","4","","17","IEEE","11 Sep 2017","","","IEEE","IEEE Conferences"
"Early Experience with Transformer-Based Similarity Analysis for DataRaceBench","W. Chen; T. Vanderbruggen; P. -H. Lin; C. Liao; M. Emani","Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Argonne National Laboratory, Lemont, IL, USA",2022 IEEE/ACM Sixth International Workshop on Software Correctness for HPC Applications (Correctness),"31 Jan 2023","2022","","","45","53","DataRaceBench (DRB) is a dedicated benchmark suite to evaluate tools aimed to find data race bugs in OpenMP programs. Using microbenchmarks with or without data races, DRB is able to generate standard quality metrics and provide systematic and quantitative assessments of data race detection tools. However, as the number of microbenchmarks grows, it is challenging to manually identify similar code patterns for DRB, within the context of identifying duplicated kernels or guiding the additions of new kernels. In this paper, we experiment with a transformer-based, deep learning approach to similarity analysis. A state-of-the-art transformer model, CodeBERT, has been adapted to find similar OpenMP code regions. We explore the challenges and the solutions when applying transformer-based similarity analysis to new source codes which are unseen by pre-trained transformers. Using comparative experiments of different variants of similarity analysis, we comment on the strengths and limitations of the transformer-based approach and point out future research directions.","2831-3925","978-1-6654-6335-5","10.1109/Correctness56720.2022.00011","U.S. Department of Energy, Office of Science(grant numbers:DE-AC02-06CH11357); Advanced Scientific Computing Program(grant numbers:DE-SC0021293); LLNL(grant numbers:DE-AC52-07NA27344,LLNL-CONF-838838); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027519","Benchmarks;OpenMP;Data Races;Tools;Deep Learning;Transformers","Measurement;Training;Codes;Systematics;Semantics;Benchmark testing;Transformers","","1","","40","IEEE","31 Jan 2023","","","IEEE","IEEE Conferences"
"Paraphrase Detection Using Manhattan's Recurrent Neural Networks and Long Short-Term Memory","A. A. Aziz; E. C. Diamal; R. Ilyas","Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia; Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia; Department of Informatics, Universitas Jenderal Achmad Yani, Cimahi, Indonesia","2019 6th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","3 Feb 2020","2019","","","432","437","Natural Language Processing (NLP) is a part of artificial intelligence that can extract sentence structures from natural language. Some discussions about NLP are widely used, such as Recurrent Neural Networks (RNN) and Long Short-Term Memory (LSTM) to summarize papers with many sentences in them. Siamese Similarity is a term that applies repetitive twin network architecture to machine learning for sentence similarity. This architecture is also called Manhattan LSTM, which can be applied to the case of detecting paraphrase sentences. The paraphrase sentence must be recognized by machine learning first. Word2vec is used to convert sentences to vectors so they can be recognized in machine learning. This research has developed paraphrase sentence detection using Siamese Similarity with word2vec embedding. The experimental results showed that the amount of training data is dominant to the new data compared to the number of times and the variation in training data. Obtained data accuracy, 800,000 pairs provide accuracy reaching 99% of training data and 82.4% of new data. These results are better than the accuracy of the new data, with half of the training data only yielding 64%. While the amount of training data did not effect on training data.","","978-602-0737-30-0","10.23919/EECSI48112.2019.8976951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976951","Siamese Similarity;RNN;paraphrase;natural language processing","","","1","","21","","3 Feb 2020","","","IEEE","IEEE Conferences"
"CIDPro: Custom Instructions for Dynamic Program Diversification","T. H. Pham; A. Fell; A. K. Biswas; S. -K. Lam; N. Veeranna","Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; University of South Brittany, France",2018 28th International Conference on Field Programmable Logic and Applications (FPL),"6 Dec 2018","2018","","","224","2245","Timing side-channel attacks pose a major threat to embedded systems due to their ease of accessibility. We propose CIDPro, a framework that relies on dynamic program diversification to mitigate timing side-channel leakage. The proposed framework integrates the widely used LLVM compiler infrastructure and the increasingly popular RISC-V FPGA soft-processor. The compiler automatically generates custom instructions in the security critical segments of the program, and the instructions execute on the RISC-V custom co-processor to produce diversified timing characteristics on each execution instance. CIDPro has been implemented on the Zynq7000 XC7Z020 FPGA device to study the performance overhead and security tradeoffs. Experimental results show that our solution can achieve 80% and 86% timing side-channel capacity reduction for two benchmarks with an acceptable performance overhead compared to existing solutions. In addition, the proposed method incurs only a negligible hardware area overhead of 1% slices of the entire RISC-V system.","1946-1488","978-1-5386-8517-4","10.1109/FPL.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8533498","Hardware diversification;Custom Instructions;RISC V;Timing side channels;Software obfuscation","Timing;Hardware;Embedded systems;Rockets;Side-channel attacks","","4","","20","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
"A Comprehensive Study and Analysis Of Frequent Itemsets Mining Algorithms Using Diverse Real Datasets","A. Singla; P. Gandhi","School of Computer Applications, Manav Rachna International Institute of Research and Studies (MRIIRS), Faridabad, India; School of Computer Applications, Manav Rachna International Institute of Research and Studies (MRIIRS), Faridabad, India","2023 International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)","20 Mar 2024","2023","","","174","180","A focus of data mining research has been frequent pattern mining, which has grown in importance as a data mining task. Frequent pattern mining techniques are extensively studied in numerous domains, including market basket data analysis, data mining, recommender system, web log mining, sequential pattern mining, and software bug detection. In frequent itemset mining, the support-based framework is frequently used to find itemsets with a frequency over a predetermined threshold. Apriori, FP-Growth, Eclat, FP-Max, SaM and Relim are a few of the FPM algorithms that have been created to efficiently search for frequent itemsets in datasets. While FP-Growth utilizes a tree-based approach and does not require candidate generation, the Apriori method generates candidate itemsets using a level- wise search strategy and the Apriori property. Eclat employs an equivalence class clustering and lattice traversal technique, while FP-Max focuses on mining maximal frequent itemsets. Relim is a list-based, result-driven mining technique, while SaM is used to mine associative rules. A review and comparison of numerous frequent pattern mining algorithms, including Apriori, FP- growth, Eclat, FP-max, COFI, SaM, and ReLim, are presented in this paper. Using a variety of real-time datasets with unique properties, we provide an in-depth study of these frequent itemset mining algorithms. The algorithms are evaluated according to factors such as the total number of database scans needed, candidate generation techniques, and sensitivity to changes in user-defined parameters like support. Real-life datasets including Chess, Retail, Kaggle, Market Basket, and Technical datasets, are used for the analysis. The results emphasize each algorithm’s insights into how effective and efficient each algorithm is. The objective of the present research is to increase effectiveness and efficiency frequent pattern mining algorithms. In this paper we are presenting a comparative study and analysis of apriori algorithm, fp-growth, Fp-max, Eclat, SaM, ReLim algorithm. Python and the Anaconda environment are used to carry out the analysis and comparison of FIM algorithms. This research aims to contribute to the development of more effective frequent pattern mining algorithm.","","979-8-3503-4438-7","10.1109/ICAICCIT60255.2023.10466004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10466004","Data mining;Frequent patterns;Frequent pattern mining (FPM);support;itemset;Apriori;Eclat;FP-Max;SaM;Relim","Sensitivity;Itemsets;Databases;Software algorithms;Computer bugs;Clustering algorithms;Software","","","","30","IEEE","20 Mar 2024","","","IEEE","IEEE Conferences"
"Measuring information content for an ontological concept","V. Cross; A. Chennai-Thiagarajan","Computer Science and Software Engineering, Miami University, Oxford, OH, USA; Computer Science and Software Engineering, Miami University, Oxford, OH, USA",2012 Annual Meeting of the North American Fuzzy Information Processing Society (NAFIPS),"30 Aug 2012","2012","","","1","6","Numerous ontological or semantic similarity measures have been proposed to determine how similar one concept is to another within the context of an ontology. One category of such measures uses a measure of information content (IC) for ontological concepts. The various approaches to determining IC measures are reviewed. The early corpus-based IC measure is first presented and its weakness discussed. Then the earliest ontology-based IC measure using decedents only is described followed by the two more recent proposals that attempt to improve on the original descendents only ontology-based IC measure. These three IC measures are then analyzed and critiqued based on the assumptions made during their construction. Analysis of the strengths and weakness of the three proposed IC measures suggest intuitive principles to be followed in construction of other IC measures.","","978-1-4673-2338-3","10.1109/NAFIPS.2012.6291016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6291016","corpus-based information content;ontology-based information content;semantic similarity;ontological similarity","Integrated circuits;Ontologies;Biomedical measurements;Semantics;Standards;Benchmark testing;Correlation","","1","","16","IEEE","30 Aug 2012","","","IEEE","IEEE Conferences"
"Novel Surrogate Measures Based on a Similarity Network for Neural Architecture Search","Z. Kuş; C. Akkan; A. Gülcü","Department of Computer Engineering, Fatih Sultan Mehmet University, Beyoğlu, Istanbul, Turkey; Sabancı Business School, Sabancı University, Tuzla, Istanbul, Turkey; Department of Software Engineering, Bahçeşehir University, Beçiktaş, Istanbul, Turkey",IEEE Access,"9 Mar 2023","2023","11","","22596","22613","We propose two novel surrogate measures to predict the validation accuracy of the classification produced by a given neural architecture, thus eliminating the need to train it, in order to speed up neural architecture search (NAS). The surrogate measures are based on a solution similarity network, where distance between solutions is measured using the binary encoding of some graph sub-components of the neural architectures. These surrogate measures are implemented within local search and differential evolution algorithms and tested on NAS-Bench-101 and NAS-Bench-301 datasets. The results show that the performance of the similarity-network-based predictors, as measured by correlation between predicted and true accuracy values, are comparable to the state-of-the-art predictors in the literature, however they are significantly faster in achieving these high correlation values for NAS-Bench-101. Furthermore, in some cases, the use of these predictors significantly improves the search performance of the equivalent algorithm (differential evolution or local search) that does not use the predictor.","2169-3536","","10.1109/ACCESS.2023.3252887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058912","Neural architecture search;surrogate model;similarity-based prediction;evolutionary algorithm","Computer architecture;Prediction algorithms;Predictive models;Benchmark testing;Correlation;Encoding;Computational modeling","","","","40","CCBYNCND","6 Mar 2023","","","IEEE","IEEE Journals"
"Robustness of Community Partition Similarity Metrics","D. Yin; Q. Ye","Institute of Software Engineering, Hebei Normal University, Shiliazhuang, China; Sogou Inc., Beijing, China",2013 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,"19 Dec 2013","2013","","","186","193","Currently, detecting communities in real-world networks is a problem of considerable interest and many community detection algorithms have been proposed. In this paper, we study a number of community partition similarity measures to measure the the robustness and performances of different community detection algorithms. By carrying out a careful comparative analysis of 3 common used community partition similarity measures, to our surprise, these metrics all have systematical biases. To get more details of the widely used partition similarity measures, we show that the bias partitions of these 3 different widely used partition similarity measures, e. g., normalized mutual information, Jaccard index and normalized van Dongen metric in some extreme invalid cases. Finally, we propose a new similarity metric to evaluate the accuracy of community partitions. Our metric performs well for testing the accuracy and robustness of community detection algorithms in all cases.","","978-0-7695-5106-7","10.1109/CyberC.2013.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685678","Graph mining;Community detection;Partition similarity;Community structure;Social network analysis","Communities;Benchmark testing;Partitioning algorithms;Measurement;Detection algorithms;Indexes;Mutual information","","","","17","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
"Efficient Hardware Acceleration for Design Diversity Calculation to Mitigate Common Mode Failures","M. R. Babu; F. N. Taher; A. Balachandran; B. Carrion Schafer",The University of Texas at Dallas; The University of Texas at Dallas; The Hong Kong Polytechnic University; The University of Texas at Dallas,2019 IEEE 27th Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),"13 Jun 2019","2019","","","267","270","This paper presents an FPGA-based hardware acceleration of the design diversity calculation to build robust redundant hardware systems against common model failures. We exploit the benefits of C-based VLSI design to generate a design pool of micro-architectures with unique characteristics from the same behavioral description. To identify the most diverse design pairs from this massive design pool, a computationally-intensive fault-injection based process is needed. Thus, in this work, we leverage the use of FPGAs to accelerate the design diversity calculation. Experimental results show an average of 2x speedup compared to a traditional software implementation. We also show that much higher speedups can be achieved when using larger FPGAs that can host a larger pool of designs.","2576-2621","978-1-7281-1131-5","10.1109/FCCM.2019.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8735563","High Level Synthesis;Design Space Exploration;Common mode failures;FPGAs;hardware acceleration","Field programmable gate arrays;Circuit faults;Logic gates;Hardware;Acceleration;Measurement;Diversity methods","","","","9","IEEE","13 Jun 2019","","","IEEE","IEEE Conferences"
"Experimental Test of a Frequency Diverse Array Radar Target Detection System Using SDRs: Preliminary Results","N. R. Munson; B. Correll; R. M. Narayanan; T. D. Bufler","The Pennsylvania State University, University Park, PA; Maxar Intelligence, Ypsilanti, MI; The Pennsylvania State University, University Park, PA; The Pennsylvania State Applied Research Lab, State College, PA",2024 IEEE Radar Conference (RadarConf24),"13 Jun 2024","2024","","","1","6","Frequency diverse arrays (FDA) can be configured to simultaneously scan in both range and angle using small frequency offsets across radiating elements. The theoretical abilities of these systems have been explored in the literature, yet we know of only two FDA prototypes built since 2009. This work describes the hardware implementation of a fully coherent and highly flexible FDA radar at 2 GHz that uses software defined radios. Data collected using far-field probes and target return echoes confirm expected theoretical properties of the far-field pattern and demonstrate the utility of the designed system for use as a beacon or for volume scanning.","2375-5318","979-8-3503-2920-9","10.1109/RadarConf2458775.2024.10548270","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548270","","Radar detection;Prototypes;Radar;Object detection;Frequency diversity;Hardware;Arrays","","1","","16","IEEE","13 Jun 2024","","","IEEE","IEEE Conferences"
