"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Keynote speaker 1: Cyber-resilient ICS through diversified redundancy and intrusion detection","C. Kim",NA,2017 12th International Conference for Internet Technology and Secured Transactions (ICITST),"10 May 2018","2017","","","15","15","Technological advancement of Industrial Control Systems (ICS) and control systems automation over the past decade has brought greater interconnections of the control devices. The control devices are interconnected via modern control communication bus such as ModbusTCP which now leverages Ethernet to allow interoperability between different solutions and vendors. The enhanced exchange of information has created cyber security vulnerabilities such as entry points for hackers. This presentation discusses diversified redundant architecture as a cyber-resilient system for networked control devices which maintains their normal operation even under compromised situations. This operation-based resilient architecture adds an isolated device, functionally equivalent to the networked primary device but with essential safe-mode operation features only, which is naturally immune to cyber incidents. In addition, a supervisor component monitors the operation of both networked and isolated devices, and transfers control to the safe-mode isolated device if the networked device operates abnormally, assuming that the abnormal operation is resulted from malicious hacking which has not been detected from the network cyber security defense. However, even with its resiliency, the diversified architecture has its own blind side — unawareness of presence of hacking traffic on the control bus when operational changes are not made by the hackers. Therefore, to solve this problem of unawareness of and undetected intrusion, we improve the architecture with an additional feature of intrusion detection utilizing open source software called Snort. The security features of Snort are incorporated as an intrusion detection and awareness solution, and are customized into the supervisor component of the diversified architecture for Modbus TCP/IP traffic monitoring. In laboratory tests, the added feature of intrusion detection has successfully initiated a safe-mode control transfer to the isolated device upon detection of unusual data traffic on the control bus. With this bus monitoring and intrusion detection, the diversified architecture would become a truly resilient and secure networked industrial control system.","","978-1-908320-93-3","10.23919/ICITST.2017.8356331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356331","","Computer architecture;Intrusion detection;Control systems;Computer crime;Monitoring;Feature extraction;Integrated circuits","","","","","","10 May 2018","","","IEEE","IEEE Conferences"
"Tri-Goal Evolution Framework for Constrained Many-Objective Optimization","Y. Zhou; M. Zhu; J. Wang; Z. Zhang; Y. Xiang; J. Zhang","College of Information, Guangdong University of Finance and Economics, Guangzhou, China; Department of Computer Science, Sun Yat-sen University, Guangzhou, China; Department of Computer Science, Sun Yat-sen University, Guangzhou, China; Department of Computer Science, Sun Yat-sen University, Guangzhou, China; School of Software, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","17 Jul 2020","2020","50","8","3086","3099","It is generally accepted that the essential goal of many-objective optimization is the balance between convergence and diversity. For constrained many-objective optimization problems (CMaOPs), the feasibility of solutions should be considered as well. Then the real challenge of constrained many-objective optimization can be generalized to the balance among convergence, diversity, and feasibility. In this paper, a tri-goal evolution framework is proposed for CMaOPs. The proposed framework carefully designs two indicators for convergence and diversity, respectively, and converts the constraints into the third indicator for feasibility. Since the essential goal of constrained many-objective optimization is to balance convergence, diversity, and feasibility, the philosophy of the proposed framework matches the essential goal of constrained many-objective optimization well. Thus, it is natural to use the proposed framework to deal with CMaOPs. Further, the proposed framework is conceptually simple and easy to instantiate for constrained many-objective optimization. A variety of balance schemes and ranking methods can be used to achieve the balance among convergence, diversity and feasibility. Three typical instantiations of the proposed framework are then designed. Experimental results on a constrained many-objective optimization test suite show that the proposed framework is highly competitive with existing state-of-the-art constrained many-objective evolutionary algorithms for CMaOPs.","2168-2232","","10.1109/TSMC.2018.2858843","National Natural Science Foundation of China(grant numbers:61673403,U1611262); China Scholarship Council(grant numbers:201608440449); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432113","Constrained many-objective optimization;constraint handling;convergence;diversity;feasibility;tri-goal evolution (TiGE)","Convergence;Linear programming;Pareto optimization;Stochastic processes;Evolutionary computation;Computer science","","37","","56","IEEE","10 Aug 2018","","","IEEE","IEEE Journals"
"Efficient Principal Subspace Projection of Streaming Data Through Fast Similarity Matching","A. Giovannucci; V. Minden; C. Pehlevan; D. B. Chklovskii","Center for Computational Biology, Flatiron Institute, New York, NY; Center for Computational Biology, Flatiron Institute, New York, NY; Center for Computational Biology, Flatiron Institute, New York, NY; Neuroscience Institute, NYU Langone Medical Center, New York, NY",2018 IEEE International Conference on Big Data (Big Data),"24 Jan 2019","2018","","","1015","1022","Big data problems frequently require processing datasets in a streaming fashion, either because all data are available at once but collectively are larger than available memory or because the data intrinsically arrive one data point at a time and must be processed online. Here, we introduce a computationally efficient version of similarity matching [1], a framework for online dimensionality reduction that incrementally estimates the top K-dimensional principal subspace of streamed data while keeping in memory only the last sample and the current iterate. To assess the performance of our approach, we construct and make public a test suite containing both a synthetic data generator and the infrastructure to test online dimensionality reduction algorithms on real datasets, as well as performant implementations of our algorithm and competing algorithms with similar aims. Among the algorithms considered we find our approach to be competitive, performing among the best on both synthetic and real data.","","978-1-5386-5035-6","10.1109/BigData.2018.8622026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622026","principal component analysis;dimensionality reduction;online algorithms","Covariance matrices;Complexity theory;Principal component analysis;Convergence;Optimization;Approximation algorithms;Software algorithms","","4","","26","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Object based video similarity retrieval and its application to detecting anchorperson shots in news video","Hua-Tsung Chen; Duan-Yu Chen; Suh-Yin Lee","Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan; Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan; Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan","Fifth International Symposium on Multimedia Software Engineering, 2003. Proceedings.","8 Jan 2004","2003","","","172","179","Semantic feature extraction of video shots and fast video sequence matching are important and required for efficient retrieval in a large video database. A novel mechanism of similarity retrieval is proposed. Similarity measure between video sequences considering the spatio-temporal variation through consecutive frames is presented. For bridging the semantic gap between low-level features and the rich meaning that users desire to capture, video shots are analyzed and characterized by the high-level feature of motion activity in compressed domain. The extracted features of motion activity are further described by the 2D-histogram that is sensitive to the spatio-temporal variation of moving objects. In order to reduce the dimensions of feature vector space in sequence matching, the discrete cosine transform (DCT) is exploited to map semantic features of consecutive frames to the frequency domain while retains the discriminatory information and preserves the Euclidean distance between feature vectors. Experiments are performed on MPEG-7 testing video streams, and the results of sequence matching show that a few DCT transformed coefficients are adequate and thus reveal the effectiveness of the proposed mechanism of video retrieval.","","0-7695-2031-6","10.1109/MMSE.2003.1254439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1254439","","Object detection;Gunshot detection systems;Discrete cosine transforms;Feature extraction;Video sequences;Information retrieval;Spatial databases;Video compression;Motion analysis;Frequency domain analysis","","2","","13","IEEE","8 Jan 2004","","","IEEE","IEEE Conferences"
"The MicroGrid: using online simulation to predict application performance in diverse grid network environments","Huaxia Xia; H. Dail; H. Casanova; A. A. Chien","Department of Computer Science and Engineering, University of California, San Diego, USA; San Diego Supercomputer Center, University of California, San Diego, USA; San Diego Supercomputer Center, University of California, San Diego, USA; Department of Computer Science and Engineering, University of California, San Diego, USA","Proceedings of the Second International Workshop on Challenges of Large Applications in Distributed Environments, 2004. CLADE 2004.","6 Jul 2004","2004","","","52","61","Improvements in networking and middleware technology are enabling large-scale grids that aggregate resources over wide-area networks to support applications at unprecedented levels of scale and performance. Unfortunately, existing middleware and tools provide little information to users as to the suitability of a given grid topology for a specific grid application. Instead, users generally use ad-hoc performance models to evaluate mappings of their applications to resource and network topologies. Grid application behavior alone is complex, and adding resource and network behavior makes the situation even worse. As a result, users typically employ nearly blind experimentation to find good deployments of their applications in each new grid environment. Only through actual deployment and execution can a user discovers if the mapping was a good one. Further, even after finding a good configuration, there is no basis to determine if a much better configuration has been missed. This approach slows effective grid application development and deployment. We present a richer methodology for evaluating grid software and diverse grid environments based on the MicroGrid grid online simulator. With the MicroGrid, users, grid researchers, or grid operators can define and simulate arbitrary collections of resources and networks. This allows study of an existing grid testbed under controlled conditions or even to study the efficacy of higher performance environments than are available today. Further, the MicroGrid supports direct execution of grid applications unchanged. These application can be written with MPI, C, C++, Perl, and/or Python and use the Globus middleware. This enables detailed and accurate study of application behavior. This work presents: (1) the first validation of the MicroGrid for studying whole-program performance of MPI grid applications and (2) a demonstration of the MicroGrid as a tool for predicting the performance of applications on a range of grid resources and novel network topologies.","","0-7695-2115-0","10.1109/CLADE.2004.1309092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1309092","","Predictive models;Intelligent networks;Middleware;Application software;Network topology;Vehicle dynamics;Computational modeling;Computer simulation;Computer science;Supercomputers","","4","1","32","IEEE","6 Jul 2004","","","IEEE","IEEE Conferences"
"Ultra-Miniaturized Implantable Antenna Enabling Multiband Operation for Diverse Industrial IoMT Devices","S. A. A. Shah; I. A. Shah; S. Hayat; H. Yoo","Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Biomedical Engineering and the Department of Electronic Engineering, Hanyang University, Seoul, South Korea",IEEE Transactions on Antennas and Propagation,"14 Feb 2024","2024","72","2","1352","1362","Compact implantable medical devices (IMDs) require miniaturized and multiband antennas to efficiently navigate space limitations and diverse frequency demands in biomedical applications. This article proposes an ultra-miniaturized implantable antenna featuring the smallest footprint with a volume of 0.7 mm3 and exhibits quad-band characteristics: telemetry at 915 MHz, wireless power transfer at midfield bands of 1450 and 1900 MHz, and control signaling at 2450 MHz. Extensive simulation analyses were conducted for the antenna alone and integrated antenna systems to realize the versatility of the proposed antenna. For validation, measurements were performed in saline-filled realistic head and American Society for Testing and Materials (ASTMs) phantoms. Good agreement between the simulation and measured results was observed. The antenna showed stable performance in all scenarios with a measured −10 dB bandwidth of 136, 122, 108, and 134 MHz at 915, 1450, 1900, and 2450 MHz, respectively. Moreover, the antenna exhibited satisfactory measured gain values of −27.45, −23.25, −23.14, and −22.48 dBi at the respective frequency bands. Finally, the implementation of the wireless biotelemetry feature of the proposed antenna system was achieved and demonstrated through the utilization of a pair of software-defined radios (SDRs). Sustainable and stable wireless data transmission characteristics were shown at transmission distances of up to 2.5 m. With its remarkable features, the proposed antenna addresses the critical need for efficient communication in the Industrial Internet of Medical Things (IIoMT) devices, enabling telemetry, wireless power transfer, and control signaling in biomedical applications with limited space and diverse frequency demands.","1558-2221","","10.1109/TAP.2024.3349782","Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant; Korean Government Ministry of Science and ICT (MIST)(grant numbers:2022-0-00310); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10388247","Implantable medical devices (IMDs);Internet of Medical Things (IoMT);midfield;miniaturization;specific absorption rate (SAR);wireless communication","Antennas;Antenna measurements;Performance evaluation;Wireless communication;Medical services;Biomedical measurement;Medical devices","","1","","37","IEEE","10 Jan 2024","","","IEEE","IEEE Journals"
"DeepEutaxy: Diversity in Weight Search Direction for Fixing Deep Learning Model Training Through Batch Prioritization","H. Zhang; W. K. Chan","Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong",IEEE Transactions on Reliability,"31 Aug 2021","2021","70","3","1040","1052","Developing a deep learning (DL) based software system is slow. One of the critical issues is to conduct many trials and errors in developing a DL model that usually serves as the major component of such a system. A major reason for this inefficiency is the progress of gradual reduction of the gap between the DL model under training and the ground truths. Prior techniques commonly focus on optimizing such errors after the errors have formed. They are insensitive to how a training dataset is provided to the DL model under training in batches, making their approaches nonproactive to deal with such errors. In this article, we propose DeepEutaxy, the first work to repair the model convergence problem from the batch prioritization perspective. Our key insight is that increasing the diversity (i.e., dissimilarity) of the corresponding weights of complex DL models before and after each training step can make the models learn faster and optimize the training errors quicker. DeepEutaxy first trains a DL model with several epochs for initialization. It then partitions and continually prioritizes the training batches for subsequent training epochs based on our novel notion of diversity between the pair of models before and after training on each batch, capturing the strength of the search direction to deal with training errors impacted by that batch. The experiment on six DL models over the MNIST and CIFAR-10 datasets shows that DeepEutaxy can accelerate the convergence of DL models on these two datasets with speedups of 1.75-8.45 and 2.67-15.15 times with respect to the training and test accuracies, respectively. DeepEutaxy can also be integrated into the existing techniques and compare favorably with the prior art in the experiment.","1558-1721","","10.1109/TR.2021.3086189","GRF of Hong Kong Research Grants Council(grant numbers:11214116,11200015); HKSAR ITF(grant numbers:ITS/378/18); CityU SRG(grant numbers:7004882,7005216,7005122,9678180); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460310","Accuracy improvement;debug;deep learning (DL) models;efficiency;error reduction;fixing;model convergence","Training;Computational modeling;Mathematical model;Solid modeling;Data models;Neurons;Convergence","","","","50","IEEE","18 Jun 2021","","","IEEE","IEEE Journals"
"SLAW: Self-Similar Least-Action Human Walk","K. Lee; S. Hong; S. J. Kim; I. Rhee; S. Chong","Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Samsung Advanced Institute of Technology, Yongin si, South Korea; DMC Research Center, Samsung Electronics Limited, Suwon, South Korea; Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea",IEEE/ACM Transactions on Networking,"16 Apr 2012","2012","20","2","515","529","Many empirical studies of human walks have reported that there exist fundamental statistical features commonly appearing in mobility traces taken in various mobility settings. These include: 1) heavy-tail flight and pause-time distributions; 2) heterogeneously bounded mobility areas of individuals; and 3) truncated power-law intercontact times. This paper reports two additional such features: a) The destinations of people (or we say waypoints) are dispersed in a self-similar manner; and b) people are more likely to choose a destination closer to its current waypoint. These features are known to be influential to the performance of human-assisted mobility networks. The main contribution of this paper is to present a mobility model called Self-similar Least-Action Walk (SLAW) that can produce synthetic mobility traces containing all the five statistical features in various mobility settings including user-created virtual ones for which no empirical information is available. Creating synthetic traces for virtual environments is important for the performance evaluation of mobile networks as network designers test their networks in many diverse network settings. A performance study of mobile routing protocols on top of synthetic traces created by SLAW shows that SLAW brings out the unique performance features of various routing protocols.","1558-2566","","10.1109/TNET.2011.2172984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6075290","Delay-tolerant network;human mobility;Levy walk;mobile ad hoc network;mobile network;mobility model","Humans;Mobile communication;Mobile computing;Protocols;Global Positioning System;Performance evaluation;Routing","","131","","50","IEEE","10 Nov 2011","","","IEEE","IEEE Journals"
"Using Inter-file Similarity to Improve Intra-file Compression","A. Molfetas; A. Wirth; J. Zobel","Department of Computing and Information Systems, The University of Melbourne; Department of Computing and Information Systems, The University of Melbourne; Department of Computing and Information Systems, The University of Melbourne",2014 IEEE International Congress on Big Data,"25 Sep 2014","2014","","","192","199","In storage systems with vast numbers of files, compression techniques should exploit of inter-file similarity, while allowing for near-atomic access to individual files. In differential compression, collections of files are compressed by identifying shared common strings. Therefore, some files are represented largely by references to strings in other files. In addition, a file in the collection can be (further) compressed by identifying common strings within the file itself. At the cost of decompression latency, but a possible gain in compression effectiveness, an LZ-style within-file compressor could resolve these references to other files. To quantify the compression gain, we experiment with a variety of file collections, from emails to source code, and test against multiple measures. If the LZ scheme honors the inter-file references, then there is only minimal improvement. If the LZ algorithm replaces inter-file references with intra-file references, then up to 3% compression improvement is witnessed for mildly similar files, and over 200% improvement for highly similar files.","2379-7703","978-1-4799-5057-7","10.1109/BigData.Congress.2014.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6906778","Differential compression;LZ factorization","Electronic mail;Encoding;Dictionaries;Encyclopedias;Indexes;Measurement;Compression algorithms","","3","","18","IEEE","25 Sep 2014","","","IEEE","IEEE Conferences"
"Fuzzy vectorial-based similarity detection of music plagiarism","R. De Prisco; D. Malandrino; G. Zaccagnino; R. Zaccagnino","University of Salerno, Salerno, Italy; University of Salerno, Salerno, Italy; University of Salerno, Salerno, Italy; University of Salerno, Salerno, Italy",2017 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),"24 Aug 2017","2017","","","1","6","Plagiarism, i.e., copying the work of others and trying to pass it off as one own, is a debated topic in different fields. In particular, in music field, the plagiarism is a controversial and debated phenomenon that has to do with the huge amount of money that music is able to generate. However, the existing mechanisms for plagiarism detection mainly apply superficial and brute-force string matching techniques. Such well-known metrics, widely used to discover similarities in text documents, cannot work well in discovering similarities in music compositions. Despite the wide-spread belief that few notes in common between two songs is enough to decide whether a plagiarism exists, the analysis of similarities is a very complex process. In this work, we provide novel perspectives in the field of automatic music plagiarism detection, and specifically, we propose an approach based on a fuzzy vectorial-based similarity. Given a suspicious melody, our approach envisions three steps: (1) its transformation in a vectorial representation, (2) retrieving of a list of similar melodies, (3) analysis and comparison with this subset of associated similar scores by using a fuzzy degree of similarity, that varies in a range between 0 for melodies that are fully musically different, and 1 for identical melodies. To assess the effectiveness of our system we performed tests on a large dataset of ascertained plagiarisms. Results show that it is able to reach an accuracy of 93%.","1558-4739","978-1-5090-6034-4","10.1109/FUZZ-IEEE.2017.8015655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8015655","","Plagiarism;Music;Frequency measurement;Electronic mail;Mel frequency cepstral coefficient;Hidden Markov models","","3","1","20","IEEE","24 Aug 2017","","","IEEE","IEEE Conferences"
