"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Looking For Novelty in Search-Based Software Product Line Testing","Y. Xiang; H. Huang; M. Li; S. Li; X. Yang","School of Software Engineering, South China University of Technology, Guangzhou, China; School of Software Engineering, South China University of Technology, Guangzhou, China; Centre of Excellence for Research in Computational Intelligence and Applications, School of Computer Science, University of Birmingham, Birmingham, U.K.; School of Software Engineering, South China University of Technology, Guangzhou, China; School of Software Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Software Engineering","15 Jul 2022","2022","48","7","2317","2338","Testing software product lines (SPLs) is difficult due to a huge number of possible products to be tested. Recently, there has been a growing interest in similarity-based testing of SPLs, where similarity is used as a surrogate metric for the $t$t-wise coverage. In this context, one of the primary goals is to sample, by optimizing similarity metrics using search-based algorithms, a small subset of test cases (i.e., products) as dissimilar as possible, thus potentially making more $t$t-wise combinations covered. Prior work has shown, by means of empirical studies, the great potential of current similarity-based testing approaches. However, the rationale of this testing technique deserves a more rigorous exploration. To this end, we perform correlation analyses to investigate how similarity metrics are correlated with the $t$t-wise coverage. We find that similarity metrics generally have significantly positive correlations with the $t$t-wise coverage. This well explains why similarity-based testing works, as the improvement on similarity metrics will potentially increase the $t$t-wise coverage. Moreover, we explore, for the first time, the use of the novelty search (NS) algorithm for similarity-based SPL testing. The algorithm rewards “novel” individuals, i.e., those being different from individuals discovered previously, and this well matches the goal of similarity-based SPL testing. We find that the novelty score used in NS has (much) stronger positive correlations with the $t$t-wise coverage than previous approaches relying on a genetic algorithm (GA) with a similarity-based fitness function. Experimental results on 31 software product lines validate the superiority of NS over GA, as well as other state-of-the-art approaches, concerning both $t$t-wise coverage and fault detection capacity. Finally, we investigate whether it is useful to combine two satisfiability solvers when generating new individuals in NS, and how the performance of NS is affected by its key parameters. In summary, looking for novelty provides a promising way of sampling diverse test cases for SPLs.","1939-3520","","10.1109/TSE.2021.3057853","National Natural Science Foundation of China(grant numbers:61906069,61773410,61876207); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2019A1515011411,2019A1515011700); Science and Technology Program of Guangzhou(grant numbers:202002030355,201802010007); Project Funded by China Postdoctoral Science Foundation(grant numbers:2019M662912); Guangdong Province Key Area R&D Program(grant numbers:2018B010109003); Fundamental Research Funds for the Central Universities(grant numbers:2019MS088,2020ZYGXZR014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9350184","Software product line testing;product sampling;novelty search;similarity-based testing;  $t$   t     -wise coverage;correlation analysis","Testing;Frequency modulation;Measurement;Software;Correlation;Software product lines;Fault detection","fault diagnosis;genetic algorithms;program testing","search-based software product line testing;testing software product lines;SPLs;possible products;wise coverage;similarity metrics;search-based algorithms;wise combinations;current similarity-based testing approaches;testing technique;novelty search algorithm;similarity-based SPL testing;similarity-based fitness function;31 software product lines;diverse test cases","","4","","90","IEEE","8 Feb 2021","","","IEEE","IEEE Journals"
"Identifying Similar Test Cases That Are Specified in Natural Language","M. Viggiato; D. Paas; C. Buzon; C. -P. Bezemer","Analytics of Software, Games and Repository Data (ASGAARD) Lab, University of Alberta, Edmonton, AB, Canada; Prodigy Education, Toronto, ON, Canada; Prodigy Education, Toronto, ON, Canada; Analytics of Software, Games and Repository Data (ASGAARD) Lab, University of Alberta, Edmonton, AB, Canada","IEEE Transactions on Software Engineering","14 Mar 2023","2023","49","3","1027","1043","Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases (which consist of one or more test steps that need to be executed manually by the tester) are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and three techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 86.13%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant test cases), which help to reduce the testing manual effort and time.","1939-3520","","10.1109/TSE.2022.3170272","Prodigy Education; Natural Sciences and Engineering Research Council of Canada(grant numbers:ALLRP 550309); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763328","Software testing;test case similarity;clustering","Bit error rate;Natural languages;Testing;Task analysis;Manuals;Games;Codes","natural language processing;pattern clustering;program testing;text analysis","automated testing techniques;clustering techniques;embedding techniques;natural language;redundant test cases;software testing;test execution;test step clusters;test suite;testing manual effort;text similarity metrics;unsupervised approach","","4","","61","IEEE","26 Apr 2022","","","IEEE","IEEE Journals"
"Mining Similar Methods for Test Adaptation","D. Sondhi; M. Jobanputra; D. Rani; S. Purandare; S. Sharma; R. Purandare","Department of Computer Science and Engineering, Indraprastha Institute of Information Technology Delhi, New Delhi, Delhi, India; IIT Madras, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, GITA Bhubaneswar, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, Indraprastha Institute of Information Technology Delhi, New Delhi, Delhi, India; Department of Computer Science and Engineering, IIIT Bhubaneswar, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, Indraprastha Institute of Information Technology Delhi, New Delhi, Delhi, India","IEEE Transactions on Software Engineering","15 Jul 2022","2022","48","7","2262","2276","Developers may choose to implement a library despite the existence of similar libraries, considering factors such as computational performance, language or platform dependency, accuracy, convenience, and completeness of an API. As a result, GitHub hosts several library projects that have overlaps in their functionalities. These overlaps have been of interest to developers from the perspective of code reuse or the preference of one implementation over the other. Through an empirical study, we explore the extent and nature of existence of these similarities in the library functions. We have further studied whether the similarity of functions across different libraries and their associated test suites can be leveraged to reveal defects in one another. We see scope for effectively using the mining of test suites from the perspective of revealing defects in a program or its documentation. Another noteworthy observation made in the study is that similar functions may exist across libraries implemented in the same language as well as in different languages. Identifying the challenges that lie in building a testing tool, we automate the entire process in Metallicus, a test mining and recommendation tool. Metallicus returns a test suite for the given input of a query function and a template for its test suite. On a dataset of query functions taken from libraries implemented in Java or Python, Metallicus revealed 46 defects.","1939-3520","","10.1109/TSE.2021.3057163","Department of Science and Technology (DST) (India); Science and Engineering Research Board; Confederation of Indian Industry; Microsoft Research; Infosys Center for AI; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9347715","Test suites;mining;software testing;function similarity","Libraries;Testing;Tools;Software development management;Python;Documentation;Open source software","application program interfaces;data mining;program testing;project management","mining similar methods;test adaptation;platform dependency;library projects;code reuse;library functions;test mining;query function;API;GitHub hosts;Java;Python","","1","","48","IEEE","4 Feb 2021","","","IEEE","IEEE Journals"
"Detecting Compiler Warning Defects Via Diversity-Guided Program Mutation","Y. Tang; H. Jiang; Z. Zhou; X. Li; Z. Ren; W. Kong","School of Software, Dalian University of Technology (DUT), Dalian, Liaoning, China; DUT Artificial Intelligence Institute, Dalian, Liaoning, China; School of Software, Dalian University of Technology (DUT), Dalian, Liaoning, China; SnT Centre for Security, Reliability and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg; School of Software, Dalian University of Technology (DUT), Dalian, Liaoning, China; School of Software, Dalian University of Technology (DUT), Dalian, Liaoning, China","IEEE Transactions on Software Engineering","11 Nov 2022","2022","48","11","4411","4432","Compiler diagnostic warnings help developers identify potential programming mistakes during program compilation. However, these warnings could be erroneous due to the defects of compiler warning diagnostics. Although the existing technique (i.e., Epiphron) can automatically generate test programs for compiler warning defect detection, the effectiveness of Epiphron on defect-finding is still limited, due to the limitation for generating warning-sensitive test program structures. Therefore, in this paper, we propose a DIversity-guided PROgram Mutation approach, called DIPROM, to construct diverse warning-sensitive programs for effective compiler warning defect detection. Given a seed test program, DIPROM first removes its dead code to reduce false positive warning defects. Then, the abstract syntax tree (AST) of the test program is constructed; DIPROM iteratively mutates the structures of the AST to generate warning-sensitive program variants. To effectively construct diverse warning-sensitive structures, DIPROM applies a novel diversity-guided strategy to generate program variants in each iteration. With the generated program variants, differential testing is conducted to detect warning defects in different compilers. In the experiments, we evaluate DIPROM with two popular C compilers (i.e., GCC and Clang). Experimental results show that DIPROM significantly outperforms three state-of-the-art approaches (i.e., HiCOND, Epiphron, and Hermes) by up to 18.93%$\sim$∼76.74% in terms of the bug-finding capability on average. Meanwhile, DIPROM is efficient, which spends less time on finding the same average number of warning defects. We at last applied DIPROM to the latest development versions of GCC and Clang. After two months’ running, we reported 8 new warning defects; 5 of them have been confirmed/fixed by developers.","1939-3520","","10.1109/TSE.2021.3119186","National Natural Science Foundation of China(grant numbers:62032004,61772107,62072068); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9566830","Compiler testing;differential testing;program mutation;test program generation","Program processors;Codes;Testing;Software;Programming;Feature extraction;Tools","C language;program compilers;program debugging;program diagnostics;program testing","AST;bug-finding capability;C compilers;Clang;compiler diagnostic warnings;compiler warning defect detection;defect-finding;DIPROM;diversity-guided program mutation;false positive warning defects;GCC;program compilation;programming mistakes;seed test program;syntax tree;warning-sensitive program variants;warning-sensitive test program structures","","2","","53","IEEE","11 Oct 2021","","","IEEE","IEEE Journals"
"Comparing and Combining File-based Selection and Similarity-based Prioritization towards Regression Test Orchestration","R. Greca; B. Miranda; M. Gligoric; A. Bertolino","Gran Sasso Science Institute, Federal University of Pernambuco, The University of Texas at Austin, ISTI-CNR Italy, Brazil, USA, Italy; Gran Sasso Science Institute, Federal University of Pernambuco, The University of Texas at Austin, ISTI-CNR Italy, Brazil, USA, Italy; Gran Sasso Science Institute, Federal University of Pernambuco, The University of Texas at Austin, ISTI-CNR Italy, Brazil, USA, Italy; Gran Sasso Science Institute, Federal University of Pernambuco, The University of Texas at Austin, ISTI-CNR Italy, Brazil, USA, Italy","2022 IEEE/ACM International Conference on Automation of Software Test (AST)","17 Jun 2022","2022","","","115","125","Test case selection (TCS) and test case prioritization (TCP) techniques can reduce time to detect the first test failure. Although these techniques have been extensively studied in combination and isolation, they have not been compared one against the other. In this paper, we perform an empirical study directly comparing TCS and TCP approaches, represented by the tools Ekstazi and FAST, respectively. Furthermore, we develop the first combination, named Fastazi, of file-based TCS and similarity-based TCP and evaluate its benefit and cost against each individual technique. We performed our experiments using 12 Java-based open-source projects. Our results show that, in the median case, the combined approach detects the first failure nearly two times faster than either Ekstazi alone (with random test ordering) or FAST alone (without TCS). Statistical analysis shows that the effectiveness of Fastazi is higher than that of Ekstazi, which in turn is higher than that of FAST. On the other hand, FAST adds the least overhead to testing time, while the difference between the additional time needed by Ekstazi and Fastazi is negligible. Fastazi can also improve failure detection in scenarios where the time available for testing is restricted. CCS CONCEPTS • Software and its engineering →Software testing and debugging.","","978-1-4503-9286-0","10.1145/3524481.3527223","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796413","regression testing;test case selection;test case prioritization;test orchestration;Fastazi","Costs;Automation;Statistical analysis;Diversity reception;Debugging;Open source software;Testing","Java;program testing;regression analysis;statistical analysis;transport protocols","random test ordering;FAST;Fastazi;Ekstazi;failure detection;engineering →Software testing;file-based selection;similarity-based prioritization;regression test orchestration;test failure;TCP approaches;file-based TCS;similarity-based TCP;individual technique;12 Java-based open-source projects;median case;failure nearly two times","","1","","37","","17 Jun 2022","","","IEEE","IEEE Conferences"
"Selecting Test Cases based on Similarity of Runtime Information: A Case Study of an Industrial Simulator","K. Shimari; M. Tanaka; T. Ishio; M. Matsushita; K. Inoue; S. Takanezawa","Graduate School of Science and Technology, Nara Institute of Science and Technology, Nara, Japan; Graduate School of Information Science and Technology, Osaka University, Osaka, Japan; Graduate School of Science and Technology, Nara Institute of Science and Technology, Nara, Japan; Graduate School of Information Science and Technology, Osaka University, Osaka, Japan; Faculty of Science and Technology, Nanzan University, Aichi, Japan; Daikin Industries, Ltd, Osaka, Japan","2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","564","567","Regression testing is required to check the changes in behavior whenever developers make any changes to a software system. The cost of regression testing is a major problem because developers have to frequently update dependent components to minimize security risks and potential bugs. In this paper, we report a current practice in a company that maintains an industrial simulator as a critical component of their business. The simulator automatically records all the users’ requests and the simulation results in storage. The feature provides a huge number of test cases for regression testing to developers; however, their time budget for testing is limited (i.e., at most one night). Hence, the developers need to select a small number of test cases to confirm both the simulation result and execution performance are unaffected by an update of a dependent component. In other words, the test cases should achieve high coverage while keeping diversity of execution time. To solve the problem, we have developed a clustering-based method to select test cases, using the similarity of execution traces produced by them. The developers have used the method for a half year; they recognize that the method is better than the previous rule-based method used in the company.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978230","Test Selection;Dynamic Analysis;Software De-pendency;Clustering","Measurement;Software maintenance;Runtime;Costs;Simulation;Computer bugs;Companies","pattern clustering;program debugging;program testing;regression analysis;security of data","execution performance;industrial simulator;regression testing","","","","9","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Output Sampling for Output Diversity in Automatic Unit Test Generation","H. D. Menendez; M. Boreale; D. Gorla; D. Clark","Department of Computer Science, Middlesex University London, London, U.K; University of Florence, Firenze, FI, Italy; Department of Computer Science, University of Rome “Sapienza”, Roma, Italy; Department of Computer Science, University College London, London, U.K.","IEEE Transactions on Software Engineering","10 Jan 2022","2022","48","1","295","308","Diverse test sets are able to expose bugs that test sets generated with structural coverage techniques cannot discover. Input-diverse test set generators have been shown to be effective for this, but also have limitations: e.g., they need to be complemented with semantic information derived from the Software Under Test. We demonstrate how to drive the test set generation process with semantic information in the form of output diversity. We present the first totally automatic output sampling for output diversity unit test set generation tool, called OutGen. OutGen transforms a program into an SMT formula in bit-vector arithmetic. It then applies universal hashing in order to generate an output-based diverse set of inputs. The result offers significant diversity improvements when measured as a high output uniqueness count. It achieves this by ensuring that the test set’s output probability distribution is uniform, i.e., highly diverse. The use of output sampling, as opposed to any of input sampling, CBMC, CAVM, behaviour diversity or random testing improves mutation score and bug detection by up to 4150 and 963 percent respectively on programs drawn from three different corpora: the R-project, SIR and CodeFlaws. OutGen test sets achieve an average mutation score of up to 92 percent, and 70 percent of the test sets detect the defect. Moreover, OutGen is the only automatic unit test generation tool that is able to detect bugs on the real number C functions from the R-project.","1939-3520","","10.1109/TSE.2020.2987377","InfoTestSS(grant numbers:EP/P005888/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068446","Unit testing;output sampling;output diversity;SMT solver;OutGen","Computer bugs;Tools;Semantics;Generators;Software engineering;Test pattern generators","program testing;software quality;statistical distributions","output sampling;structural coverage techniques;input-diverse test set generators;semantic information;test set generation process;totally automatic output;output diversity unit test;high output uniqueness count;input sampling;random testing;mutation score;bug detection;automatic unit test generation tool;OutGen tool;efficiency 92.0 percent;efficiency 70.0 percent;efficiency 963.0 percent","","3","","52","IEEE","15 Apr 2020","","","IEEE","IEEE Journals"
"Techvar: Classification of Similarity in Software Detection Model using Deep Learning","P. H. Babu; P. Yalla","Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Guntur, AP; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Guntur, AP","2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS)","27 Apr 2022","2022","","","341","346","In Industry 4.0, Deep Learning techniques have become an important research tool in many area namely healthcare, automobiles, video analysis, audio analytics, software systems etc. In recent years, many research are performed in software analysis using modern technologies. CrosLSim, SimMax, and atrpos models are used to review the software similarity detection techniques for different software systems. The existing models for similarity detection are not efficient to be used in major software projects. In this paper, the Techvar-DNN system which performs enhanced Probability, maintainability, testability, and reusability has been proposed. When compared with other methods namely Random Forest and Support vector machines, the proposed system provides increased recall, a smaller function size, and more efficient computing. Moreover, the proposed model results show better F-measure, precision and recall to improve the software similarity detection in a more efficient manner.","","978-1-6654-7884-7","10.1109/ICSCDS53736.2022.9761003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761003","Deep Learning;Software Engineering;Similarity Detection;Classification","Deep learning;Support vector machines;Computational modeling;Taxonomy;Medical services;Software systems;Fourth Industrial Revolution","deep learning (artificial intelligence);program diagnostics;software engineering;support vector machines","software detection model;deep learning techniques;research tool;video analysis;audio analytics;software analysis;atrpos models;software similarity detection techniques;software systems;software projects;Techvar-DNN system;random forest;support vector machines;CrosLSim;SimMax;F-measure","","","","20","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"A Fault Localization Method Based on Similarity Weighting with Unlabeled Test Cases","X. Yang; B. Liu; D. An; W. Xie; W. Wu","School of Reliability and Systems Engineering, Beihang University, Beijing, China; School of Reliability and Systems Engineering, Beihang University, Beijing, China; School of Reliability and Systems Engineering, Beihang University, Beijing, China; Information Center of China North Industries Group Corporation, Beijing, China; Information Center of China North Industries Group Corporation, Beijing, China","2022 IEEE 22nd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","30 Mar 2023","2022","","","368","374","In software fault localization problems, existing fault localization algorithms usually rely heavily on the perfection of test oracle. But in practice, there are a large number of test cases that lack accurate execution results. In order to utilize on unlabeled test cases, many test prediction and use case filter methods have been proposed. However, these methods ignore the similarity between test cases, which has been proven effective in fault localization studies using labeled test cases. Therefore, this paper proposes a fault localization method based on similarity weighting with unlabeled test cases. It uses the similarity of unlabeled test cases filtered by information entropy and labeled failed test cases as weights, and weights the suspicion calculation coefficients to enhance the importance of use cases similar to the failed cases. The experimental results show that similarity weighting effectively improves fault localization efficiency on all three program sets and all three localization algorithms. It can be seen that similarity of use case information also has an important role in the use of unlabeled test cases.","2693-9371","979-8-3503-1991-0","10.1109/QRS-C57518.2022.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077013","Fault localization;Test oracle;Unlabeled test cases;Filter;Similarity weighting","Location awareness;Weight measurement;Uncertainty;Software algorithms;Transforms;Software quality;Filtering algorithms","","","","","","15","IEEE","30 Mar 2023","","","IEEE","IEEE Conferences"
"Looking for Lacunae in Bitcoin Core's Fuzzing Efforts","A. Groce; K. Jain; R. van Tonder; G. T. Kalburgi; C. L. Goues","Northern Arizona University, United States; Carnegie Mellon University, United States; Sourcegraph, Inc., United States; Northern Arizona University, United States; Carnegie Mellon University, United States","2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)","17 Jun 2022","2022","","","185","186","Bitcoin is one of the most prominent distributed software systems in the world. This paper describes an effort to investigate and enhance the effectiveness of the Bitcoin Core fuzzing effort. The effort initially began as a query about how to escape saturation in the fuzzing effort, but developed into a more general exploration. This paper summarizes the outcomes of a two-week focused effort. While the effort found no smoking guns indicating major test/fuzz weaknesses, it produced a large number of additional fuzz corpus entries, increased the set of fuzzers used for Bitcoin Core, and ran mutation analysis of Bitcoin Core fuzz targets, with a comparison to Bitcoin functional tests and other cryptocurrencies’ tests. Our conclusion is that for high quality fuzzing efforts, improvements to the oracle may be the best way to get more out of fuzzing.","","978-1-6654-9590-5","10.1145/3510457.3513072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794086","fuzzing;saturation;test diversity;mutation analysis;oracle strength","Bitcoin;Fuzzing;Software systems;Software engineering","cryptocurrencies;program testing;software engineering","distributed software systems;bitcoin functional tests;high quality fuzzing efforts;cryptocurrencies tests;Oracle;bitcoin core fuzz targets","","","","9","IEEE","17 Jun 2022","","","IEEE","IEEE Conferences"
