"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Invasive Software Testing: Mutating Target Programs to Diversify Test Exploration for High Test Coverage","Y. Kim; S. Hong; B. Ko; D. L. Phan; M. Kim","Sch. of Comput., KAIST, Daejeon, South Korea; Sch. of CSEE, Handong Global Univ., Pohang, South Korea; Sch. of Comput., KAIST, Daejeon, South Korea; Sch. of Comput., KAIST, Daejeon, South Korea; Sch. of Comput., KAIST, Daejeon, South Korea","2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)","28 May 2018","2018","","","239","249","Software testing techniques have advanced significantly over several decades; however, most of current techniques still test a target program as it is, and fail to utilize valuable information of diverse test executions on many variants of the original program in test generation. This paper proposes a new direction for software testing - Invasive Software Testing (IST). IST first generates a set of target program variants m<sub>1</sub>, ⋯, m<sub>n</sub> from an original target program p by applying mutation operations <sub>1</sub>, ⋯, μ<sub>n</sub>. Second, given a test suite T, IST executes m<sub>1</sub>, ⋯, m<sub>n</sub> with T and records the test runs which increase test coverage compared to p with T. Based on the recorded information, IST generates guideposts for automated test generation on p toward high test coverage. Finally, IST generates test inputs on p with the guideposts and achieves higher test coverage. We developed DEMINER which implements IST for C programs through software mutation and concolic testing. Further, we showed the effectiveness of DEMINER on three real-world target programs Busybox-ls, Busybox-printf, and GNU-find. The experiment results show that the amount of the improved branch coverage by DEMINER is 24.7% relatively larger than those of the conventional concolic testing techniques on average.","","978-1-5386-5012-7","10.1109/ICST.2018.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367052","Mutation analysis;Practical mutation tool;C programs","Test pattern generators;Manganese;Software testing;Invasive software;Computer crashes","program testing","C programs;software mutation;Invasive Software Testing;mutating target programs;test exploration;Software testing techniques;diverse test executions;target program variants;automated test generation;test coverage;concolic testing techniques;real-world target programs;Busybox-ls;Busybox-printf;GNU-find","","10","","32","","28 May 2018","","","IEEE","IEEE Conferences"
"The Evolutionary Landscape of SBST: A 10 Year Perspective","M. B. Cohen","Dept. of Comput. Sci. & Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA","2017 IEEE/ACM 10th International Workshop on Search-Based Software Testing (SBST)","7 Jul 2017","2017","","","47","48","A key indicator of the health and quality of any evolutionary algorithm is the landscape of its search. By analyzing the landscape one can determine the peaks (local maxima) where significant solutions exist. In this paper we examine the landscape for the history of the International Workshop on Search-Based Software Testing (SBST) within the context of the broader field of search-based software testing. We study the evolution of the field, highlighting key advances during three phases of its ten year history. In 2008 the focus of SBST was inner looking, with advances in existing search techniques, improvements to individual generation techniques, and methods to transform the problem space for search effectiveness. However, diverse seeds of new ideas (such as automated program repair) were already being injected into the population. A few SBST tools existed, but the engineer still required skill and expertise to effectively apply search based approaches. During the middle years, open source tools were created and released, whole test suite generation appeared, and searches hybridized. Tool competitions began and industry started to play a stronger role. As we move to the most recent workshop years and look towards the future, more sophisticated techniques such as those that incorporate hyper-heuristics via learning, and/or balance multiple objectives at once are now common. SBST has become a mainstream topic in the testing community, tools are being commercialized and these tools often hide their inner workings, leading to a future that is optimized towards SBST for all.","","978-1-5386-2789-1","10.1109/SBST.2017.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7967961","Search-based software testing;SBST","Tools;Software testing;Conferences;Maintenance engineering;Sociology;Statistics","evolutionary computation;program testing","evolutionary algorithm;search-based software testing;SBST tools;test suite generation;testing community","","","","12","","7 Jul 2017","","","IEEE","IEEE Conferences"
"Using Exploration Focused Techniques to Augment Search-Based Software Testing: An Experimental Evaluation","B. Marculescu; R. Feldt; R. Torkar","Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden; Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden; Sch. of Comput. Karlskrona, Blekinge Inst. of Technologv, Karlskrona, Sweden","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)","21 Jul 2016","2016","","","69","79","Search-based software testing (SBST) often uses objective-based approaches to solve testing problems. There are, however, situations where the validity and completeness of objectives cannot be ascertained, or where there is insufficient information to define objectives at all. Incomplete or incorrect objectives may steer the search away from interesting behavior of the software under test (SUT) and from potentially useful test cases. This papers investigates the degree to which exploration-based algorithms can be used to complement an objective-based tool we have previously developed and evaluated in industry. In particular, we would like to assess how exploration-based algorithms perform in situations where little information on the behavior space is available a priori. We have conducted an experiment comparing the performance of an exploration-based algorithm with an objective-based one on a problem with a high-dimensional behavior space. In addition, we evaluate to what extent that performance degrades in situations where computational resources are limited. Our experiment shows that exploration-based algorithms are useful in covering a larger area of the behavior space and result in a more diverse solution population. Typically, of the candidate solutions that exploration-based algorithms propose, more than 80% were not covered by their objective-based counterpart. This increased diversity is present in the resulting population even when computational resources are limited. We conclude that exploration-focused algorithms are a useful means of investigating high-dimensional spaces, even in situations where limited information and limited resources are available.","","978-1-5090-1827-7","10.1109/ICST.2016.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515460","search-based software testing;objective-based algorithms;exploration-focused;controlled experiment","Conferences;Software testing","program testing","search-based software testing;SBST;objective-based approaches;software under test;SUT;exploration-based algorithms;high-dimensional behavior space","","5","","17","","21 Jul 2016","","","IEEE","IEEE Conferences"
"Domain Ontology Construction and Evaluation for the Entire Process of Software Testing","Z. Sun; C. Hu; C. Li; L. Wu","Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China","IEEE Access","18 Nov 2020","2020","8","","205374","205385","As an important part of software engineering, software testing is a knowledge-intensive work. In the process of software testing, inconsistent knowledge expression, diverse knowledge carriers, and a few experienced people have mastered most of the knowledge, which hinders the transfer and sharing of domain knowledge. Ontology is widely used in various stages of software engineering to define the semantic relationship between relevant information and knowledge. To solve the problem of knowledge silo in the process of software testing, this article forms an Entire Process Ontology on Software Testing (EPOST). EPOST covers the concepts and relationships of software testing process information, software test object information, and software defect information. The concepts and terms in the ontology are extracted from ISTQB, SWEBOK, IEEE std.829-2008 standard, and IEEE std.610.12-1990 standard. We adopt a comprehensive ontology construction method based on Dev. 101 method and Methontology method. The developed ontology is successfully evaluated by using validation and verification tests. Ontology verification uses an improved FOCA evaluation method by adding a cohesion metric. The evaluation result infers that EPOST has a high quality of ontology and good domain coverage, and achieves the purpose of ontology construction. Finally, we make a case study on the role of EPOST in software testing process. The results show that ontology-based application in the software testing process can promote the sharing and transmission of domain knowledge, and improve the testing process and testing quality.","2169-3536","","10.1109/ACCESS.2020.3037188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253652","Ontology construction;software testing;domain ontology;knowledge management;ontology evaluation","Ontologies;Software testing;Software;Tools;Sun;Semantics;IEEE Standards","IEEE standards;ISO standards;knowledge management;ontologies (artificial intelligence);program testing;software metrics;software quality","domain ontology construction;software engineering;knowledge-intensive work;domain knowledge;software testing process information;software test object information;software defect information;testing quality;entire process ontology on software testing;IEEE std.610.12-1990 standard;IEEE std.829-2008 standard;ISTQB;SWEBOK;EPOST;improved FOCA evaluation method;cohesion metric","","5","","38","CCBY","10 Nov 2020","","","IEEE","IEEE Journals"
"Approaches used to Verify and Validate a Software Testing Ontology as an Artifact","L. Olsina; G. Tebes; D. Peppino; P. Becker","UNLPam GIDIS_Web,School of Engineering,General Pico,La Pampa,Argentina; UNLPam GIDIS_Web,School of Engineering,General Pico,La Pampa,Argentina; UNLPam GIDIS_Web,School of Engineering,General Pico,La Pampa,Argentina; UNLPam GIDIS_Web,School of Engineering,General Pico,La Pampa,Argentina","2020 IEEE Congreso Bienal de Argentina (ARGENCON)","13 Aug 2021","2020","","","1","8","Verification and Validation (V&V) are undoubtedly two key aspects of the artifact construction process. V&V entails activities, methods, tools, and ultimately strategies for ensuring quality when developing artifacts. Software engineering production lines, stakeholders and researchers produce diverse artifacts. For example, researchers may build ontologies, which can be both conceptualized and implemented artifacts. Ontologies are playing a central role in many application domains in particular, as well as in software and knowledge engineering disciplines in general. To show the applicability of V&V approaches, this work considers a software testing ontology as an artifact. This was developed following the Design Science Research methodology in the context of a layered ontological architecture. This paper illustrates the V&V approaches used, involving activities and methods for static and dynamic testing, evaluation and assessment. It addresses V&V approaches for the ontology conceptualization, as well as a functional dynamic testing method for its implementation.","","978-1-7281-5957-7","10.1109/ARGENCON49523.2020.9505430","Universidad Nacional de La Pampa; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505430","Verification and Validation (V&V);V&V Activities and Methods;Software Testing Ontology;Artifact","Software testing;Knowledge engineering;Design methodology;OWL;Production;Ontologies;Tools","ontologies (artificial intelligence);program testing;software engineering","software testing ontology;artifact construction process;developing artifacts;software engineering production lines;diverse artifacts;conceptualized implemented artifacts;application domains;knowledge engineering disciplines;design science research methodology;layered ontological architecture;ontology conceptualization;functional dynamic testing method","","","","20","","13 Aug 2021","","","IEEE","IEEE Conferences"
"Teaching Practices of Software Testing in Programming Education","L. P. Scatalon; R. E. Garcia; E. F. Barbosa","University of São Paulo (ICMC-USP),São Carlos-SP,Brazil; São Paulo State University (FCT-Unesp),Presidente Prudente-SP,Brazil; University of São Paulo (ICMC-USP),São Carlos-SP,Brazil","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","9","This Research Full Paper presents an overview of the practices that have been used to integrate software testing into programming education. Introductory programming courses compose the core of several undergraduate programs, since programming is a crucial technical skill for professionals in many areas. Given the subject importance, researchers have been conducting several studies to investigate teaching approaches that can help overcoming students' learning difficulties. In particular, studies on introducing software testing into this context present evidence that testing practices can improve students' programming performance and habits. There are many teaching approaches in programming education, which involve different choices of programming paradigm and language, support tools and development practices, such as version control. Likewise, the integration of software testing into such diverse context can also happen in many different ways. Therefore, investigating the ways to teach programming and testing at the same time can help instructors with informed choices. In this sense, we identified teaching practices that have been adopted to integrate software testing into programming education. To do so, we further analyzed a subgroup of 195 papers that returned in our systematic mapping on this research domain. We selected papers describing empirical studies (e.g. survey, qualitative studies, experiments, case studies and experience reports), since this kind of study involves applying a given teaching practice in order to collect evidence or report the observed experience. Overall, our results shed light on how the integration of software testing has been done in different classroom contexts of programming education. We discuss the practices in terms of their application context (i.e. the course), how testing was introduced in theory and practice, and the adopted support tools. We also discuss an important gap regarding the lack of instruction in testing concepts, even when students are responsible to write their own tests.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274256","Software Testing;Programming Fundamentals;Teaching Practices;Computer Science Education","Programming;Programming profession;Education;Software testing;Tools;Task analysis;Software engineering","computer science education;educational courses;program testing;teaching","teaching practices;software testing;programming education;introductory programming courses;undergraduate programs;teaching approaches;testing practices;students learning difficulties;programming paradigm;programming language;student programming performance;programming teaching","","2","","81","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Searching for Cognitively Diverse Tests: Towards Universal Test Diversity Metrics","R. Feldt; R. Torkar; T. Gorschek; W. Afzal","Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby; Dept. of Syst. & Software Eng., Blekinge Inst. of Technol., Ronneby","2008 IEEE International Conference on Software Testing Verification and Validation Workshop","16 Jul 2008","2008","","","178","186","Search-based software testing (SBST) has shown a potential to decrease cost and increase quality of testing- related software development activities. Research in SBST has so far mainly focused on the search for isolated tests that are optimal according to a fitness function that guides the search. In this paper we make the case for fitness functions that measure test fitness in relation to existing or previously found tests; a test is good if it is diverse from other tests. We present a model for test variability and propose the use of a theoretically optimal diversity metric at variation points in the model. We then describe how to apply a practically useful approximation to the theoretically optimal metric. The metric is simple and powerful and can be adapted to a multitude of different test diversity measurement scenarios. We present initial results from an experiment to compare how similar to human subjects, the metric can cluster a set of test cases. To carry out the experiment we have extended an existing framework for test automation in an object-oriented, dynamic programming language.","","978-0-7695-3388-9","10.1109/ICSTW.2008.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4567005","","Software testing;System testing;Humans;Object oriented modeling;Automatic testing;Software measurement;Software engineering;Isolation technology;Costs;Programming","object-oriented programming;program testing;software metrics","universal test diversity metrics;search-based software testing;software development;optimal diversity metric;dynamic programming language;object-oriented programming","","32","","22","","16 Jul 2008","","","IEEE","IEEE Conferences"
"Modeling the effects of combining diverse software fault detection techniques","B. Littlewood; P. T. Popov; L. Strigini; N. Shryane","Centre for Software Reliability, City Univ., London, UK; NA; NA; NA","IEEE Transactions on Software Engineering","6 Aug 2002","2000","26","12","1157","1167","Considers what happens when several different fault-finding techniques are used together. The effectiveness of such multi-technique approaches depends upon a quite subtle interplay between their individual efficacies. The modeling tool we use to study this problem is closely related to earlier work on software design diversity which showed that it would be unreasonable even to expect software versions that were developed truly independently to fail independently of one another. The key idea was a ""difficulty function"" over the input space. Later work extended these ideas to introduce a notion of ""forced"" diversity. In this paper, we show that many of these results for design diversity have counterparts in diverse fault detection in a single software version. We define measures of fault-finding effectiveness and diversity, and show how these might be used to give guidance for the optimal application of different fault-finding procedures to a particular program. The effects on reliability of repeated applications of a particular fault-finding procedure are not statistically independent; such an incorrect assumption of independence will always give results that are too optimistic. For diverse fault-finding procedures, it is possible for effectiveness to be even greater than it would be under an assumption of statistical independence. Diversity of fault-finding procedures is a good thing and should be applied as widely as possible. The model is illustrated using some data from an experimental investigation into diverse fault-finding on a railway signalling application.","1939-3520","","10.1109/32.888629","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=888629","","Diversity reception;Fault detection;Software design;Application software;Redundancy;Hardware;Aerospace control;Battery powered vehicles;Software engineering;Particle measurements","system recovery;program diagnostics;software reliability;signalling;railways","software fault detection techniques;multi-technique approach;modeling tool;software design diversity;independently developed software versions;system failure;difficulty function;forced diversity;fault-finding effectiveness;repeated application reliability;diverse fault-finding procedures;statistical independence;railway signalling application;fault removal;software testing;software reliability growth","","32","","15","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Configuration management strategy for distributed and diverse software development environments","U. V. Gumaste; Ti-Chung R. Hsueh; A. A. Nocera; Yiu Kwan Wo","AT&T Bell Labs., Holmdel, NJ, USA; NA; NA; NA","Proceedings of the IEEE International Conference on Industrial Technology (ICIT'96)","6 Aug 2002","1996","","","42","46","This paper intends to provide an overview of management of software development environments having multiple operating systems and hardware platforms. The paper addresses issues related to system integration as well as independence while fulfilling the need of a seamless software development environment. The article examines the elements necessary to provide efficient software development, integration and test environments that supports distributed execution of software programs across different hardware platforms. The issues related to dissimilar operating systems and hardware platforms are also presented. Requirements for initial and future configuration management needs of such dissimilar environments are discussed.","","0-7803-3104-4","10.1109/ICIT.1996.601537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=601537","","Environmental management;Software development management;Programming;Hardware;Computer architecture;Software performance;Operating systems;Software testing;Productivity;Technology management","configuration management;distributed processing;programming environments","configuration management strategy;distributed software development environments;diverse software development environments;software development environment management;multiple operating systems;hardware platforms;seamless software development environment;software integration environment;software test environment;distributed execution","","","1","3","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Software Testing Techniques in IoT","G. Murad; A. Badarneh; A. Qusef; F. Almasalha","Computer Science Department, Applied Science University; Jordanian Engineers Association; Software Eng. Dept., Princess Sumaya Univ. for Technol., Amman, Jordan; Computer Science Department, Applied Science University","2018 8th International Conference on Computer Science and Information Technology (CSIT)","11 Oct 2018","2018","","","17","21","As well as the important industry 4.0 revolution, based on of the serves that IoT provides in our society in different fields such as smart building, factory, mobility, health care. Previous studies explore various technology solution to find the best technique to test IoT applications in order to ensure quality for IoT devices. The paper surveys diverse of aspects of multiples software testing and tools for loT devices, and provides details in use case testing for IoT environment and test different accepts such as usability, security, connectivity. The paper considers various security requirement and challenges an unveils different research problems in testing IoT applications and proposes multiple tools and software techniques that help to enhance IoT applications quality.","","978-1-5386-4152-1","10.1109/CSIT.2018.8486149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486149","Software Testing;IoT;Testing Methodologies;Testing Tools","Internet of Things;Tools;Software;Security;Software testing;Computer science","Internet of Things;mobile computing;program testing","smart building;health care;IoT devices;use case testing;multiple tools;IoT applications quality;IoT applications;software testing techniques","","5","","27","","11 Oct 2018","","","IEEE","IEEE Conferences"
