Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Similarities of Testing Programmed and Learnt Software,F. Dobslaw; R. Feldt,"Dept. of Communication, Quality Mngmt. and Inf. Systems, Mid Sweden University, Östersund, Sweden; Dept. of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden","2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",29 May 2023,2023,,,78,81,"This study examines to what extent the testing of traditional software components and machine learning (ML) models fundamentally differs or not. While some researchers argue that ML software requires new concepts and perspectives for testing, our analysis highlights that, at a fundamental level, the specification and testing of a software component are not dependent on the development process used or on implementation details. Although the software engineering/computer science (SE/CS) and Data Science/ML (DS/ML) communities have developed different expectations, unique perspectives, and varying testing methods, they share clear commonalities that can be leveraged. We argue that both areas can learn from each other, and a non-dual perspective could provide novel insights not only for testing ML but also for testing traditional software. Therefore, we call upon researchers from both communities to collaborate more closely and develop testing methods and tools that can address both traditional and ML software components. While acknowledging their differences has merits, we believe there is great potential in working on unified methods and tools that can address both types of software.",2159-4848,979-8-3503-3335-0,10.1109/ICSTW58534.2023.00025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10132221,Software Testing;Software Engineering;Machine Learning;Non-Duality;Software Boundaries,Software testing;Conferences;Machine learning;Software;Testing,,,,12,IEEE,29 May 2023,,,IEEE,IEEE Conferences,,
An Industrial Study on the Challenges and Effects of Diversity-Based Testing in Continuous Integration,A. Ahmad; F. G. d. O. Neto; E. P. Enoiu; K. Sandahl; O. Leifler,"Ericsson AB, Linköping, Sweden; Gothenburg University, Gothenburg, Sweden; Mälardalens University, Mälardalens, Sweden; Linköping University, Linköping, Sweden; Linköping University, Linköping, Sweden","2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security (QRS)",25 Dec 2023,2023,,,337,347,"Many test prioritisation techniques have been proposed in order to improve test effectiveness of Continuous Integration (CI) pipelines. Particularly, diversity-based testing (DBT) has shown promising and competitive results to improve test effectiveness. However, the technical and practical challenges of introducing test prioritisation in CI pipelines are rarely discussed, thus hindering the applicability and adoption of those proposed techniques. This research builds on our prior work in which we evaluated diversity-based techniques in an industrial setting. This work investigates the factors that influence the adoption of DBT both in connection to improvements in test cost-effectiveness, as well as the process and human related challenges to transfer and use DBT prioritisation in CI pipelines. We report on a case study considering the CI pipeline of Axis Communications in Sweden. We performed a thematic analysis of a focus group interview with senior practitioners at the company to identify the challenges and perceived benefits of using test prioritisation in their test process. Our thematic analysis reveals a list of ten challenges and seven perceived effects of introducing test prioritisation in CI cycles. For instance, our participants emphasized the importance of introducing comprehensible and transparent techniques that instill trust in its users. Moreover, practitioners prefer techniques compatible with their current test infrastructure (e.g., test framework and environments) in order to reduce instrumentation efforts and avoid disrupting their current setup. In conclusion, we have identified tradeoffs between different test prioritisation techniques pertaining to the technical, process and human aspects of regression testing in CI. We summarize those findings in a list of seven advantages that refer to specific stakeholder interests and describe the effects of adopting DBT in CI pipelines.",2693-9177,979-8-3503-1958-3,10.1109/QRS60937.2023.00041,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366588,diversity based testing;test suite minimisation;emprirical study;continuous integration;regression testing,Industries;Instruments;Pipelines;Software quality;Companies;Software reliability;Stakeholders,,1,,37,IEEE,25 Dec 2023,,,IEEE,IEEE Conferences,,
Black-Box Testing of Deep Neural Networks through Test Case Diversity,Z. Aghababaeyan; M. Abdellatif; L. Briand; R. S; M. Bagherzadeh,"School of EECS, University of Ottawa, Ottawa, ON, Canada; Software and Information Technology Engineering Department, École de Technologie Supérieure, Montreal, QC, Canada; School of EECS, University of Ottawa, Ottawa, ON, Canada; Department of Research and Development, General Motors, Warren, MI, USA; School of EECS, University of Ottawa, Ottawa, ON, Canada",IEEE Transactions on Software Engineering,15 May 2023,2023,49,5,3182,3204,"Deep Neural Networks (DNNs) have been extensively used in many areas including image processing, medical diagnostics and autonomous driving. However, DNNs can exhibit erroneous behaviours that may lead to critical errors, especially when used in safety-critical systems. Inspired by testing techniques for traditional software systems, researchers have proposed neuron coverage criteria, as an analogy to source code coverage, to guide the testing of DNNs. Despite very active research on DNN coverage, several recent studies have questioned the usefulness of such criteria in guiding DNN testing. Further, from a practical standpoint, these criteria are white-box as they require access to the internals or training data of DNNs, which is often not feasible or convenient. Measuring such coverage requires executing DNNs with candidate inputs to guide testing, which is not an option in many practical contexts. In this paper, we investigate diversity metrics as an alternative to white-box coverage criteria. For the previously mentioned reasons, we require such metrics to be black-box and not rely on the execution and outputs of DNNs under test. To this end, we first select and adapt three diversity metrics and study, in a controlled manner, their capacity to measure actual diversity in input sets. We then analyze their statistical association with fault detection using four datasets and five DNNs. We further compare diversity with state-of-the-art white-box coverage criteria. As a mechanism to enable such analysis, we also propose a novel way to estimate fault detection in DNNs. Our experiments show that relying on the diversity of image features embedded in test input sets is a more reliable indicator than coverage criteria to effectively guide DNN testing. Indeed, we found that one of our selected black-box diversity metrics far outperforms existing coverage criteria in terms of fault-revealing capability and computational time. Results also confirm the suspicions that state-of-the-art coverage criteria are not adequate to guide the construction of test input sets to detect as many faults as possible using natural inputs.",1939-3520,,10.1109/TSE.2023.3243522,General Motors and Canada Research Chair; Natural Sciences and Engineering Research Council of Canada; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041782,Coverage;deep neural network;diversity;faults;test,Measurement;Testing;Feature extraction;Closed box;Fault detection;Neurons;Computational modeling,,17,,93,CCBY,9 Feb 2023,,,IEEE,IEEE Journals,,
Black-Box Test Case Prioritization Using Log Analysis and Test Case Diversity,X. Yu; K. Jia; W. Hu; J. Tian; J. Xiang,"School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China",2023 IEEE 34th International Symposium on Software Reliability Engineering Workshops (ISSREW),2 Nov 2023,2023,,,186,191,"Regression testing is a software testing type that examines whether updates made in the software impact the existing functionality of the application. Depressingly, the long testing time and high testing costs make regression testing very expensive. Test case prioritization (TCP) stands out as one of the extensively researched regression testing techniques. It prioritizes test cases to optimize their execution order, aiming to maximize the prioritization goals and reveal faults earlier to provide feedback to testers. The TCP technique based on log analysis (LogTCP) designs the prioritization strategy using logs generated during test case execution. However, LogTCP’s performance is limited by its inability to incorporate the diversity of test cases for sorting. To overcome these concerns, we propose a method to implement TCP using k-means clustering and log analysis(called KL-TCP), that takes into account both log information and test case diversity. We examine the effectiveness of this strategy in ten open source Java projects on GitHub. The experimental results show that our proposed method outperforms LogTCP method by detecting a higher average percentage of faults. The best average performance of the ten project experiments reached 0.77(APFD).",,979-8-3503-1956-9,10.1109/ISSREW60843.2023.00072,Research and Development; Natural Science Foundation of Chongqing; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10301343,test case prioritization;test case diversity;log parsing,Software testing;Java;Fault detection;Semantics;Feature extraction;Software reliability;History,,,,27,IEEE,2 Nov 2023,,,IEEE,IEEE Conferences,,
Identifying Similar Test Cases That Are Specified in Natural Language,M. Viggiato; D. Paas; C. Buzon; C. -P. Bezemer,"Analytics of Software, Games and Repository Data (ASGAARD) Lab, University of Alberta, Edmonton, AB, Canada; Prodigy Education, Toronto, ON, Canada; Prodigy Education, Toronto, ON, Canada; Analytics of Software, Games and Repository Data (ASGAARD) Lab, University of Alberta, Edmonton, AB, Canada",IEEE Transactions on Software Engineering,14 Mar 2023,2023,49,3,1027,1043,"Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases (which consist of one or more test steps that need to be executed manually by the tester) are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and three techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 86.13%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant test cases), which help to reduce the testing manual effort and time.",1939-3520,,10.1109/TSE.2022.3170272,Prodigy Education; Natural Sciences and Engineering Research Council of Canada(grant numbers:ALLRP 550309); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763328,Software testing;test case similarity;clustering,Bit error rate;Natural languages;Testing;Task analysis;Manuals;Games;Codes,,6,,61,IEEE,26 Apr 2022,,,IEEE,IEEE Journals,,
Evaluating String Distance Metrics for Reducing Automatically Generated Test Suites,I. T. Elgendy; R. M. Hierons; P. McMinn,"University of Sheffield, Sheffield, UK; University of Sheffield, Sheffield, UK; University of Sheffield, Sheffield, UK",2024 IEEE/ACM International Conference on Automation of Software Test (AST),18 Jun 2024,2024,,,171,181,"Regression test suites can have a large number of test cases, especially automatically generated ones, and tend to grow in size making it costly to run the entire test suite. Test suite reduction aims to eliminate some test cases to reduce the test suite size and therefore reduce the cost of running it. In this paper, string distances on the text of the test cases are used as measures of similarity for reduction. A practical benefit of using string distance is that there is no need to run the test cases: the test suite source code is the only requirement, making the approach fast. We reduce test suites generated from Randoop and EvoSuite; two well-known test generation tools of Java programs. We implemented a string-based similarity reduction and compared it against random reduction. In the experiments, mutation scores using reduced test suites based on maximising string dissimilarity of test cases were higher than those for random reduction in over 70% of the test suites generated Also, the results showed that test suites generated by Randoop can be drastically reduced in one case by 99% using the string-based similarity reduction approach while maintaining the fault-finding capabilities of the original test suite. Finally, on average, the normalised compression distance was found to be the best similarity metric choice in terms of fault-detection. CCS CONCEPTS • Software and its engineering $\rightarrow$ Software testing and debugging; Empirical software validation.",2833-9061,979-8-4007-0588-5,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556457,Test suite reduction;Similarity-based testing;Diversity-based testing;Automatically generated tests,Measurement;Software testing;Java;Costs;Automation;Source coding;Debugging,,,,37,,18 Jun 2024,,,IEEE,IEEE Conferences,,
The Comparative Evaluation of Test Prioritization Approaches in an Industrial Study,A. Ahmad; F. G. d. O. Neto; E. P. Enoiu; K. Sandahl; O. Leifler,"Ericsson AB, Linköping, Sweden; Gothenburg University, Gothenburg, Sweden; Mälardalens University, Mälardalens, Sweden; Linköping University, Linköping, Sweden; Linköping University, Linköping, Sweden","2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",19 Feb 2024,2023,,,35,44,"Many test prioritisation techniques have been proposed in order to improve test effectiveness of Continuous Integration (CI) pipelines. Particularly, diversity-based testing (DBT) has shown promising and competitive results to improve test effectiveness. We report on a case study considering the CI pipeline of Axis Communications in Sweden. We compared three different prioritisation approaches (i.e., diversity, failure history and time) in terms of their impact on coverage, failure detection rates and reduction on test execution time. Our results reveal that DBT is the best candidate to provide feature coverage, whereas failure rate prioritisation yields better failure coverage. Time-based prioritisation is not a reliable approach to provide cost-effective testing. Moreover, DBT would allow stakeholders to receive quick feedback on many combinations of integrated features to verify their code changes. Our participants report that developers are mainly interested in: (i) receiving quick feedback on a high combination of integrated features to verify their code changes, and (ii) associate their test suites to confidence scores representing the risk of missing failures given that fewer tests are executed.",2693-9371,979-8-3503-5939-8,10.1109/QRS-C60940.2023.00025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10429997,diversity based testing;comparative evaluation;continuous integration;regression testing,Codes;Pipelines;Software quality;Software reliability;Stakeholders;Security;Testing,,,,64,IEEE,19 Feb 2024,,,IEEE,IEEE Conferences,,
Micro-inequities and immigration backgrounds in the software industry,V. Markulj; K. Aslam; E. Guzmán,Vrije Universiteit Amsterdam, Vrije Universiteit Amsterdam, Vrije Universiteit Amsterdam,2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),18 Jun 2024,2024,,,23,33,"Micro-inequities are subtle, repetitive, and often unintentional forms of negative messaging, that can account for a significant burden over time. Research shows that racial and gender minority groups are more likely to experience micro-inequities, and that micro-inequities have a significant negative effect on self-esteem, work performance and career advancement. However, research on micro-inequities among software practitioners, particularly with an immigration perspective, is non-existent. To bridge this gap, we investigate the experiences of software practitioners, regarding micro-inequities from an immigration perspective. We surveyed 135 immigrant and non-immigrant software practitioners working in technical roles about verbal, nonverbal and environmental micro-inequities. Our results show that immigrants experience nine out of 27 investigated forms of micro-inequities significantly more than non-immigrants. These include not being given credit for their work, feeling excluded from key social or networking opportunities and being assumed to be less competent, assertive or intelligent. Our study can serve as an incentive for practitioners to adopt (more) inclusive work practices and to raise awareness about micro-inequities in the community.Lay Abstract: Micro-inequities are subtle, repetitive, and often unintentional forms of negative messaging, that can account for a significant burden over time. While research shows that underrepresented groups are more likely to experience micro-inequities, they have not been extensively studied in the software industry. In our work we survey 135 software practitioners regarding their experiences with micro-inequities in the software industry from an immigration perspective. Our findings show that immigrants experience some forms of micro-inequities significantly more than non-immigrants.",2832-7616,979-8-4007-0499-4,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10554791,micro-inequities;immigration;diversity;inclusion;software development teams;questionnaire-based survey,Industries;Surveys;Bridges;Engineering profession;Employment;Software;Software engineering,,,,49,CCBY,18 Jun 2024,,,IEEE,IEEE Conferences
Testing for Fault Diversity in Reinforcement Learning,Q. Mazouni; H. Spieker; A. Gotlieb; M. Acher,"Simula Research Laboratory, Oslo, Norway; Simula Research Laboratory, Oslo, Norway; Simula Research Laboratory, Oslo, Norway; Univ Rennes, Inria, INSA Rennes, CNRS, IRISA, Rennes, France",2024 IEEE/ACM International Conference on Automation of Software Test (AST),18 Jun 2024,2024,,,136,146,"Reinforcement Learning is the premier technique to approach sequential decision problems, including complex tasks such as driving cars and landing spacecraft. Among the software validation and verification practices, testing for functional fault detection is a convenient way to build trustworthiness in the learned decision model. While recent works seek to maximise the number of detected faults, none consider fault characterisation during the search for more diversity. We argue that policy testing should not find as many failures as possible (e.g., inputs that trigger similar car crashes) but rather aim at revealing as informative and diverse faults as possible in the model. In this paper, we explore the use of quality diversity optimisation to solve the problem of fault diversity in policy testing. Quality diversity (QD) optimisation is a type of evolutionary algorithm to solve hard combinatorial optimisation problems where high-quality diverse solutions are sought. We define and address the underlying challenges of adapting QD optimisation to the test of action policies. Furthermore, we compare classical QD optimisers to state-of-the-art frameworks dedicated to policy testing, both in terms of search efficiency and fault diversity. We show that QD optimisation, while being conceptually simple and generally applicable, finds effectively more diverse faults in the decision model, and conclude that QD-based policy testing is a promising approach.CCS CONCEPTS • Software and its engineering $\rightarrow$ Software verification and validation; • Computing methodologies $\rightarrow$ Reinforcement learning.",2833-9061,979-8-4007-0588-5,,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556424,Software Testing;Reinforcement Learning;Quality Diversity,Space vehicles;Fault detection;Sociology;Reinforcement learning;Vehicle crash testing;Automobiles;Task analysis,,,,31,,18 Jun 2024,,,IEEE,IEEE Conferences,,
Evaluating the Trade-offs of Text-based Diversity in Test Prioritisation,R. Khojah; C. H. Chao; F. G. de Oliveira Neto,"Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden",2023 IEEE/ACM International Conference on Automation of Software Test (AST),12 Jul 2023,2023,,,168,178,"Diversity-based techniques (DBT) have been cost-effective by prioritizing the most dissimilar test cases to detect faults at earlier stages of test execution. Diversity is measured on test specifications to convey how different test cases are from one another. However, there is little research on the trade-off of diversity measures based on different types of text-based specification (lexicographical or semantics). Particularly because the text content in test scripts vary widely from unit (e.g., code) to system-level (e.g., natural language). This paper compares and evaluates the cost-effectiveness in coverage and failures of different text-based diversity measures for different levels of tests. We perform an experiment on the test suites of 7 open source projects on the unit level, and 2 industry projects on the integration and system level. Our results show that test suites prioritised using semantic-based diversity measures causes a small improvement in requirements coverage, as opposed to lexical diversity that showed less coverage than random for system-level artefacts. In contrast, using lexical-based measures such as Jaccard or Levenshtein to prioritise code artefacts yield better failure coverage across all levels of tests. We summarise our findings into a list of recommendations for using semantic or lexical diversity on different levels of testing.",2833-9061,979-8-3503-2402-0,10.1109/AST58925.2023.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174012,Diversity-based testing;Natural Language Processing (NLP);Test Case Prioritisation,Industries;Codes;Automation;Atmospheric measurements;Semantics;Particle measurements;Natural language processing,,,,32,IEEE,12 Jul 2023,,,IEEE,IEEE Conferences,,
